 	il	est	revenu	bredouille	</S>
a10	0.243624	0.191264	0.151415	0.160027	0.25367
a11	0.127912	0.11894	0.185302	0.20166	0.366186
a90	0.157913	0.125219	0.166757	0.171477	0.378635
a15	0.306195	0.210569	0.164444	0.125689	0.193103
a73	0.189233	0.170402	0.241099	0.184212	0.215053
a11	0.255421	0.221312	0.245719	0.14534	0.132208
a0	0.173303	0.169263	0.243211	0.203649	0.210574
a56	0.113528	0.0927208	0.138263	0.263967	0.391521
a90	0.143184	0.141407	0.143015	0.237303	0.335091
a9	0.167866	0.151742	0.151765	0.223909	0.304718
a38	0.0442536	0.0442453	0.0731348	0.20132	0.637047
a75	0.0457274	0.0509745	0.0866271	0.200848	0.615823
a31	0.0498559	0.0616956	0.140908	0.265671	0.48187
a88	0.0278333	0.0469559	0.142699	0.243366	0.539145
a9	0.0184635	0.0374439	0.131459	0.266076	0.546558
a10	0.0418219	0.062528	0.119629	0.270951	0.50507
</S>	0.0406273	0.0547559	0.112972	0.244726	0.546918
