 	le	trou	de	son	pantalon	s'	agrandit	</S>
a23	0.451191	0.204228	0.134242	0.0766141	0.0533157	0.0377743	0.0207554	0.0218795
a87	0.298541	0.205029	0.141731	0.0732027	0.0528285	0.0676736	0.076389	0.0846041
a23	0.164456	0.175048	0.173104	0.114149	0.0873833	0.108957	0.0974602	0.0794434
a50	0.289465	0.208827	0.169726	0.0963896	0.0523453	0.0559758	0.0618626	0.0654081
a90	0.399046	0.337654	0.152931	0.0551419	0.0251087	0.0144451	0.011231	0.00444257
a76	0.167873	0.294269	0.277168	0.144467	0.0534114	0.0335022	0.0184457	0.0108634
a35	0.156404	0.248728	0.248742	0.171267	0.0891754	0.0546111	0.0238934	0.00717838
a30	0.20726	0.253525	0.22747	0.145803	0.0843852	0.0520537	0.0225266	0.00697652
a35	0.130021	0.126234	0.139486	0.210881	0.17305	0.132322	0.0606833	0.0273238
a76	0.126251	0.129956	0.138945	0.212259	0.184138	0.134787	0.0543515	0.0193125
a44	0.122634	0.125471	0.13666	0.19614	0.180592	0.146217	0.0703709	0.0219154
a84	0.123733	0.107801	0.111432	0.16085	0.188185	0.17803	0.0962542	0.0337164
a38	0.0523639	0.0561974	0.0650626	0.102484	0.169991	0.219833	0.198671	0.135397
a14	0.0911613	0.0794085	0.0766747	0.117272	0.172629	0.200614	0.172041	0.0901992
a35	0.107591	0.089249	0.08463	0.128363	0.155452	0.176272	0.151649	0.106793
a14	0.047435	0.0372867	0.0337985	0.0627027	0.141752	0.224934	0.240107	0.211984
a76	0.0918721	0.0490712	0.0340721	0.0484563	0.100276	0.17021	0.242449	0.263593
a14	0.0324656	0.0171863	0.0125577	0.0185618	0.0530913	0.118465	0.242129	0.505544
a35	0.0470341	0.0206551	0.0137245	0.0216637	0.0569534	0.125964	0.244856	0.46915
a26	0.0432443	0.0178057	0.0111481	0.0141485	0.0380333	0.0974097	0.22601	0.5522
a24	0.0292106	0.0132708	0.00991202	0.0130177	0.0419666	0.0965916	0.219659	0.576372
a41	0.034012	0.0150488	0.010986	0.0123896	0.0376767	0.0858863	0.203811	0.600189
a24	0.0266028	0.0113622	0.00783187	0.00964756	0.0322357	0.0828659	0.205457	0.623997
a96	0.0291729	0.0155404	0.0128927	0.0156982	0.0414818	0.0884662	0.180939	0.615809
a24	0.0153432	0.00990674	0.00955077	0.0167721	0.0412247	0.0827973	0.183282	0.641123
a32	0.0170152	0.0118522	0.0109252	0.0174076	0.0420824	0.0948771	0.194975	0.610866
a25	0.0179094	0.0128143	0.012213	0.0195923	0.0479075	0.105088	0.216058	0.568418
a87	0.0236866	0.0140947	0.0119928	0.0222219	0.0607809	0.140492	0.246003	0.480729
</S>	0.0324489	0.0186793	0.0144391	0.0162277	0.052241	0.132899	0.199695	0.533369
