 	je	connais	des	champignonnières	naturelles	</S>
a66	0.455166	0.290844	0.140653	0.0667443	0.0263399	0.0202532
a87	0.285209	0.166562	0.11777	0.0797777	0.131576	0.219105
a23	0.536456	0.269407	0.0878076	0.0331177	0.0351178	0.0380943
a83	0.497027	0.241911	0.0946194	0.0607815	0.0551076	0.0505531
a75	0.446893	0.292268	0.153201	0.0691312	0.0202882	0.0182196
a85	0.29309	0.305202	0.228973	0.117926	0.0329433	0.0218654
a5	0.218544	0.253167	0.295833	0.171529	0.0373817	0.0235449
a12	0.23513	0.260368	0.296938	0.144724	0.036964	0.0258756
a47	0.223585	0.242959	0.283529	0.14856	0.0586686	0.0426983
a24	0.193785	0.211743	0.24261	0.14808	0.100956	0.102825
a47	0.0734977	0.10424	0.184374	0.230688	0.206235	0.200966
a88	0.0626722	0.075933	0.128401	0.199538	0.24921	0.284246
a0	0.0282693	0.0346363	0.0637941	0.172496	0.330469	0.370335
a62	0.0154306	0.019417	0.0375306	0.131408	0.335363	0.46085
a47	0.00743438	0.00702854	0.0148649	0.10535	0.346038	0.519283
a98	0.00508083	0.004584	0.0097768	0.0772735	0.340069	0.563215
a15	0.0005072	0.000455066	0.00132492	0.0245847	0.330932	0.642196
a7	0.000424676	0.000364353	0.00130179	0.0240221	0.306931	0.666956
a44	0.000525821	0.000486562	0.00113455	0.0080528	0.185802	0.803998
a94	0.000541062	0.000532371	0.00167088	0.0116339	0.224752	0.76087
a13	0.000859073	0.00096688	0.00391062	0.0255776	0.250679	0.718007
a3	0.00365064	0.00322665	0.00823215	0.0397245	0.300179	0.644987
a97	0.175641	0.0735124	0.0545722	0.0783901	0.250111	0.367773
a87	0.286069	0.150731	0.0973568	0.082528	0.182463	0.200853
a23	0.192815	0.104203	0.0821581	0.080544	0.259952	0.280329
a38	0.0255666	0.0134505	0.0113804	0.0251343	0.29506	0.629408
a27	0.0366978	0.020599	0.0209928	0.0703943	0.325039	0.526277
</S>	0.0259544	0.0199519	0.0314785	0.0726354	0.268238	0.581742
