 	les	résidus	des	noix	de	palmes	sèchent	au	soleil	</S>
a87	0.231474	0.231734	0.0834831	0.0953042	0.105899	0.102418	0.0665061	0.0378959	0.0258822	0.0194036
a23	0.384819	0.1765	0.0174967	0.0139244	0.0260241	0.029501	0.0759391	0.0957564	0.0914519	0.0885874
a87	0.193528	0.167058	0.0633144	0.0650625	0.0895732	0.0807903	0.073171	0.0540102	0.0773527	0.136139
a23	0.207103	0.129577	0.105624	0.11589	0.114996	0.077819	0.0763082	0.0485899	0.0540069	0.0700865
a87	0.170077	0.133153	0.0889191	0.0856139	0.0838214	0.0734071	0.10953	0.0627982	0.0810729	0.111608
a30	0.156711	0.108614	0.101159	0.111671	0.106404	0.0912743	0.110108	0.0604894	0.0731876	0.0803808
a10	0.153158	0.120571	0.124329	0.113102	0.0982361	0.0754208	0.0664423	0.0517762	0.0779729	0.118991
a83	0.145029	0.159955	0.154158	0.124527	0.102145	0.0746166	0.0451371	0.0363711	0.0563062	0.101754
a54	0.175719	0.299903	0.276288	0.109084	0.0495037	0.0317848	0.0165047	0.0120733	0.0131379	0.0160017
a15	0.156336	0.286182	0.252037	0.0893311	0.0465198	0.0423823	0.0284238	0.0235011	0.0327661	0.0425201
a37	0.129066	0.243236	0.23624	0.112668	0.0647927	0.0590136	0.0356172	0.0314649	0.0396592	0.0482416
a98	0.116586	0.188946	0.218461	0.139613	0.109951	0.102828	0.0409856	0.0257872	0.0280095	0.0288317
a47	0.0684443	0.0858549	0.151907	0.158352	0.124742	0.0962254	0.0611267	0.0701401	0.0848992	0.098309
a37	0.123411	0.0740669	0.112502	0.143274	0.151692	0.105257	0.0590572	0.059554	0.0793213	0.0918645
a66	0.116883	0.066416	0.0997217	0.154246	0.21795	0.157254	0.0602039	0.0424576	0.0427425	0.0421255
a62	0.0856827	0.0311563	0.041502	0.0634399	0.147579	0.1781	0.101383	0.11063	0.122109	0.118417
a21	0.0466234	0.0196345	0.0287648	0.0449489	0.104156	0.129768	0.147502	0.182149	0.167851	0.128601
a85	0.100191	0.0768429	0.124293	0.104875	0.0772123	0.0742589	0.0896626	0.117752	0.119389	0.115524
a44	0.0563239	0.048244	0.0707798	0.0575682	0.0435509	0.04324	0.0706787	0.143487	0.213595	0.252533
a93	0.0390011	0.0171745	0.023221	0.0274174	0.036707	0.0359646	0.0603132	0.193875	0.300102	0.266225
a70	0.0169971	0.00844869	0.0104903	0.00972713	0.0150018	0.0239307	0.0443202	0.15867	0.336998	0.375415
a83	0.00650529	0.00307698	0.00388438	0.00465998	0.00765396	0.0142187	0.0324765	0.121108	0.346064	0.460353
a75	0.00208236	0.000753261	0.000750209	0.000994707	0.00234128	0.00740084	0.0279603	0.115323	0.325753	0.516641
a61	0.00519063	0.00251335	0.00351745	0.00422951	0.00671318	0.0126663	0.0242446	0.0858069	0.310346	0.544772
a0	0.00063239	0.000327127	0.000260083	0.00044298	0.00141316	0.00579217	0.0263415	0.106864	0.305999	0.551927
a50	0.00128507	0.000749807	0.000274045	0.000314724	0.00118458	0.00431761	0.0172025	0.0778642	0.266676	0.630131
a83	0.0101012	0.00620936	0.00265384	0.00197149	0.00408124	0.00923427	0.0255985	0.108955	0.283942	0.547253
a9	0.00524592	0.00355991	0.00159742	0.001353	0.00301321	0.00708143	0.0213986	0.101738	0.295107	0.559905
a10	0.0206386	0.0124443	0.00587147	0.00467951	0.00835138	0.0133767	0.033271	0.0860867	0.241996	0.573284
a87	0.0432792	0.0373683	0.0125969	0.0248259	0.0481975	0.0376303	0.0756713	0.123731	0.238946	0.357754
a23	0.0592615	0.0446701	0.0206185	0.0325525	0.0517847	0.0369851	0.0696519	0.135093	0.249522	0.299861
a87	0.0130565	0.0110923	0.00414105	0.00265368	0.00315021	0.00263451	0.0136184	0.0768108	0.332018	0.540825
</S>	0.00488612	0.0056613	0.00179118	0.000835179	0.000979772	0.00131374	0.0140857	0.0837319	0.319816	0.566899
