 	il	a	assemblé	les	travailleurs	</S>
a23	0.492222	0.2993	0.119677	0.0297588	0.0240563	0.0349863
a85	0.459444	0.283044	0.105216	0.0383263	0.0494972	0.0644725
a87	0.286833	0.308426	0.185246	0.0713201	0.0660752	0.0821002
a23	0.383931	0.284273	0.176877	0.0610448	0.0404367	0.0534366
a87	0.0881271	0.0635525	0.058053	0.0624435	0.269775	0.458049
a23	0.0689514	0.0831319	0.117096	0.124046	0.255211	0.351564
a20	0.0138164	0.0203935	0.0292436	0.0447528	0.306184	0.58561
a84	0.16917	0.205673	0.186066	0.142258	0.167671	0.129162
a20	0.210564	0.225469	0.20685	0.207923	0.0989592	0.0502343
a94	0.129904	0.179471	0.226747	0.214975	0.134541	0.114361
a35	0.113428	0.143836	0.257187	0.302609	0.113655	0.0692852
a24	0.147187	0.1528	0.2131	0.287729	0.120417	0.0787678
a43	0.10322	0.102013	0.150715	0.273859	0.232012	0.138181
a11	0.128781	0.132495	0.139787	0.17285	0.233292	0.192796
a75	0.0917873	0.104376	0.124107	0.16827	0.260213	0.251247
a41	0.0786515	0.0901937	0.148206	0.191873	0.248124	0.242951
a0	0.0211105	0.0237542	0.0481173	0.110896	0.340852	0.45527
a11	0.0225611	0.0189164	0.0242109	0.0453059	0.231905	0.657101
a73	0.016931	0.0117151	0.0118874	0.0241902	0.174976	0.760301
a56	0.00684887	0.0051479	0.00918293	0.033439	0.227319	0.718063
a11	0.0176796	0.0136032	0.0236648	0.0652859	0.234451	0.645315
a66	0.00677214	0.00445009	0.00670234	0.0219963	0.181964	0.778115
a9	0.0057768	0.00359314	0.00527477	0.0175501	0.187775	0.78003
a87	0.00217801	0.00118015	0.00218173	0.0129144	0.192541	0.789005
</S>	0.00399921	0.00355241	0.0118806	0.0251795	0.198749	0.756639
