 	la	route	est	bloquée	</S>
a23	0.594024	0.200571	0.0937902	0.062774	0.048841
a87	0.509334	0.241166	0.123692	0.0696165	0.0561911
a23	0.32862	0.252591	0.183147	0.12484	0.110802
a20	0.432421	0.201532	0.132559	0.101944	0.131544
a73	0.60648	0.21837	0.112313	0.0401313	0.0227052
a37	0.46711	0.30958	0.167897	0.0434642	0.0119492
a26	0.386241	0.317508	0.203827	0.0704965	0.0219283
a61	0.301172	0.304389	0.24278	0.114938	0.036722
a31	0.298247	0.294117	0.256991	0.119409	0.0312353
a88	0.286347	0.277553	0.247584	0.140109	0.0484067
a71	0.235094	0.290273	0.277456	0.149024	0.0481529
a53	0.172161	0.275569	0.318467	0.175051	0.0587528
a4	0.177697	0.246147	0.244333	0.197031	0.134792
a57	0.108228	0.16956	0.242842	0.270608	0.208763
a54	0.106755	0.164343	0.256452	0.295549	0.1769
a94	0.0949197	0.13122	0.199538	0.310802	0.263521
a54	0.0879	0.124146	0.197975	0.331586	0.258393
a73	0.0744453	0.0947902	0.147741	0.32361	0.359413
a44	0.063634	0.0868172	0.142503	0.313378	0.393667
a58	0.0533445	0.0729937	0.129638	0.341262	0.402762
a40	0.0336638	0.0446872	0.0875207	0.286316	0.547812
a20	0.0780414	0.0893313	0.139366	0.256379	0.436883
a44	0.0483253	0.0566362	0.0895428	0.222048	0.583448
a13	0.0146584	0.0174278	0.0398728	0.172171	0.75587
a7	0.016366	0.017132	0.0384195	0.16305	0.765032
a2	0.0126953	0.013276	0.0288904	0.123963	0.821175
a57	0.00401439	0.00350891	0.0127299	0.149278	0.830468
a87	0.016119	0.0111269	0.0271922	0.170508	0.775054
a23	0.239254	0.115752	0.123229	0.188747	0.333019
a87	0.323496	0.155185	0.14366	0.146031	0.231627
</S>	0.0845677	0.0493192	0.0807316	0.216194	0.569188
