 	voici	le	bateau	</S>
a66	0.69719	0.152546	0.0841212	0.066143
a87	0.387972	0.257938	0.20214	0.15195
a40	0.700457	0.178434	0.0702726	0.0508358
a79	0.713779	0.161228	0.0770287	0.0479636
a6	0.641228	0.19692	0.102444	0.0594075
a0	0.431065	0.287246	0.19067	0.0910193
a56	0.310741	0.23401	0.252844	0.202405
a75	0.304736	0.204312	0.236714	0.254238
a85	0.235044	0.212099	0.254605	0.298252
a92	0.133066	0.180428	0.268511	0.417994
a47	0.0561718	0.103644	0.25948	0.580705
a36	0.0157004	0.0579316	0.234181	0.692187
a2	0.0113088	0.046738	0.196053	0.7459
a57	0.0740089	0.12129	0.282917	0.521784
a87	0.225302	0.158482	0.23665	0.379566
a23	0.379448	0.223434	0.193259	0.203859
a99	0.154582	0.164037	0.259007	0.422373
a97	0.0817106	0.109985	0.242749	0.565555
</S>	0.0486857	0.0749319	0.214945	0.661437
