 	il	a	un	bec-de-lièvre	</S>
a23	0.398436	0.213225	0.137942	0.118324	0.132072
a85	0.39846	0.202656	0.14396	0.122438	0.132486
a87	0.238816	0.147174	0.121974	0.177556	0.31448
a23	0.354852	0.208838	0.142653	0.130132	0.163526
a20	0.22628	0.1932	0.18769	0.188956	0.203873
a26	0.271427	0.238055	0.213364	0.171474	0.10568
a24	0.303512	0.270847	0.210507	0.135652	0.0794817
a56	0.28835	0.270395	0.208789	0.137477	0.0949897
a20	0.264594	0.255934	0.213002	0.150464	0.116006
a73	0.256436	0.271871	0.227343	0.149064	0.0952862
a94	0.144333	0.193727	0.248962	0.235821	0.177157
a38	0.0816248	0.115028	0.205685	0.294665	0.302997
a41	0.0331536	0.0464268	0.104788	0.285366	0.530266
a18	0.0233186	0.0369705	0.0889665	0.286021	0.564724
a31	0.00984814	0.0162551	0.0497076	0.2175	0.706689
a24	0.0112536	0.018782	0.0562167	0.227398	0.68635
a88	0.0133831	0.0195244	0.0532063	0.203599	0.710287
a71	0.0125045	0.0196466	0.0570247	0.208836	0.701988
a76	0.0196004	0.0259972	0.0562934	0.191326	0.706783
a94	0.0128452	0.0270665	0.0798667	0.273603	0.606619
a98	0.010036	0.017685	0.0556528	0.237742	0.678884
a71	0.0142533	0.0251716	0.0691305	0.24526	0.646185
a3	0.0212952	0.0327345	0.0777578	0.23336	0.634852
a87	0.0717339	0.0708897	0.103494	0.229862	0.524021
</S>	0.022601	0.0376046	0.0902736	0.272016	0.577505
