 	mon	enfant	qui	était	très	faible	est	devenu	fort	</S>
a66	0.19589	0.12526	0.0973841	0.096287	0.104774	0.119699	0.104868	0.0677721	0.0489361	0.0391302
a87	0.204228	0.124565	0.113323	0.0950885	0.099388	0.0994693	0.0949204	0.0601139	0.0549268	0.0539777
a10	0.393419	0.186639	0.139326	0.0831442	0.0554678	0.0361326	0.0306952	0.021376	0.0239109	0.0298891
a87	0.36261	0.16545	0.131445	0.0807688	0.0645236	0.049799	0.0465401	0.034257	0.0322058	0.0324002
a23	0.33054	0.151882	0.125818	0.0788134	0.0695146	0.0583292	0.0579156	0.0453967	0.0429505	0.03884
a83	0.293328	0.126563	0.100531	0.0680264	0.0650504	0.063853	0.0620533	0.0640402	0.0807216	0.0758325
a54	0.170512	0.136778	0.0969242	0.0812044	0.0814863	0.0912599	0.0719311	0.0663005	0.0920581	0.111545
a47	0.190334	0.188901	0.112493	0.104468	0.0832828	0.0784097	0.0589688	0.0494899	0.0612025	0.0724496
a37	0.171518	0.186197	0.122508	0.126867	0.0881027	0.0715703	0.0505119	0.0419038	0.0575431	0.0832785
a6	0.121058	0.144297	0.139398	0.157147	0.113824	0.0949234	0.0635177	0.043913	0.0507729	0.0711483
a37	0.117234	0.159185	0.143438	0.163657	0.115499	0.0889343	0.0579075	0.0409716	0.0458366	0.067337
a75	0.101611	0.122911	0.143525	0.184415	0.125318	0.0935448	0.064457	0.0448238	0.0477631	0.0716303
a85	0.0808173	0.111125	0.121991	0.159201	0.126879	0.111987	0.0878979	0.0591235	0.0550663	0.0859116
a37	0.0939231	0.130848	0.138968	0.166438	0.119789	0.0929734	0.0746825	0.0556645	0.0518255	0.0748881
a75	0.0680067	0.0778385	0.0933213	0.135585	0.128506	0.121625	0.113482	0.07523	0.0723577	0.114048
a98	0.0267304	0.0367505	0.0473282	0.0784583	0.0877362	0.10806	0.137887	0.141994	0.135054	0.2
a92	0.0302794	0.0439066	0.0564443	0.0916212	0.0973327	0.113737	0.13769	0.128137	0.122845	0.178007
a25	0.0229806	0.0303198	0.0388098	0.0632495	0.0723776	0.0922316	0.125337	0.147889	0.16457	0.242235
a56	0.0335036	0.0470128	0.0576925	0.0837029	0.0903353	0.102585	0.132291	0.129314	0.134083	0.18948
a96	0.0249716	0.0235618	0.0267973	0.0384571	0.0500934	0.0666774	0.130889	0.176258	0.18256	0.279734
a75	0.0167901	0.0159458	0.018871	0.0267214	0.0360298	0.0512778	0.113227	0.201771	0.218288	0.301077
a61	0.00602252	0.00557697	0.00640913	0.00950108	0.014836	0.0251068	0.0629114	0.173681	0.261249	0.434706
a75	0.00495651	0.00465828	0.00520911	0.00692871	0.0106106	0.0169472	0.0387572	0.130173	0.293821	0.487939
a85	0.0026923	0.00277071	0.003122	0.0046215	0.00707317	0.0116226	0.0289687	0.114974	0.289691	0.534464
a61	0.00196728	0.00217515	0.00278308	0.00432129	0.00616704	0.00999907	0.0274178	0.121054	0.294497	0.529619
a62	0.00469371	0.00447564	0.00422921	0.00510533	0.0074778	0.0121699	0.0316957	0.12697	0.29507	0.508113
a83	0.0050967	0.00486287	0.00475047	0.00549926	0.00749236	0.0125538	0.0287616	0.110369	0.281042	0.539573
a98	0.00292538	0.002612	0.00254144	0.00300353	0.00481562	0.0104614	0.0233144	0.0940817	0.281644	0.5746
a73	0.00251447	0.00248692	0.00236287	0.00285375	0.00391976	0.00682273	0.016693	0.0672997	0.233898	0.661149
a37	0.00322549	0.00304951	0.00277324	0.00294527	0.00380513	0.0061983	0.0125775	0.0549353	0.23183	0.678661
a26	0.0104984	0.00855576	0.00812288	0.00816474	0.0120804	0.0202935	0.0361891	0.10728	0.260409	0.528406
a57	0.0569742	0.0417797	0.034472	0.0314588	0.034092	0.0384476	0.0563096	0.115627	0.219095	0.371745
a87	0.154805	0.0827162	0.0658346	0.0504375	0.051664	0.0547729	0.0701609	0.101273	0.148305	0.22003
a23	0.173733	0.0849901	0.0588964	0.040312	0.0376835	0.0419785	0.0660669	0.123659	0.178075	0.194606
a87	0.153334	0.0856208	0.0593769	0.0434127	0.0366578	0.0316162	0.0521895	0.112265	0.185576	0.239951
</S>	0.0447138	0.0359339	0.0320031	0.0307914	0.0305347	0.0350185	0.0690207	0.135761	0.217465	0.368758
