 	je	t'	ai	laissé	un	petit	paquet	de	poissons	dans	la	marmite	</S>
a66	0.0780777	0.0784042	0.0831256	0.088481	0.116632	0.164131	0.159309	0.114796	0.0576081	0.0254401	0.0148468	0.0100795	0.00906933
a87	0.240899	0.205923	0.151862	0.084103	0.0593614	0.0447995	0.0578356	0.0600228	0.0396251	0.0190572	0.0133862	0.0111693	0.0119562
a23	0.322095	0.2537	0.165948	0.0717368	0.0466587	0.0341724	0.0264769	0.0217823	0.0152668	0.0106426	0.0101939	0.010187	0.0111392
a87	0.338625	0.299723	0.175332	0.0589713	0.0388332	0.0281295	0.0189114	0.00934514	0.00476386	0.00330488	0.00436584	0.00722109	0.0124737
a23	0.276473	0.26537	0.181951	0.0799838	0.0562818	0.0442342	0.0328662	0.0224023	0.0113152	0.0061141	0.0061258	0.00744956	0.00943353
a83	0.312994	0.277007	0.156595	0.0635444	0.045283	0.0384909	0.0266066	0.0186019	0.0104106	0.00834441	0.0103438	0.0138135	0.0179649
a62	0.264323	0.227309	0.137089	0.0864475	0.0700584	0.0516714	0.0307104	0.0298437	0.015635	0.0124425	0.016872	0.0252818	0.0323168
a24	0.233285	0.209027	0.159633	0.133035	0.0868734	0.0478589	0.0378347	0.0392418	0.0178154	0.00961215	0.00857856	0.00832462	0.00887973
a31	0.136568	0.154894	0.145625	0.143393	0.0989974	0.0625381	0.0597828	0.0724903	0.0455158	0.0231911	0.020078	0.0180181	0.0189075
a21	0.087938	0.105514	0.122573	0.145624	0.110069	0.0745014	0.0833278	0.0987963	0.067164	0.0331468	0.0265729	0.0221663	0.0226072
a75	0.0995156	0.101523	0.11234	0.126755	0.0976099	0.072057	0.0878102	0.107906	0.0806257	0.0395274	0.029843	0.0220528	0.0224349
a79	0.0479485	0.0612212	0.0758712	0.104292	0.105552	0.087121	0.120854	0.140516	0.109722	0.054973	0.0360113	0.0261524	0.0297659
a7	0.0314415	0.0351078	0.0456515	0.0814174	0.108989	0.115637	0.137052	0.122375	0.0992809	0.063663	0.0541107	0.0476049	0.0576699
a85	0.0223544	0.0281988	0.0377371	0.0690791	0.119919	0.167665	0.151678	0.101549	0.0722832	0.0488639	0.0474478	0.0567148	0.0765102
a98	0.0126588	0.0172744	0.0226718	0.0438945	0.073547	0.116805	0.144694	0.114361	0.08689	0.061917	0.0701663	0.0934667	0.141653
a85	0.00769632	0.00934398	0.0120391	0.0252366	0.0466856	0.0850084	0.12552	0.111429	0.113866	0.0896085	0.092065	0.113448	0.168054
a5	0.00481942	0.00513256	0.00640142	0.0148709	0.0294127	0.0553168	0.0940987	0.0987421	0.13821	0.12515	0.117371	0.124976	0.185498
a0	0.00581441	0.00563989	0.00630654	0.0149853	0.0365766	0.0877962	0.158387	0.140912	0.150964	0.0943064	0.0722893	0.084445	0.141578
a12	0.00857037	0.00725865	0.00739367	0.0129724	0.0243108	0.0554475	0.11089	0.0960537	0.149311	0.137334	0.1005	0.110394	0.179564
a43	0.00762548	0.00608221	0.00594888	0.00936661	0.015759	0.0344247	0.0732636	0.0678192	0.128218	0.159226	0.130944	0.13637	0.224952
a75	0.00827484	0.00719987	0.00724051	0.0106003	0.0175186	0.0348718	0.0557976	0.0491829	0.0795544	0.0988946	0.113227	0.177687	0.339951
a92	0.00128995	0.00105277	0.00094514	0.00135516	0.00221661	0.00461306	0.00820481	0.00968356	0.032346	0.0959288	0.152258	0.237169	0.452938
a37	0.00101428	0.000834596	0.000761646	0.00118355	0.00204553	0.00452482	0.00894487	0.010208	0.0315227	0.106207	0.179482	0.244532	0.408739
a56	0.00139572	0.000960297	0.000849258	0.00136311	0.00255169	0.0057852	0.00889576	0.00721266	0.0163017	0.0528713	0.123922	0.266126	0.511765
a96	0.000986026	0.000552435	0.000503584	0.000831844	0.00148351	0.003154	0.00551443	0.00525785	0.0151032	0.0605909	0.155434	0.298935	0.451653
a66	0.00101507	0.000639487	0.000560198	0.000872263	0.00151014	0.00249349	0.00462961	0.00548178	0.0134532	0.0398175	0.110349	0.293625	0.525553
a3	0.00929748	0.00675186	0.00529324	0.00655171	0.00892404	0.0131913	0.0143527	0.0146066	0.023753	0.0595717	0.1465	0.287822	0.403384
a87	0.0808656	0.0529174	0.0351318	0.0305367	0.03068	0.0328663	0.0285518	0.0312278	0.0433562	0.0679563	0.10228	0.17588	0.287751
a23	0.0931285	0.0680389	0.0472707	0.0293588	0.0293559	0.0342988	0.0430093	0.0622675	0.0914297	0.140037	0.13546	0.111184	0.115161
a97	0.0491203	0.036022	0.0251891	0.0144214	0.0131374	0.0130149	0.0223068	0.0381295	0.0570312	0.100465	0.153885	0.206436	0.270842
</S>	0.0117637	0.00757508	0.00597857	0.00443258	0.00398831	0.00459647	0.00860947	0.0172642	0.0414982	0.0847888	0.15394	0.262435	0.39313
