 	elle	prépare	comme	au	village	</S>
a66	0.512043	0.231363	0.0909717	0.0487824	0.053398	0.0634421
a87	0.542006	0.216357	0.0984969	0.0487984	0.0410191	0.0533227
a23	0.549398	0.188859	0.0816443	0.0486014	0.0511688	0.0803283
a20	0.339735	0.206697	0.135262	0.0851578	0.0928277	0.140321
a54	0.47894	0.251455	0.118036	0.0597936	0.0442759	0.0474995
a47	0.324381	0.314092	0.202205	0.0836275	0.0416809	0.0340126
a6	0.201048	0.260744	0.228992	0.13562	0.091186	0.0824088
a47	0.169217	0.222229	0.245304	0.16268	0.10926	0.0913101
a15	0.0827803	0.128064	0.195555	0.194158	0.195422	0.20402
a79	0.0874734	0.127546	0.203483	0.221461	0.193209	0.166828
a94	0.083025	0.102967	0.180364	0.239826	0.215538	0.178281
a90	0.0425571	0.0425271	0.0894298	0.202199	0.307939	0.315348
a25	0.0165916	0.0190055	0.0539932	0.179819	0.35537	0.37522
a94	0.00567593	0.00963097	0.0339362	0.116152	0.336301	0.498304
a90	0.00217171	0.00367518	0.0144425	0.0641003	0.281025	0.634586
a69	0.00520338	0.00686809	0.0206062	0.0783606	0.30111	0.587851
a58	0.00271312	0.00419337	0.0147834	0.0590352	0.259139	0.660136
a84	0.00502508	0.0104795	0.0369964	0.0961721	0.240482	0.610844
a82	0.033057	0.0253306	0.0487752	0.100388	0.252981	0.539468
a97	0.272324	0.128834	0.111964	0.105893	0.15074	0.230245
a87	0.30211	0.153696	0.119561	0.104856	0.13546	0.184316
a23	0.33741	0.181155	0.134684	0.100409	0.109735	0.136607
a87	0.11759	0.0828961	0.0836984	0.107067	0.221478	0.38727
</S>	0.0308742	0.0288189	0.0439993	0.0822351	0.241923	0.572149
