 	cette	femme-ci	est	en	train	de	peigner	ses	cheveux	devant	le	miroir	</S>
a66	0.139918	0.156743	0.145364	0.10864	0.104928	0.124759	0.0841577	0.0401913	0.0254693	0.0241638	0.0203204	0.0159009	0.00944449
a87	0.251485	0.170008	0.140378	0.0749539	0.050455	0.0490724	0.0340466	0.0199147	0.0197152	0.0351682	0.0496394	0.0633699	0.0417947
a97	0.124558	0.0997227	0.0941944	0.0598277	0.0526203	0.0483291	0.0570346	0.0370782	0.0415249	0.0932289	0.124578	0.0961409	0.0711623
a79	0.189983	0.147576	0.106213	0.0740992	0.079294	0.0826423	0.0746361	0.0462304	0.0342924	0.0559506	0.0552853	0.0253311	0.0284669
a4	0.255669	0.254343	0.208915	0.0909265	0.0526927	0.0413318	0.0218264	0.00958814	0.00663804	0.0122153	0.0193925	0.0127907	0.0136701
a70	0.182757	0.228578	0.251276	0.132824	0.0782393	0.0557295	0.0295129	0.0110314	0.00556783	0.00673944	0.00766108	0.00576901	0.00431491
a96	0.134328	0.215428	0.254885	0.14825	0.0938134	0.0640336	0.0332787	0.0140313	0.00890742	0.00970881	0.0104721	0.00785031	0.00501265
a93	0.0963516	0.18877	0.242273	0.155633	0.11403	0.0781318	0.0430301	0.0191075	0.0146226	0.01382	0.0140458	0.0123434	0.00784259
a90	0.0674031	0.150097	0.190882	0.158613	0.158394	0.115594	0.0632096	0.0273847	0.0191553	0.0161102	0.0133208	0.0115804	0.0082562
a25	0.0392776	0.0849236	0.145028	0.176231	0.194961	0.15384	0.0802738	0.0399064	0.0291064	0.0192217	0.013015	0.0131061	0.0111088
a98	0.0296737	0.0568965	0.106486	0.148008	0.163586	0.149426	0.101555	0.0692493	0.0573237	0.0385294	0.0257753	0.0280216	0.0254701
a85	0.0267963	0.0578341	0.097508	0.126117	0.126331	0.12245	0.100823	0.0979382	0.0805706	0.0602371	0.038427	0.0326712	0.0322976
a6	0.0252635	0.0506338	0.0910721	0.124146	0.12926	0.126319	0.103193	0.0981542	0.0820232	0.0621879	0.0388431	0.0347608	0.0341432
a0	0.0210186	0.0388065	0.0732771	0.106271	0.117711	0.117521	0.112283	0.10052	0.0931273	0.0725454	0.0484355	0.0462022	0.0522798
a54	0.0104088	0.0149853	0.0319616	0.0603621	0.0949845	0.106224	0.133441	0.144701	0.129563	0.0913418	0.0579521	0.0536584	0.0704164
a36	0.0069655	0.00985453	0.0220003	0.0528029	0.0774514	0.0896079	0.118648	0.128618	0.142408	0.114605	0.0819108	0.0681937	0.0869346
a37	0.00776446	0.00917097	0.0173495	0.0338001	0.0648869	0.0870114	0.135468	0.15236	0.153331	0.114238	0.0752269	0.064912	0.0844803
a75	0.00739825	0.00657945	0.00956559	0.0187628	0.040704	0.0704613	0.136958	0.162487	0.164223	0.122146	0.084192	0.0779454	0.0985769
a21	0.00330042	0.0033357	0.00634824	0.0156658	0.0318039	0.0505207	0.112141	0.131278	0.164119	0.135555	0.105759	0.0981794	0.141994
a5	0.0033817	0.00310927	0.00459723	0.0104659	0.0243998	0.045839	0.142352	0.16415	0.184568	0.1319	0.088727	0.085806	0.110704
a43	0.00342018	0.0028163	0.00366429	0.00684137	0.0154103	0.0350408	0.134872	0.16146	0.180446	0.128428	0.0921525	0.0985268	0.136922
a11	0.00233153	0.00224365	0.00285589	0.00442862	0.00911618	0.0190349	0.0884917	0.129166	0.162419	0.120157	0.113274	0.160262	0.186221
a93	0.00346385	0.00374117	0.00389888	0.00431373	0.00644076	0.0103997	0.0386055	0.0643865	0.107331	0.0956877	0.143937	0.267107	0.250687
a4	0.00148984	0.00146669	0.00186473	0.00258361	0.00506433	0.0101727	0.0620856	0.0987469	0.146383	0.110738	0.118951	0.176216	0.264238
a11	0.00169071	0.00167665	0.00202124	0.00269338	0.00509673	0.00958274	0.0597056	0.102044	0.157653	0.109665	0.112471	0.154357	0.281343
a21	0.00148538	0.00143914	0.00134685	0.0015853	0.00246354	0.00378581	0.0149805	0.0323026	0.0809077	0.079697	0.14894	0.263601	0.367465
a12	0.00138795	0.0013627	0.00157886	0.00209986	0.00364146	0.00612526	0.0332216	0.0496547	0.0895221	0.0725326	0.100285	0.231906	0.406681
a18	0.000832999	0.000917361	0.00103727	0.00125267	0.00200344	0.00314267	0.0165614	0.0293517	0.0683611	0.053563	0.0983169	0.257101	0.467558
a27	0.00134541	0.00132126	0.00108253	0.00136744	0.00227846	0.0035018	0.0118848	0.0248339	0.0923331	0.0884496	0.173611	0.249821	0.348169
a75	0.012592	0.00863091	0.00604572	0.00590136	0.00814057	0.00968157	0.0217972	0.045848	0.128929	0.121411	0.18052	0.199084	0.251418
a6	0.000326701	0.000422934	0.00053614	0.000613096	0.000828236	0.00102988	0.0047226	0.0109314	0.0411666	0.0481563	0.120332	0.271292	0.499643
a36	0.000225149	0.000301557	0.000398205	0.000524342	0.000845467	0.00115967	0.0080666	0.0185429	0.0514579	0.0454411	0.0878754	0.212408	0.572754
a2	0.000860503	0.000763619	0.000695213	0.000928082	0.00153225	0.00203455	0.00626873	0.0135349	0.0551311	0.0531615	0.133203	0.256073	0.475813
