 	il	s'	adosse	au	mur	de	la	maison	</S>
a23	0.246798	0.218276	0.201643	0.129866	0.0974497	0.0478945	0.0269782	0.0168297	0.0142654
a53	0.159759	0.121924	0.166071	0.128172	0.0942498	0.0928503	0.0813757	0.0798843	0.075714
a15	0.302437	0.22963	0.25241	0.114642	0.0468217	0.0228709	0.0149707	0.00872127	0.0074971
a14	0.308049	0.272065	0.214899	0.111567	0.0456812	0.0208965	0.0122607	0.00826196	0.00631889
a35	0.267536	0.231395	0.225423	0.137901	0.0712816	0.0319512	0.0155634	0.0106303	0.00831841
a30	0.240537	0.206823	0.219473	0.166135	0.0848716	0.0362801	0.0183111	0.0143978	0.0131703
a41	0.205502	0.172432	0.172836	0.176091	0.115539	0.0581259	0.0358878	0.0303072	0.0332795
a24	0.192764	0.164721	0.178917	0.181871	0.131558	0.0688481	0.0342351	0.0239599	0.0231256
a41	0.228151	0.176839	0.171356	0.157136	0.11808	0.0644096	0.0343343	0.0237864	0.0259073
a35	0.0954207	0.120373	0.155545	0.179068	0.169377	0.122583	0.0668943	0.0455769	0.0451621
a41	0.067448	0.0922608	0.136537	0.164698	0.17849	0.154974	0.0937802	0.0579982	0.0538138
a35	0.065554	0.0967218	0.134273	0.153785	0.143112	0.140957	0.112911	0.0808045	0.0718823
a41	0.0530285	0.0745132	0.100818	0.107876	0.107723	0.13963	0.152394	0.133812	0.130204
a32	0.0368548	0.0549962	0.0845233	0.091286	0.0914023	0.133237	0.173789	0.167745	0.166167
a38	0.0183728	0.0265713	0.0528483	0.0530466	0.0520767	0.102136	0.170066	0.23048	0.294402
a14	0.0136535	0.0195616	0.0396873	0.0421211	0.0429697	0.0874457	0.156484	0.237267	0.36081
a35	0.0123763	0.0165447	0.0316401	0.0312275	0.0322263	0.0732521	0.160184	0.258924	0.383624
a66	0.0162339	0.0184947	0.0334747	0.0257522	0.0227758	0.0514746	0.128616	0.249747	0.453432
a24	0.0234827	0.0236408	0.0474138	0.030681	0.0247463	0.0430688	0.0992759	0.202972	0.504718
a41	0.0083228	0.00876185	0.0189672	0.0139885	0.0146964	0.0365885	0.0941015	0.231836	0.572737
a47	0.0170081	0.0164859	0.0323274	0.0209175	0.0178431	0.0362081	0.0970523	0.209424	0.552733
a98	0.0184981	0.0171356	0.0321109	0.0230516	0.0220928	0.0452572	0.109455	0.22424	0.508159
a25	0.00908434	0.00958509	0.0192415	0.0156633	0.0177731	0.0481246	0.128789	0.240334	0.511405
a87	0.00865001	0.010511	0.0211796	0.0158423	0.0161156	0.0425886	0.119082	0.227353	0.538678
</S>	0.0145619	0.0110863	0.022105	0.0190182	0.0262476	0.0607958	0.147692	0.265934	0.432559
