 	il	était	en	train	d'	entasser	les	poissons	pour	les	vendre	</S>
a87	0.0756452	0.0752653	0.0917783	0.119286	0.129176	0.255399	0.122628	0.0576712	0.0259595	0.0204142	0.0140475	0.012731
a10	0.0977185	0.0591967	0.0604692	0.0763996	0.0744173	0.101801	0.128553	0.0706454	0.0537841	0.0833037	0.0830982	0.110614
a97	0.13827	0.100595	0.0885262	0.0961525	0.0811331	0.102158	0.0814543	0.0519489	0.0453564	0.0662291	0.062162	0.0860152
a30	0.139428	0.107711	0.100999	0.127029	0.0929439	0.118691	0.0803131	0.0582077	0.047497	0.0521026	0.0359055	0.0391724
a53	0.143459	0.112198	0.100565	0.121445	0.080089	0.0932797	0.0767589	0.0664979	0.0596425	0.062865	0.0410467	0.0421536
a98	0.167103	0.121953	0.0947783	0.102969	0.0968836	0.118008	0.0741995	0.0503365	0.0393398	0.0467387	0.0387123	0.0489793
a41	0.286454	0.181866	0.0854742	0.0774097	0.0690572	0.115156	0.0541208	0.0345704	0.0233508	0.0247524	0.0223217	0.0254667
a66	0.220017	0.164342	0.102078	0.0993806	0.0959554	0.169214	0.0595258	0.0297469	0.0167186	0.015759	0.0128703	0.0143927
a61	0.182231	0.156352	0.107904	0.10641	0.108082	0.180465	0.0578106	0.0334609	0.0201963	0.0166429	0.0147673	0.0156781
a21	0.123909	0.128755	0.120584	0.134045	0.135206	0.206745	0.0581959	0.0316062	0.0179409	0.0141897	0.013626	0.0151961
a75	0.150492	0.142015	0.122197	0.13309	0.128125	0.200715	0.055836	0.0244301	0.0130122	0.0100364	0.00941277	0.010639
a85	0.0831652	0.101796	0.112942	0.120312	0.126598	0.165019	0.0841927	0.0590348	0.0411189	0.0316406	0.0329551	0.0412258
a47	0.0715999	0.0924944	0.103413	0.106808	0.11241	0.176393	0.0903566	0.0643413	0.0476617	0.0400393	0.0418963	0.0525865
a44	0.0693622	0.0936147	0.13437	0.140202	0.14503	0.195435	0.0781351	0.0430566	0.024869	0.0206123	0.023431	0.0318818
a38	0.0566362	0.0629314	0.105315	0.14706	0.184212	0.194404	0.106693	0.0536217	0.0261436	0.0189972	0.0190354	0.0249494
a11	0.0448153	0.0498098	0.0902319	0.131174	0.180427	0.161709	0.119111	0.0745145	0.0426917	0.0316816	0.0324403	0.0413937
a90	0.0320942	0.0361965	0.0770665	0.124355	0.179534	0.142602	0.136834	0.0859991	0.051876	0.0393341	0.0411416	0.0529674
a92	0.0503628	0.0507154	0.0704373	0.102853	0.156304	0.133433	0.11776	0.0918127	0.0624572	0.0468472	0.0508282	0.0661886
a85	0.041477	0.0440274	0.0613915	0.0844511	0.126855	0.11585	0.110637	0.0966233	0.0802794	0.0672969	0.0739375	0.0971739
a11	0.0414099	0.044506	0.0550349	0.0750563	0.108406	0.125812	0.101315	0.0828788	0.0735835	0.0770739	0.0904281	0.124496
a75	0.0401744	0.0382532	0.0569412	0.0721813	0.107561	0.0700581	0.120405	0.134482	0.0928501	0.0697003	0.0776015	0.119793
a70	0.0547056	0.048473	0.0446021	0.0491369	0.0660562	0.06895	0.0655494	0.0750759	0.0813494	0.102976	0.1335	0.209626
a35	0.0283834	0.0277759	0.0446805	0.0614402	0.0909148	0.054196	0.0931938	0.117434	0.0959759	0.0815265	0.105904	0.198575
a98	0.0322736	0.0322759	0.0479247	0.0672605	0.100264	0.0664992	0.0970659	0.122495	0.102472	0.084896	0.0989701	0.147604
a47	0.033034	0.0313728	0.0387302	0.0510616	0.0722245	0.0648267	0.0892912	0.108835	0.096205	0.0996467	0.12095	0.193823
a44	0.0423999	0.0397354	0.0454922	0.0576703	0.0789996	0.0795801	0.087024	0.094657	0.0873222	0.0931752	0.11	0.183944
a57	0.0416871	0.0384812	0.0467579	0.0508778	0.0660958	0.0414811	0.0586894	0.0891142	0.101299	0.110811	0.132136	0.222569
a40	0.0195119	0.0174335	0.0254058	0.0365281	0.0515369	0.0350731	0.0635454	0.0919682	0.112724	0.137473	0.163492	0.245308
a98	0.032029	0.0282074	0.0317091	0.0382865	0.0494334	0.043394	0.0670732	0.0933969	0.110683	0.123156	0.144001	0.238631
a15	0.0210045	0.0189206	0.0213091	0.0279401	0.035305	0.0456951	0.0684401	0.094448	0.119976	0.14904	0.162942	0.23498
