 	la	viande	de	corbeau	n'	est	pas	comestible	</S>
a87	0.201769	0.175151	0.136126	0.155551	0.0950217	0.0760809	0.0621316	0.0537208	0.0444482
a40	0.131111	0.0751377	0.0645567	0.0633752	0.0806756	0.107662	0.135837	0.166039	0.175606
a47	0.181813	0.160235	0.106595	0.104101	0.0735361	0.0770747	0.0851944	0.104094	0.107355
a41	0.379647	0.300027	0.14639	0.0628909	0.0308614	0.022799	0.0201694	0.0197326	0.0174821
a27	0.32521	0.30113	0.164355	0.0732971	0.04234	0.0307165	0.0230223	0.0216344	0.0182941
a61	0.27758	0.316302	0.242126	0.0758493	0.030253	0.0191352	0.0142672	0.0129974	0.0114899
a75	0.240872	0.30331	0.264003	0.104319	0.0354201	0.0186198	0.0128076	0.0110057	0.00964304
a98	0.222317	0.249562	0.186099	0.120917	0.064064	0.0477348	0.0391471	0.0370827	0.0330758
a85	0.171779	0.178457	0.17001	0.161333	0.0813405	0.0650471	0.0587463	0.0586812	0.0546064
a37	0.151061	0.142012	0.146465	0.180699	0.089513	0.0767143	0.0738972	0.0749855	0.064653
a26	0.176954	0.160948	0.168506	0.203887	0.098567	0.0682382	0.0479685	0.0412212	0.0337109
a75	0.0870968	0.0982766	0.152893	0.226968	0.1491	0.100247	0.0687704	0.0602641	0.056384
a5	0.0653269	0.0680839	0.110336	0.241747	0.135927	0.112544	0.0957764	0.0921856	0.0780731
a27	0.068774	0.0668175	0.0839294	0.201284	0.142735	0.13528	0.114703	0.102614	0.0838629
a98	0.0162913	0.0154263	0.0306698	0.0827228	0.12557	0.163631	0.170066	0.188767	0.206856
a47	0.00861107	0.0107348	0.0245232	0.101516	0.124483	0.16523	0.180541	0.190704	0.193657
a73	0.00741422	0.00889642	0.0212808	0.0900797	0.113938	0.151433	0.171758	0.209579	0.225622
a2	0.00309279	0.00325435	0.00701493	0.0256692	0.0459855	0.0996167	0.178773	0.277372	0.359222
a54	0.0021824	0.00210992	0.00498251	0.014171	0.0316954	0.0687299	0.133511	0.245446	0.497172
a47	0.00175938	0.00149367	0.0031937	0.0100518	0.0232491	0.0705909	0.156805	0.276305	0.456552
a37	0.000906431	0.000885469	0.00257122	0.0141756	0.0275862	0.0725288	0.161155	0.285418	0.434773
a6	0.000382751	0.000330682	0.000888242	0.00541959	0.014375	0.0469147	0.132181	0.273643	0.525865
a26	0.000343817	0.000275607	0.000672824	0.00380617	0.00961632	0.0349579	0.117616	0.25719	0.575521
a40	0.000480114	0.000427064	0.000739396	0.00293092	0.00770031	0.0315027	0.106086	0.266556	0.583577
a36	0.000864882	0.00067494	0.00122831	0.00429414	0.00991096	0.0336188	0.1105	0.252602	0.586305
a57	0.000804105	0.000721573	0.00123966	0.00419808	0.00904301	0.0280271	0.0920934	0.233324	0.630549
a87	0.00924674	0.00652823	0.00681764	0.0100502	0.0315115	0.0783515	0.146591	0.251509	0.459394
a23	0.0462021	0.0296499	0.0201814	0.0263416	0.0665809	0.138971	0.191885	0.237853	0.242335
a87	0.0248703	0.0163096	0.0110624	0.0145113	0.040794	0.105562	0.211633	0.291086	0.28417
a23	0.00572755	0.00502721	0.00628597	0.0120998	0.0326906	0.0865908	0.184562	0.30128	0.365736
a97	0.00720093	0.00664444	0.00786684	0.0140165	0.0347793	0.0915999	0.193085	0.294421	0.350387
</S>	0.0107221	0.0104115	0.012553	0.0161544	0.0298662	0.0759592	0.164232	0.293886	0.386215
