 	autrefois	la	plupart	des	hommes	riches	avaient	des	esclaves	</S>
a66	0.139051	0.147959	0.0934116	0.13976	0.154855	0.138307	0.120748	0.0418323	0.0209469	0.00312904
a87	0.273014	0.171901	0.0705547	0.0879244	0.122591	0.112792	0.0795064	0.0274936	0.03803	0.0161926
a23	0.309901	0.141019	0.0940485	0.101616	0.0943566	0.0693416	0.0637267	0.0470286	0.0462537	0.0327089
a99	0.329506	0.196389	0.161454	0.0853332	0.056184	0.0516907	0.0443584	0.0244251	0.0265008	0.0241585
a87	0.290266	0.225044	0.164983	0.101903	0.0553107	0.0409665	0.0394463	0.0306594	0.0249698	0.0264509
a23	0.322784	0.201584	0.120157	0.0901405	0.0552869	0.0502915	0.0602014	0.0480289	0.0368146	0.0147109
a99	0.303858	0.21678	0.142056	0.0924237	0.0529214	0.047984	0.045092	0.0396134	0.0342991	0.0249724
a97	0.261174	0.226364	0.141326	0.105437	0.0699711	0.0572122	0.040108	0.0462309	0.0268761	0.0253019
a87	0.320794	0.206107	0.105055	0.08358	0.0565416	0.0537616	0.0486489	0.0554646	0.0484101	0.0216366
a23	0.328926	0.19065	0.101088	0.0777976	0.0613158	0.0625679	0.0507564	0.0540371	0.049728	0.0231332
a18	0.29592	0.221902	0.133084	0.0876435	0.0621305	0.0591105	0.0399117	0.0414818	0.0304056	0.0284117
a99	0.212873	0.20836	0.183994	0.120708	0.0863989	0.0656689	0.0392549	0.0482962	0.0186433	0.0158028
a83	0.215068	0.204353	0.169668	0.121767	0.0889788	0.0695596	0.0424712	0.049707	0.0220317	0.016397
a54	0.117481	0.144268	0.172446	0.136873	0.0972443	0.0832417	0.0661149	0.0626838	0.0917186	0.027928
a36	0.0626171	0.0886552	0.140504	0.139012	0.106249	0.11459	0.10711	0.105377	0.111166	0.0247195
a5	0.0664117	0.102417	0.154794	0.131475	0.0835169	0.0805814	0.088066	0.0748234	0.174731	0.0431837
a12	0.0442335	0.0693455	0.135657	0.138707	0.107383	0.109978	0.114573	0.0917676	0.156543	0.0318116
a31	0.0321075	0.0520763	0.114114	0.132492	0.112782	0.122118	0.141622	0.114476	0.150448	0.027764
a88	0.0320802	0.0479768	0.0964308	0.126881	0.102627	0.111542	0.143215	0.122093	0.18928	0.027876
a71	0.0348788	0.0491474	0.0884234	0.125974	0.0982549	0.0971051	0.133187	0.130301	0.196962	0.0457664
a50	0.0367247	0.0518024	0.0864617	0.126037	0.0717825	0.0817053	0.142346	0.161884	0.190739	0.0505166
a62	0.0149601	0.0270398	0.0655052	0.113596	0.0875087	0.0995548	0.164212	0.174455	0.201751	0.0514174
a21	0.0100413	0.0194879	0.0607394	0.112102	0.0927994	0.116596	0.184528	0.186469	0.183672	0.0335656
a5	0.00872491	0.0148658	0.045213	0.0975939	0.113977	0.140795	0.220765	0.162735	0.145373	0.049957
a37	0.0074427	0.0132557	0.0401791	0.0942629	0.111296	0.137507	0.224859	0.160587	0.147832	0.0627788
a12	0.00736513	0.0155051	0.0446233	0.0961843	0.0903786	0.118375	0.200937	0.172269	0.159919	0.0944443
a62	0.004552	0.00916151	0.0301026	0.0679416	0.0695576	0.107837	0.213648	0.179269	0.162721	0.15521
a31	0.00395595	0.00786967	0.0277207	0.0606387	0.0593195	0.104716	0.222344	0.186775	0.179266	0.147395
a21	0.0050131	0.00836208	0.0221848	0.0442918	0.038634	0.0684967	0.179957	0.16193	0.182575	0.288555
a85	0.00413647	0.00683087	0.0202436	0.0404814	0.0474504	0.0914238	0.217772	0.158275	0.155091	0.258295
a21	0.00668292	0.00773552	0.0135241	0.0289871	0.0387082	0.0524393	0.13463	0.097305	0.116379	0.503608
a47	0.00585063	0.00888017	0.0228562	0.0459957	0.0601874	0.0954351	0.200382	0.146005	0.121941	0.292466
a61	0.00695154	0.01053	0.0236632	0.0379736	0.0447119	0.0721534	0.123883	0.0945642	0.096727	0.488842
a21	0.00471987	0.00698199	0.0176979	0.0267877	0.0344519	0.0646386	0.116139	0.0861423	0.11073	0.53171
a12	0.00512074	0.00724785	0.0146172	0.0204784	0.0266842	0.0466126	0.0923249	0.0632916	0.0881503	0.635472
a96	0.00365792	0.00512618	0.0112691	0.0161793	0.021161	0.0390523	0.0703505	0.0507398	0.0678052	0.714659
a12	0.00305969	0.0042806	0.00885479	0.0127718	0.0162315	0.0278457	0.0497714	0.0382416	0.0516058	0.787337
a18	0.00338211	0.00456926	0.00791453	0.0104772	0.0136198	0.0243718	0.047622	0.0361318	0.064763	0.787149
a82	0.00175353	0.00281753	0.00529287	0.00934437	0.0102629	0.0164831	0.025441	0.0237451	0.0307172	0.874142
a87	0.0151993	0.0202526	0.0287048	0.0528949	0.0581896	0.0667778	0.0905797	0.0962492	0.0730168	0.498136
a23	0.0334925	0.0231514	0.0238601	0.0446219	0.058495	0.0490108	0.0818165	0.112204	0.0808976	0.49245
a10	0.00812278	0.00335804	0.0021843	0.00489813	0.00697844	0.00685022	0.0163833	0.0346602	0.047943	0.868622
</S>	0.00610387	0.0023771	0.00150397	0.0039934	0.00515972	0.00483945	0.010562	0.0290592	0.0587245	0.877677
