 	cet	enfant	a	l'	habitude	de	tout	mettre	en	doute	</S>
a66	0.354348	0.273158	0.148453	0.0781092	0.0505839	0.0327892	0.0212417	0.0143582	0.0113687	0.00998773	0.00560181
a87	0.340227	0.239145	0.145359	0.104452	0.0858899	0.0409523	0.0185219	0.0108303	0.00723503	0.00532586	0.00206039
a23	0.324034	0.2261	0.153087	0.100487	0.0749895	0.037571	0.0185781	0.0157446	0.0170944	0.0213206	0.0109936
a54	0.31224	0.166563	0.110105	0.0826734	0.0710682	0.0376911	0.0201051	0.0245078	0.0514903	0.0761536	0.0474025
a47	0.303065	0.218876	0.154296	0.103048	0.0859373	0.0466515	0.0235175	0.017868	0.0162401	0.0147186	0.0157826
a85	0.0940691	0.103229	0.146	0.198051	0.210318	0.107606	0.047531	0.0348934	0.0252514	0.0187463	0.0143039
a98	0.0611353	0.0818478	0.131768	0.186315	0.23038	0.16142	0.0807507	0.040292	0.0152392	0.00696403	0.00388887
a85	0.0451761	0.058999	0.113897	0.198487	0.243898	0.183407	0.0883827	0.0394098	0.0148915	0.00832212	0.00512917
a6	0.0357366	0.0451564	0.0845281	0.145689	0.199442	0.188873	0.134618	0.0780693	0.0402699	0.0284072	0.0192111
a12	0.0591396	0.0557019	0.0839997	0.125659	0.170082	0.168549	0.130174	0.0818142	0.0477798	0.0451905	0.0319095
a62	0.0450188	0.0335433	0.0461728	0.0651194	0.0932658	0.145216	0.167348	0.133763	0.0959725	0.0899945	0.0845851
a88	0.0216918	0.015145	0.0194055	0.0288226	0.0424439	0.0775638	0.115724	0.144282	0.162597	0.175386	0.196938
a38	0.00772802	0.00531361	0.00634649	0.00972443	0.0138294	0.0214082	0.0384898	0.0626629	0.124528	0.264487	0.445481
a11	0.0033754	0.00242712	0.00251767	0.00357705	0.00509633	0.00759586	0.0156497	0.0332042	0.0994416	0.291589	0.535526
a96	0.00286955	0.00246304	0.00283296	0.0048055	0.0072262	0.00995739	0.0165001	0.0329351	0.0939293	0.26187	0.564611
a66	0.00245714	0.00233524	0.00293518	0.00523365	0.00799182	0.0123668	0.0203084	0.0407056	0.11399	0.250487	0.541189
a9	0.023508	0.0210195	0.0239335	0.0361193	0.0400977	0.0493775	0.0611276	0.0817363	0.112248	0.162034	0.388798
a99	0.257334	0.168302	0.1057	0.0818899	0.0644313	0.0567889	0.0488928	0.0440949	0.0401428	0.0439142	0.0885083
a87	0.289397	0.231524	0.1501	0.0952509	0.062794	0.0418971	0.0297868	0.0253236	0.0216955	0.0226038	0.0296276
a23	0.232728	0.213299	0.154174	0.108765	0.0769444	0.0498184	0.0341212	0.0293023	0.0271396	0.0331421	0.0405661
a87	0.117863	0.0910047	0.065989	0.055617	0.0516132	0.0520938	0.0605638	0.0798108	0.119234	0.145052	0.161158
</S>	0.0181567	0.0135961	0.0140519	0.0186851	0.0238795	0.0373378	0.0745212	0.120723	0.206203	0.230882	0.241963
