 	il	avait	un	gros	poisson	en	mains	</S>
a66	0.353801	0.203504	0.109372	0.086648	0.0882951	0.0645807	0.0540733	0.0397254
a87	0.262596	0.200561	0.152305	0.113438	0.0876181	0.058898	0.066962	0.0576216
a23	0.373963	0.243305	0.141983	0.0888792	0.0457043	0.0293534	0.0367082	0.0401046
a30	0.318079	0.230249	0.14255	0.0960738	0.05142	0.041021	0.0567955	0.0638112
a53	0.305574	0.238629	0.134661	0.0857068	0.051411	0.0462752	0.0607163	0.0770261
a20	0.357661	0.323102	0.156614	0.0757128	0.0364508	0.0196443	0.0157385	0.0150766
a15	0.225683	0.258453	0.202655	0.137854	0.0764966	0.039261	0.0295018	0.030096
a36	0.171562	0.219074	0.213064	0.158958	0.106061	0.0550993	0.0393099	0.036872
a6	0.1558	0.169748	0.187407	0.156842	0.113729	0.0774102	0.063853	0.0752109
a12	0.123098	0.134974	0.15821	0.154753	0.149766	0.109174	0.084398	0.0856284
a96	0.130305	0.117675	0.131724	0.142811	0.152506	0.125747	0.0981601	0.101073
a94	0.0916978	0.0823276	0.104989	0.139684	0.169091	0.148251	0.13021	0.133751
a90	0.0608736	0.0541215	0.0692493	0.111143	0.182374	0.191511	0.168199	0.162529
a56	0.0390099	0.0360444	0.0461254	0.0820073	0.171433	0.219808	0.211527	0.194045
a21	0.025972	0.0239177	0.0314914	0.0611212	0.15033	0.241922	0.245193	0.220052
a5	0.0090041	0.00838788	0.0120809	0.025774	0.0790962	0.231503	0.319807	0.314347
a21	0.00466748	0.00428607	0.0061692	0.01352	0.0445596	0.183446	0.341526	0.401825
a37	0.00255421	0.00242732	0.00347125	0.00789749	0.0320312	0.165029	0.356806	0.429783
a98	0.0025102	0.00243459	0.00340807	0.00594391	0.0175314	0.0882477	0.300004	0.579921
a47	0.000520898	0.000550314	0.000915307	0.00229586	0.0090182	0.0646328	0.279895	0.642171
a15	0.000673973	0.00070845	0.00113304	0.00291194	0.0140978	0.0936887	0.335645	0.551141
a79	0.000882291	0.000907376	0.00134229	0.00292024	0.0119767	0.0738726	0.306438	0.60166
a25	0.00208933	0.00205579	0.00250327	0.00390388	0.0120383	0.0638706	0.291657	0.621881
a69	0.000822432	0.000961201	0.00162031	0.00344466	0.0117156	0.0574597	0.261949	0.662027
a58	0.00363956	0.0032842	0.00365463	0.00488472	0.0132945	0.0568484	0.260844	0.653549
a84	0.0083225	0.00703622	0.00795721	0.011408	0.0255351	0.0880321	0.278711	0.572998
a82	0.125196	0.0759206	0.0605815	0.0609919	0.0778521	0.122266	0.210174	0.267017
a87	0.263941	0.146182	0.0884755	0.0716145	0.0626205	0.0720681	0.133234	0.161864
a23	0.226851	0.126361	0.0767173	0.0631592	0.0595955	0.0761188	0.165521	0.205677
a99	0.0723787	0.048051	0.0324089	0.0274528	0.03824	0.0866799	0.271057	0.423732
a87	0.0445991	0.0286067	0.0227428	0.0225355	0.0429973	0.113429	0.25563	0.46946
</S>	0.0168443	0.0141418	0.0149893	0.019581	0.0469807	0.127945	0.287448	0.472069
