 	j'	ai	déjà	traversé	le	fleuve	</S>
a66	0.317406	0.271909	0.16	0.109311	0.0666559	0.0444727	0.0302452
a87	0.302019	0.162034	0.135365	0.156869	0.133603	0.0657658	0.0443445
a23	0.394029	0.303144	0.149251	0.06907	0.0329522	0.0262067	0.0253468
a18	0.485183	0.334647	0.106301	0.04214	0.0126507	0.0083674	0.0107116
a62	0.464116	0.374883	0.10242	0.0302499	0.0112334	0.00766785	0.00943055
a96	0.396237	0.357489	0.15334	0.0550067	0.0172998	0.0103354	0.0102927
a62	0.237301	0.360563	0.247414	0.0935153	0.0288114	0.0175591	0.0148373
a0	0.101722	0.213477	0.309554	0.21209	0.0841	0.046252	0.0328044
a75	0.0784666	0.133727	0.219047	0.226889	0.164327	0.106649	0.0708945
a98	0.0879806	0.152688	0.267716	0.24663	0.120443	0.0743486	0.0501939
a92	0.0471574	0.0670533	0.134273	0.20448	0.201367	0.187088	0.158582
a85	0.0582098	0.0577089	0.0914311	0.16448	0.202941	0.222342	0.202887
a47	0.0178083	0.0159366	0.0395081	0.133163	0.250069	0.279357	0.264159
a6	0.00624032	0.004638	0.0131257	0.0513387	0.130272	0.271045	0.52334
a37	0.00591286	0.0039159	0.0103585	0.0423216	0.113708	0.268749	0.555035
a75	0.00207066	0.000949434	0.0019261	0.0107224	0.0459516	0.203747	0.734633
a5	0.000950915	0.000647224	0.00218893	0.0128639	0.0495608	0.193952	0.739836
a61	0.000926712	0.000599627	0.0018881	0.00910901	0.0352204	0.177184	0.775073
a18	0.000633141	0.000420441	0.00132039	0.00717075	0.0359526	0.190121	0.764381
a25	0.00257381	0.00232872	0.00499633	0.0150228	0.0498589	0.21053	0.714689
a3	0.0627161	0.0299075	0.0295397	0.049052	0.0857274	0.218919	0.524138
a87	0.24433	0.097599	0.0530206	0.0644429	0.0943129	0.165608	0.280688
a23	0.204797	0.109062	0.0649014	0.0618032	0.0940918	0.178356	0.286989
a97	0.0280722	0.0163519	0.0154422	0.023367	0.0695376	0.247363	0.599866
</S>	0.00926458	0.00551953	0.00683916	0.0162145	0.0670526	0.260687	0.634422
