 	sur	cette	bande	de	terrain	il	a	fait	une	belle	plantation	</S>
a23	0.238826	0.174434	0.117859	0.0904125	0.0723321	0.0796412	0.0770728	0.0630399	0.0408571	0.0163699	0.0133931	0.0157621
a85	0.299775	0.136368	0.139646	0.0710547	0.0554099	0.0405211	0.0422303	0.0480866	0.0472536	0.0397464	0.0414904	0.0384191
a87	0.220698	0.110183	0.128633	0.0765181	0.0598775	0.0433793	0.0387856	0.0465529	0.0501891	0.0555611	0.0757063	0.0939165
a23	0.149308	0.0955089	0.154042	0.110361	0.112842	0.0728001	0.059814	0.0532313	0.0403515	0.0349374	0.0468723	0.0699313
a87	0.23946	0.13384	0.129615	0.0673917	0.0540694	0.0355481	0.0230024	0.0217428	0.0225431	0.037387	0.0774004	0.158
a23	0.162432	0.105127	0.148481	0.0871887	0.0736127	0.0454626	0.039651	0.0405004	0.0421978	0.0518532	0.0764523	0.127041
a18	0.209897	0.126127	0.107043	0.0669799	0.0644906	0.0369848	0.0266449	0.026715	0.0285527	0.0473098	0.0863535	0.172902
a38	0.200754	0.192417	0.144747	0.114547	0.102653	0.0482885	0.0371282	0.0303931	0.0259241	0.0263395	0.0343342	0.0424742
a24	0.183029	0.169616	0.138484	0.131597	0.130694	0.0715524	0.0481159	0.0326209	0.0230492	0.0201482	0.0237157	0.0273783
a41	0.128475	0.127361	0.141124	0.145111	0.154173	0.0979998	0.0703374	0.0480019	0.0299938	0.019936	0.01806	0.0194266
a18	0.111804	0.122442	0.147572	0.151904	0.153741	0.117427	0.0755473	0.0494007	0.027998	0.0153185	0.0129112	0.0139346
a31	0.0815425	0.0889138	0.120396	0.113065	0.107683	0.154124	0.120139	0.0903888	0.0523141	0.0270447	0.0219602	0.022429
a24	0.0662362	0.0746236	0.105832	0.116886	0.123169	0.160718	0.134107	0.108662	0.0577585	0.0223409	0.0153688	0.0142996
a41	0.0548355	0.057597	0.094864	0.109065	0.114775	0.178263	0.151859	0.125505	0.064603	0.0207078	0.0139106	0.0140148
a27	0.0459432	0.0442465	0.0768569	0.0888198	0.0955285	0.207864	0.166861	0.126061	0.0637269	0.0271423	0.0246574	0.0322928
a25	0.0197227	0.0162493	0.0292453	0.0323764	0.0369706	0.090716	0.125804	0.187467	0.167475	0.0941826	0.0883966	0.111394
a87	0.0251623	0.0233193	0.0376789	0.043898	0.0555322	0.114126	0.148169	0.16902	0.122286	0.0727588	0.0789135	0.109136
a23	0.049453	0.0402157	0.0656847	0.0828562	0.136664	0.0974522	0.131619	0.146603	0.121269	0.0535009	0.03493	0.0397523
a79	0.0579035	0.0332345	0.0548068	0.0579145	0.0998633	0.0904306	0.12124	0.141315	0.114682	0.0689328	0.0615562	0.0981211
