 	cette	année	le	riz	n'	a	pas	donné	beaucoup	</S>
a23	0.217335	0.172022	0.141443	0.138077	0.118354	0.0791158	0.0482097	0.0318848	0.0273375	0.0262215
a87	0.357989	0.149046	0.148147	0.105628	0.069417	0.0409267	0.0308086	0.0290914	0.0308978	0.0380482
a23	0.245707	0.157282	0.157268	0.108754	0.0666668	0.0422856	0.0391262	0.0435895	0.0549896	0.0843316
a54	0.323195	0.135395	0.116475	0.0736312	0.0482172	0.036327	0.0370763	0.0485614	0.0690406	0.112081
a73	0.41273	0.115005	0.093707	0.0790154	0.0573891	0.0515814	0.0463978	0.0494042	0.0488015	0.0459687
a20	0.361271	0.136603	0.146576	0.1155	0.0585932	0.0412259	0.0347256	0.0364754	0.0343315	0.0346986
a73	0.225731	0.131748	0.150437	0.13695	0.0955072	0.0704797	0.0552518	0.0487508	0.0430163	0.042129
a94	0.207624	0.141696	0.159086	0.138212	0.0990051	0.0724056	0.0559498	0.0461436	0.0399968	0.0398806
a20	0.188125	0.139669	0.159256	0.132078	0.09498	0.070293	0.0592732	0.0531129	0.0500967	0.0531166
a41	0.16045	0.150832	0.164651	0.139282	0.115244	0.0833171	0.0598116	0.0453897	0.040139	0.0408827
a24	0.13639	0.14649	0.176734	0.159653	0.127463	0.0872383	0.0564532	0.0398248	0.0346477	0.0351074
a41	0.0985651	0.135017	0.17453	0.171048	0.134145	0.0845777	0.0550985	0.0451689	0.0461967	0.055653
a27	0.0985996	0.147342	0.177478	0.170734	0.139735	0.0871568	0.0517041	0.0387767	0.0392712	0.0492023
a25	0.0636008	0.0928519	0.125802	0.142242	0.157301	0.110915	0.0725784	0.0621235	0.070955	0.10163
a87	0.0489428	0.0955724	0.144132	0.166348	0.157773	0.0974342	0.0627964	0.0546531	0.0648099	0.107538
a23	0.0438953	0.0787863	0.109976	0.140795	0.163691	0.138002	0.105049	0.0780985	0.0649862	0.0767201
a38	0.0641511	0.0947281	0.111058	0.132664	0.130472	0.0979734	0.0759266	0.0697422	0.0825512	0.140733
a20	0.0559661	0.0578468	0.0677462	0.0819909	0.100843	0.117884	0.120533	0.127985	0.124034	0.145171
a94	0.0790322	0.106302	0.117181	0.122795	0.128164	0.107399	0.0836518	0.0766652	0.0809904	0.0978183
a32	0.0797073	0.111375	0.114795	0.112406	0.118144	0.111523	0.0964607	0.0869413	0.0807066	0.0879413
a24	0.0361742	0.0661127	0.0790302	0.094584	0.1233	0.126371	0.119514	0.117569	0.113472	0.123873
a32	0.0292291	0.0533486	0.067519	0.0872645	0.11838	0.122903	0.122313	0.126928	0.130819	0.141296
a38	0.028381	0.0440594	0.0537567	0.0721147	0.113198	0.122477	0.126103	0.135603	0.144916	0.159391
a76	0.0212803	0.0332375	0.0429515	0.0600987	0.10549	0.12016	0.127496	0.142784	0.160183	0.18632
a90	0.0293485	0.0481212	0.0545742	0.0704608	0.114191	0.118032	0.116397	0.120625	0.138236	0.190014
a58	0.0194149	0.0322453	0.0367851	0.0499946	0.083551	0.0947546	0.110529	0.142795	0.190081	0.23985
a38	0.0146448	0.0236948	0.0288345	0.0395337	0.0772213	0.0929151	0.109437	0.14499	0.202105	0.266624
a53	0.0146639	0.0166878	0.0176905	0.0234555	0.0542346	0.0732898	0.100168	0.149365	0.23131	0.319135
a76	0.0125441	0.0128203	0.0138022	0.0180467	0.0379179	0.0510818	0.0779664	0.133734	0.253105	0.388981
a41	0.014947	0.0156659	0.0187124	0.0241978	0.0462384	0.0588906	0.0887357	0.141976	0.242031	0.348605
a24	0.0149823	0.0171429	0.0196104	0.0264509	0.0505712	0.0642395	0.0938666	0.146783	0.237908	0.328445
a25	0.00872438	0.00936687	0.0100143	0.0127289	0.0239388	0.0347734	0.059184	0.115723	0.265538	0.460008
a38	0.0119548	0.0108716	0.0108783	0.011933	0.0238263	0.0348868	0.0579444	0.118681	0.265223	0.453801
a73	0.00955603	0.00864863	0.00860887	0.00893238	0.0178492	0.0245158	0.0419159	0.0910633	0.245133	0.543777
a84	0.00876458	0.0065929	0.00708343	0.00857761	0.0190274	0.0278256	0.0498265	0.112006	0.265335	0.494961
a57	0.0129194	0.0112175	0.0114373	0.0114505	0.0200663	0.0258543	0.0433625	0.091411	0.232286	0.539996
a87	0.0161753	0.0135009	0.0136285	0.0138429	0.0253268	0.0334485	0.0634052	0.123534	0.255868	0.44127
</S>	0.0154633	0.0152613	0.0148642	0.0210563	0.0393457	0.0533239	0.0873434	0.141657	0.233535	0.37815
