 	ondouma	était	stérile	mais	le	guérisseur	l'	a	rendue	féconde	</S>
a23	0.260293	0.15119	0.160912	0.116177	0.0737237	0.050006	0.0367854	0.0254414	0.022315	0.0369588	0.0661982
a87	0.390751	0.209494	0.172861	0.0739574	0.0382623	0.0239869	0.0172846	0.0155447	0.0107574	0.0154885	0.0316122
a23	0.192035	0.20045	0.19431	0.129865	0.0778681	0.0468529	0.0308745	0.0246153	0.0174644	0.0342381	0.0514267
a87	0.300418	0.21993	0.18485	0.091796	0.0540274	0.0347273	0.017879	0.0144683	0.00951473	0.0220614	0.0503276
a23	0.211807	0.182351	0.161806	0.0847886	0.0528619	0.036875	0.0240502	0.0222479	0.021813	0.0700011	0.131398
a79	0.37946	0.188888	0.13668	0.0508331	0.0338489	0.0254078	0.013908	0.0128316	0.0122028	0.0418271	0.104113
a4	0.473054	0.208993	0.144398	0.0519103	0.0341168	0.0196778	0.0122349	0.00855134	0.00892305	0.0180185	0.0201221
a13	0.328214	0.193191	0.15171	0.0812154	0.0689759	0.0485239	0.0383908	0.0242779	0.0213427	0.024779	0.0193802
a66	0.195663	0.161578	0.144202	0.10108	0.0964078	0.0825682	0.0696387	0.0458812	0.0392973	0.0359445	0.0277386
a90	0.119014	0.116015	0.107552	0.0878594	0.091915	0.0961587	0.0981989	0.0815104	0.0780397	0.0688956	0.0548414
a94	0.0952986	0.118649	0.123376	0.107042	0.112668	0.114134	0.0999895	0.0782923	0.063061	0.048596	0.0388933
a54	0.0897109	0.117608	0.132026	0.113207	0.117884	0.117602	0.0991357	0.07414	0.0568343	0.0426426	0.0392099
a73	0.0715142	0.104945	0.124377	0.12344	0.128546	0.131309	0.112018	0.0823034	0.056704	0.0354746	0.0293697
a27	0.0867488	0.126372	0.132145	0.127302	0.122409	0.112309	0.0954825	0.0750249	0.0498163	0.0386145	0.0337752
a11	0.0700268	0.112714	0.133542	0.138462	0.136681	0.126625	0.103715	0.0750222	0.0411672	0.0298825	0.0321615
a56	0.0515859	0.0888201	0.12944	0.152144	0.14708	0.131696	0.110113	0.078569	0.0449843	0.0306904	0.034877
a70	0.053489	0.085987	0.115264	0.131726	0.128292	0.115272	0.0993029	0.0827165	0.0625988	0.0611416	0.0642095
