 	la	maladie	a	fait	perdre	la	mémoire	à	cette	fille	</S>
a66	0.177314	0.122124	0.0964407	0.0953786	0.106106	0.109696	0.104149	0.0855822	0.0436528	0.0296323	0.029924
a82	0.0930493	0.101585	0.125127	0.150311	0.121955	0.0993459	0.0950543	0.06934	0.0443412	0.044107	0.055784
a9	0.229124	0.152262	0.0975582	0.0772902	0.0590638	0.0536101	0.0834168	0.0750363	0.0562981	0.0577955	0.0585451
a62	0.212765	0.141825	0.0941093	0.0738765	0.0630404	0.0593994	0.0848067	0.0768331	0.0615153	0.0661692	0.0656603
a83	0.219743	0.179601	0.118283	0.0766167	0.0577867	0.0429447	0.0640272	0.0890313	0.0612055	0.0451695	0.0455908
a90	0.248577	0.211234	0.138161	0.0798387	0.0584702	0.0394254	0.0387922	0.051169	0.0485151	0.0398123	0.046005
a25	0.232893	0.237834	0.171454	0.093614	0.0636711	0.0370256	0.029348	0.0343916	0.0326615	0.0306876	0.036419
a92	0.180334	0.189998	0.179859	0.128778	0.10274	0.0560419	0.0332875	0.0336429	0.0290783	0.0286788	0.0375616
a24	0.207425	0.21883	0.1974	0.128901	0.101363	0.0527015	0.0260397	0.0206138	0.0157406	0.0140873	0.0168981
a61	0.162753	0.153779	0.178573	0.144242	0.128078	0.0794964	0.0452312	0.0326209	0.025424	0.0228109	0.0269925
a24	0.147785	0.124968	0.163302	0.148405	0.139382	0.0948653	0.056312	0.0398634	0.0295336	0.0258563	0.0297283
a61	0.0566689	0.0421811	0.0731728	0.112415	0.143199	0.131265	0.101476	0.0798952	0.0753142	0.0795712	0.104842
a11	0.0721001	0.0462598	0.0745585	0.108251	0.130805	0.128387	0.104897	0.0842854	0.0797235	0.0794062	0.091326
a56	0.0314217	0.0197861	0.0319155	0.0646852	0.100555	0.124812	0.119673	0.107217	0.116981	0.124029	0.158925
a61	0.0319516	0.0205263	0.0309073	0.0599194	0.093643	0.131292	0.136439	0.125496	0.122056	0.114749	0.13302
a31	0.0164262	0.0110408	0.017395	0.0378737	0.0646512	0.106116	0.126343	0.132372	0.15766	0.156633	0.173489
a43	0.00648673	0.00457719	0.00758845	0.0166897	0.029792	0.0558118	0.0857402	0.114135	0.178715	0.226404	0.27406
a75	0.00140308	0.00117214	0.00196551	0.0042459	0.00803049	0.0183197	0.0459027	0.0938109	0.192072	0.25946	0.373617
a85	0.00252122	0.001613	0.00229134	0.00485357	0.00815246	0.0171851	0.0355103	0.0710927	0.162924	0.280803	0.413054
a98	0.00192179	0.00133611	0.00189466	0.00428302	0.00804493	0.0189218	0.0361534	0.0614053	0.126386	0.274094	0.465559
a92	0.00180096	0.00139509	0.00202787	0.00442807	0.00779863	0.0179088	0.0360153	0.0639593	0.132433	0.278991	0.453242
a75	0.00193631	0.00121201	0.00164756	0.00351769	0.00671838	0.016429	0.0312526	0.0523244	0.10769	0.265588	0.511685
a56	0.00181598	0.00117117	0.0015266	0.00327663	0.00550754	0.0119794	0.0241174	0.0471897	0.10847	0.285664	0.509282
a75	0.00135023	0.000843012	0.000899231	0.00171211	0.00265127	0.00592959	0.0163459	0.0372964	0.0940194	0.267083	0.57187
a34	0.000795264	0.000542586	0.000606443	0.00112907	0.00157662	0.00343389	0.0094239	0.0243772	0.0813359	0.28268	0.594099
a93	0.00110571	0.000719886	0.00081699	0.00150767	0.00223302	0.00477982	0.0136112	0.0286085	0.0830626	0.246866	0.616689
a70	0.000745401	0.00051682	0.000586945	0.00106616	0.00151066	0.00324697	0.00975435	0.0227085	0.0784781	0.245687	0.635699
a13	0.000782907	0.000643967	0.00080605	0.00140574	0.00198919	0.00399596	0.01051	0.0258738	0.0886001	0.253715	0.611678
a18	0.00557221	0.00468222	0.00488028	0.00690203	0.00932111	0.0139141	0.0252826	0.0452775	0.110539	0.262649	0.51098
a13	0.013621	0.0106826	0.0102379	0.0128288	0.0159931	0.0191209	0.0255341	0.0368174	0.0819995	0.253518	0.519647
a9	0.00993788	0.00837126	0.00848629	0.0115623	0.014568	0.0177619	0.0235581	0.0318425	0.0719907	0.237896	0.564025
a38	0.0349177	0.0252781	0.022567	0.0261891	0.029801	0.0325961	0.0434379	0.0510335	0.0826495	0.220546	0.430984
a9	0.0453784	0.0328324	0.0276683	0.0309986	0.0311106	0.0339415	0.0507109	0.0576671	0.0821805	0.209088	0.398423
a82	0.0538705	0.035364	0.0275586	0.0291185	0.0293999	0.0342463	0.0596767	0.0737386	0.107309	0.226702	0.323016
a3	0.0562473	0.0358177	0.0258329	0.0260266	0.0256981	0.0318356	0.0624061	0.0862824	0.123574	0.218303	0.307976
a38	0.04791	0.0312231	0.0228661	0.0249831	0.0268363	0.0403296	0.0856267	0.105941	0.128062	0.198167	0.288055
a97	0.0509994	0.0336715	0.0222015	0.0226295	0.0208717	0.0287266	0.0626077	0.0874268	0.120404	0.21202	0.338441
a9	0.0366384	0.0259693	0.0210932	0.0274716	0.0284845	0.0376604	0.0711389	0.0850997	0.108498	0.200317	0.35763
</S>	0.0652449	0.043443	0.0304464	0.0354092	0.0325234	0.039302	0.0753007	0.0898702	0.107258	0.185522	0.29568
