 	le	manioc	que	nyebhi	a	préparé	hier	s'	est	déjà	durci	</S>
a66	0.180926	0.141738	0.153436	0.126118	0.137544	0.127437	0.0573837	0.0339042	0.0173994	0.00911237	0.0072286	0.00777182
a10	0.12563	0.0975135	0.0771249	0.0694767	0.0916051	0.0803009	0.0728807	0.0644515	0.057218	0.0654922	0.084116	0.11419
a82	0.256957	0.203379	0.148191	0.13622	0.0835443	0.0574771	0.0233348	0.015369	0.0113738	0.0129909	0.0182846	0.0328781
a10	0.190693	0.202501	0.174471	0.172562	0.0840117	0.0595072	0.0252221	0.0188227	0.0154401	0.0160904	0.0189693	0.021709
a62	0.159325	0.186301	0.171056	0.178586	0.0895069	0.0644234	0.0298975	0.0230412	0.0205636	0.0219638	0.0262474	0.0290868
a83	0.23913	0.260322	0.258165	0.137829	0.0451685	0.0274833	0.00997954	0.0074026	0.00484062	0.00399815	0.00287176	0.00280937
a54	0.235066	0.292348	0.261107	0.121635	0.0339587	0.021222	0.00955967	0.00813428	0.00594194	0.00478154	0.00322468	0.00302139
a25	0.242812	0.271205	0.235311	0.103497	0.041647	0.03258	0.0187556	0.0165496	0.01247	0.010064	0.00744128	0.00766776
a44	0.21979	0.264853	0.203086	0.0899157	0.0537853	0.0451077	0.0307759	0.0265224	0.0218112	0.0174178	0.013188	0.0137473
a24	0.177621	0.237475	0.195453	0.106904	0.0739371	0.0610671	0.0381443	0.0299892	0.0246156	0.0196654	0.0176657	0.0174622
a47	0.146559	0.196251	0.178862	0.113798	0.0906362	0.0784214	0.0475676	0.0355114	0.0293931	0.0248563	0.0275049	0.0306392
a21	0.143868	0.17338	0.171795	0.13418	0.104938	0.0902115	0.0516965	0.0344633	0.0254114	0.0190988	0.0223947	0.0285645
a85	0.121191	0.118426	0.118518	0.145466	0.124902	0.127827	0.0794156	0.0538781	0.0383608	0.0238363	0.022846	0.0253337
a37	0.044141	0.059979	0.0822848	0.123584	0.110762	0.110946	0.0939038	0.0841293	0.0800291	0.0555017	0.0676662	0.0870726
a31	0.030608	0.0441848	0.0691747	0.118295	0.160514	0.169423	0.131195	0.0812208	0.0559559	0.0374947	0.0440096	0.0579245
a61	0.0328008	0.03265	0.0388601	0.0695367	0.126406	0.161278	0.171845	0.126678	0.0883217	0.0490499	0.0457745	0.0567993
a24	0.0219808	0.0219189	0.0255348	0.0507156	0.104453	0.150195	0.186275	0.151396	0.108499	0.0595313	0.0539297	0.065571
a47	0.0253985	0.0262146	0.0284899	0.0395287	0.0755909	0.116879	0.169572	0.155622	0.122584	0.0699532	0.0679856	0.102181
a88	0.0284618	0.032414	0.0363941	0.0421185	0.0811088	0.112811	0.156212	0.137057	0.107795	0.0659111	0.0715559	0.128161
a61	0.0231393	0.0266212	0.0283388	0.0216273	0.0522478	0.0777987	0.136502	0.151933	0.148597	0.097443	0.089517	0.146236
