 	les	mouches	rôdent	autour	des	poissons	pourris	</S>
a87	0.190368	0.191305	0.24581	0.174503	0.12984	0.0390574	0.0170288	0.0120881
a40	0.479607	0.154354	0.0898865	0.0605078	0.0759332	0.0576392	0.0376771	0.0443953
a47	0.329853	0.218705	0.0980953	0.0533622	0.052246	0.0542904	0.0889022	0.104546
a5	0.348733	0.250652	0.107667	0.0614712	0.0540221	0.0518816	0.0685366	0.0570365
a27	0.397364	0.291829	0.109311	0.0584381	0.0429122	0.0288443	0.0342496	0.0370507
a62	0.362108	0.267589	0.11886	0.072537	0.0535297	0.0360531	0.0428257	0.0464974
a96	0.295709	0.30306	0.172845	0.111208	0.054293	0.0220557	0.0203863	0.0204427
a98	0.223299	0.228536	0.181762	0.15706	0.0873297	0.0411497	0.0390966	0.0417678
a85	0.139254	0.180917	0.235529	0.197156	0.109415	0.0456465	0.0412128	0.0508704
a5	0.177458	0.257122	0.235108	0.145274	0.0701871	0.0344007	0.0343205	0.0461304
a18	0.129843	0.212228	0.230862	0.165576	0.0890762	0.0455991	0.0528399	0.0739755
a31	0.10957	0.163384	0.226102	0.209437	0.115355	0.0471251	0.0535464	0.0754793
a88	0.0658958	0.0999197	0.180307	0.209089	0.157306	0.0789626	0.0875431	0.120977
a75	0.0521811	0.0666074	0.120575	0.161301	0.194543	0.118859	0.121976	0.163957
a85	0.0500515	0.0625454	0.0861372	0.0784137	0.0850986	0.112345	0.206204	0.319205
a11	0.0661798	0.0808929	0.104679	0.0830013	0.0926354	0.103339	0.18621	0.283063
a75	0.0340619	0.045648	0.0860139	0.0820395	0.116242	0.14687	0.189921	0.299205
a44	0.0313273	0.0423009	0.0733404	0.0646593	0.0694967	0.0928893	0.218116	0.40787
a54	0.014468	0.0234521	0.0531014	0.0533517	0.0860462	0.161622	0.228886	0.379073
a15	0.0069965	0.0105461	0.0241304	0.0311044	0.0594303	0.140867	0.272096	0.454829
a44	0.00801041	0.0086686	0.0127069	0.0148637	0.0281698	0.092204	0.294444	0.540932
a90	0.00257874	0.00410452	0.00846669	0.0113763	0.0247504	0.0950946	0.281326	0.572303
a15	0.00264033	0.0038077	0.00620133	0.00827744	0.0180663	0.0777661	0.275508	0.607733
a90	0.0018182	0.00301616	0.00654018	0.00828919	0.0211733	0.0851342	0.288604	0.585425
a13	0.000974218	0.0019443	0.0045409	0.00735062	0.0170044	0.076191	0.269852	0.622143
a53	0.000535724	0.000923725	0.00225002	0.00392774	0.0101803	0.0652333	0.259285	0.657664
a4	0.0013945	0.00211181	0.0037808	0.00543112	0.0121832	0.0677985	0.263036	0.644264
a57	0.000884366	0.00126572	0.00188947	0.00280908	0.0074034	0.0514569	0.227691	0.7066
a82	0.000559383	0.000580749	0.00115528	0.00205104	0.00623647	0.0494219	0.230667	0.709328
a97	0.0128326	0.00935994	0.0138509	0.0144328	0.0254388	0.0965233	0.271565	0.555996
a87	0.0642836	0.083226	0.0956547	0.068576	0.0883578	0.152029	0.181723	0.26615
a23	0.0579048	0.0693499	0.0943222	0.0999253	0.146737	0.171439	0.159672	0.200651
a87	0.107662	0.0794566	0.0630724	0.0619965	0.0857293	0.133693	0.169779	0.298612
a23	0.0170078	0.0213504	0.0315212	0.0342886	0.0535503	0.12988	0.254489	0.457913
a87	0.0348616	0.0311542	0.0314795	0.0366466	0.0639678	0.13133	0.227835	0.442726
a23	0.0177106	0.0197206	0.0220044	0.0229444	0.0317901	0.0863709	0.229996	0.569463
a99	0.0349916	0.0346841	0.0347352	0.0413418	0.0542302	0.116991	0.225734	0.457293
a87	0.0310054	0.0273168	0.0330387	0.0411106	0.0511673	0.107096	0.215328	0.493937
</S>	0.0169089	0.0215469	0.0254504	0.0226706	0.0299034	0.0797103	0.225557	0.578253
