 	la	co-épouse	de	leur	mère	est	enceinte	</S>
a66	0.438287	0.209824	0.0955536	0.0773726	0.0566425	0.0415166	0.0381417	0.0426629
a87	0.583865	0.137544	0.0581257	0.030321	0.0389671	0.0421084	0.0514002	0.0576686
a23	0.71406	0.0999113	0.0247676	0.0129859	0.0179996	0.025706	0.0405257	0.0640442
a99	0.48449	0.0987049	0.0447276	0.0326623	0.0521523	0.0616573	0.0788321	0.146774
a54	0.384616	0.108906	0.0688277	0.0544054	0.070871	0.0758491	0.0908491	0.145676
a30	0.531369	0.260612	0.0847325	0.0347699	0.0249153	0.0200783	0.019547	0.0239769
a6	0.249113	0.276809	0.178616	0.0978817	0.0658521	0.0464576	0.0363495	0.0489213
a37	0.166099	0.233248	0.179825	0.134497	0.103746	0.0719371	0.0480025	0.0626452
a90	0.213706	0.182489	0.161819	0.143429	0.100381	0.0733897	0.0571981	0.0675897
a79	0.235583	0.243842	0.167383	0.115993	0.0708313	0.0523271	0.0496368	0.0644036
a15	0.176122	0.235552	0.193147	0.141178	0.0798544	0.0545943	0.0538086	0.0657445
a47	0.142534	0.23231	0.1885	0.139115	0.088885	0.0645859	0.0630023	0.0810677
a6	0.0614032	0.115309	0.115418	0.134245	0.122123	0.117645	0.118117	0.215741
a37	0.105516	0.169101	0.149971	0.152088	0.1167	0.0933404	0.0904225	0.12286
a43	0.0637749	0.0886334	0.111225	0.174551	0.159738	0.134901	0.124516	0.142659
a0	0.0304528	0.0391438	0.058465	0.14433	0.167161	0.166449	0.168108	0.22589
a12	0.0185129	0.0283886	0.0367378	0.105977	0.152926	0.18026	0.204369	0.272828
a96	0.0150629	0.0252028	0.0349486	0.10117	0.160703	0.20401	0.224373	0.23453
a61	0.00627768	0.0123172	0.0207039	0.0722711	0.13604	0.199802	0.24832	0.304268
a18	0.00463168	0.00903099	0.0154506	0.055654	0.114428	0.193909	0.277436	0.32946
a71	0.00107964	0.00240516	0.00438361	0.0138102	0.0445108	0.121395	0.288531	0.523885
a9	0.00381781	0.00786224	0.0119427	0.0266335	0.0674682	0.161754	0.329363	0.391158
a82	0.0358358	0.0495328	0.0432372	0.0646053	0.091853	0.149075	0.267807	0.298054
a87	0.198224	0.11044	0.0693223	0.0741655	0.0810083	0.109838	0.163078	0.193923
a97	0.222718	0.097491	0.0705997	0.0806719	0.0915439	0.122333	0.155047	0.159596
a87	0.207929	0.0807291	0.0522847	0.0703672	0.103935	0.136772	0.160658	0.187324
a97	0.142774	0.0576132	0.0396522	0.0668234	0.103948	0.146685	0.184659	0.257846
a87	0.122938	0.050435	0.0456275	0.0820297	0.108201	0.134553	0.175417	0.280798
</S>	0.143011	0.0621938	0.0601269	0.0921868	0.109653	0.126807	0.156625	0.249396
