 	j'	ai	entendu	des	pleurs	dans	le	village	</S>
a66	0.345065	0.179246	0.0952499	0.074392	0.112058	0.0932117	0.0545953	0.0248515	0.0213301
a87	0.370787	0.221934	0.158932	0.0685761	0.0526341	0.0404201	0.0300695	0.0251012	0.0315459
a23	0.415318	0.284306	0.133672	0.0498191	0.0337619	0.0177753	0.0165299	0.0203963	0.0284225
a18	0.360441	0.292247	0.124235	0.0660407	0.0482282	0.02787	0.0226025	0.025569	0.0327672
a24	0.262602	0.215233	0.15943	0.0917271	0.0606493	0.0430268	0.0422225	0.0578091	0.0672997
a31	0.264267	0.209322	0.190443	0.107245	0.0680534	0.0425607	0.0381739	0.0411363	0.0387996
a18	0.152681	0.218945	0.262245	0.151307	0.0721772	0.041902	0.034813	0.0347123	0.0312164
a90	0.0813752	0.12892	0.204371	0.215807	0.136943	0.0696004	0.0529844	0.0556881	0.0543113
a79	0.0393406	0.0761855	0.152402	0.23691	0.145951	0.0893647	0.0751952	0.090297	0.0943532
a56	0.0495793	0.0800391	0.160426	0.248177	0.146227	0.0815113	0.0643525	0.0786128	0.0910751
a75	0.0649866	0.0765241	0.125278	0.22532	0.183687	0.104961	0.0688585	0.0705611	0.0798233
a85	0.0252479	0.0249664	0.0534857	0.152636	0.192538	0.172922	0.137215	0.117472	0.123517
a79	0.0134244	0.012595	0.0260371	0.095957	0.183803	0.215628	0.173715	0.141258	0.137583
a92	0.0117025	0.0086278	0.01479	0.0759849	0.215648	0.267678	0.187624	0.116916	0.101028
a21	0.00934877	0.00630403	0.0087538	0.0429393	0.174208	0.257705	0.202412	0.153609	0.144721
a5	0.00626685	0.00414615	0.00492337	0.0169019	0.0822113	0.195026	0.220851	0.225814	0.24386
a43	0.00474218	0.00260963	0.00309042	0.0103391	0.0552438	0.175886	0.232203	0.253165	0.26272
a75	0.00214289	0.00117584	0.00148415	0.00441722	0.0206207	0.0803915	0.159535	0.309779	0.420454
a98	0.000461714	0.000269094	0.000377007	0.00166087	0.00997349	0.061005	0.165015	0.331908	0.42933
a79	0.00018177	0.000111826	0.00017505	0.00105628	0.00595648	0.0411828	0.122726	0.336368	0.492242
a7	0.000182252	0.000115826	0.000192809	0.00090753	0.00572118	0.0379177	0.111676	0.318405	0.524881
a44	0.000358764	0.00022817	0.000344502	0.000910394	0.00405112	0.0223525	0.0821976	0.318116	0.571441
a4	0.00122995	0.000973443	0.00177483	0.00348345	0.0088353	0.0311385	0.0921752	0.303039	0.557351
a13	0.00128844	0.000840327	0.00162156	0.00380601	0.00989202	0.0338247	0.0956269	0.307928	0.545172
a57	0.00374822	0.00333737	0.00736485	0.0129401	0.0191512	0.0485021	0.109377	0.276313	0.519266
a3	0.0549888	0.0334262	0.0301149	0.0355946	0.0404003	0.0680164	0.114386	0.246666	0.376407
a87	0.302174	0.138134	0.056081	0.0307293	0.0327149	0.0531611	0.086204	0.137126	0.163677
a23	0.255624	0.147522	0.0611229	0.0281402	0.0289907	0.0473519	0.0889023	0.155285	0.187061
a99	0.0727654	0.0350358	0.0143135	0.00850476	0.0150814	0.0422559	0.101519	0.263386	0.447138
a97	0.034913	0.0185414	0.0103309	0.00880356	0.0185207	0.0533303	0.103737	0.265541	0.486281
</S>	0.0178554	0.0101412	0.00650748	0.00625761	0.0185654	0.0503575	0.0948514	0.257779	0.537685
