 	ce	travail	me	fatigue	</S>
a66	0.52096	0.162446	0.0926427	0.111472	0.112478
a87	0.540004	0.227705	0.11467	0.0649782	0.0526436
a99	0.631652	0.260671	0.0616255	0.0276083	0.0184441
a24	0.56738	0.269773	0.0752584	0.0483617	0.0392267
a0	0.652775	0.23171	0.0619898	0.0278824	0.0256423
a21	0.597846	0.260862	0.0876031	0.0345345	0.0191538
a5	0.430527	0.347751	0.140922	0.0524169	0.028383
a12	0.30844	0.302365	0.206677	0.11344	0.0690774
a62	0.179739	0.261366	0.245969	0.189643	0.123284
a61	0.146429	0.207706	0.24164	0.236718	0.167507
a37	0.0699841	0.0925304	0.184263	0.344454	0.308769
a90	0.0170851	0.0255411	0.0957321	0.373224	0.488417
a94	0.00506074	0.0120165	0.0933128	0.358358	0.531253
a56	0.00191082	0.00477449	0.0326329	0.221818	0.738864
a32	0.00134713	0.00353051	0.0210909	0.153176	0.820855
a90	0.00246033	0.0048426	0.0239406	0.1469	0.821857
a94	0.00240582	0.00523861	0.0245218	0.133919	0.833915
a36	0.00143867	0.00366398	0.0250215	0.14037	0.829506
a26	0.0201781	0.0210989	0.053961	0.149044	0.755718
a57	0.271726	0.114337	0.0915788	0.141654	0.380704
a87	0.484538	0.207458	0.103288	0.0856081	0.119109
a23	0.431573	0.254921	0.115966	0.0895537	0.107987
a87	0.0774272	0.0583115	0.085404	0.1891	0.589758
</S>	0.0148625	0.0177268	0.0483907	0.208287	0.710733
