 	elle	est	en	train	d'	emballer	du	manioc	avec	les	feuilles	sauvages	tsere	</S>
a85	0.112512	0.107661	0.0992767	0.0921473	0.108033	0.123956	0.117881	0.107901	0.0642102	0.02756	0.0151851	0.00929307	0.00727476	0.00710896
a66	0.0877117	0.0744724	0.0603995	0.065205	0.120519	0.194784	0.120641	0.100494	0.0595937	0.0340738	0.0218734	0.0187103	0.0202995	0.0212229
a87	0.112602	0.0814346	0.058027	0.0560707	0.0620487	0.065571	0.0525236	0.0507338	0.0517816	0.0602511	0.0588853	0.0834626	0.105644	0.100964
a99	0.147084	0.124564	0.115248	0.103843	0.0986531	0.0740341	0.0595573	0.0476438	0.0378535	0.0350728	0.0319873	0.036731	0.0446389	0.0430884
a87	0.0897512	0.0842055	0.0901286	0.0971509	0.107869	0.0997056	0.067732	0.0573197	0.0496587	0.0429714	0.0411964	0.0459197	0.0598588	0.0665329
a23	0.107231	0.0943186	0.0921461	0.0891056	0.0965046	0.0891874	0.0692086	0.0577611	0.0492015	0.0481544	0.0458799	0.04962	0.0569229	0.0547586
a87	0.0736985	0.0658304	0.0602075	0.0663927	0.0856883	0.0991203	0.0787416	0.0721834	0.0632135	0.0523529	0.0520277	0.062146	0.0840951	0.0843019
a79	0.0872771	0.0804932	0.0781567	0.0807106	0.095851	0.0904072	0.0789109	0.0725462	0.063489	0.0510807	0.0460763	0.0511438	0.0644253	0.059432
a69	0.0830569	0.074394	0.0644369	0.0731409	0.0837764	0.0937915	0.0781408	0.0894664	0.0791849	0.054762	0.0427971	0.0484087	0.0696097	0.0650338
a90	0.140891	0.138194	0.127936	0.117884	0.115165	0.106989	0.0833397	0.0704221	0.0462016	0.0199126	0.0123849	0.00814828	0.00688285	0.00564833
a98	0.115632	0.120442	0.120794	0.11239	0.103353	0.0821111	0.0900453	0.0812978	0.0615545	0.0358261	0.0265056	0.018865	0.0185105	0.0126724
a47	0.0529338	0.0660511	0.0774283	0.0849987	0.087836	0.0806835	0.092013	0.103515	0.0885384	0.0631011	0.0530929	0.044979	0.061133	0.0436965
a36	0.0449	0.0595532	0.0793576	0.0925056	0.0969117	0.0880273	0.0955871	0.0937245	0.0789048	0.0567868	0.05442	0.0483869	0.0623577	0.0485768
a85	0.0622341	0.0662767	0.0760048	0.0889355	0.0970824	0.0861877	0.0985486	0.0836496	0.0590887	0.0406811	0.0420855	0.0511901	0.0809455	0.0670897
a92	0.0329359	0.0418125	0.0500386	0.0583111	0.0640681	0.071045	0.0888077	0.101354	0.108315	0.084061	0.0736345	0.0628111	0.0858217	0.0769842
a37	0.053292	0.0554588	0.05706	0.0674986	0.0825351	0.0967569	0.123008	0.111469	0.0967564	0.0649497	0.0517547	0.0412778	0.0521739	0.0460097
a61	0.0397537	0.0374489	0.0339569	0.0461073	0.0741707	0.0980641	0.127501	0.108558	0.0917936	0.0705228	0.0666674	0.0640759	0.0740143	0.0673648
a47	0.0285537	0.0246276	0.0214678	0.0293985	0.0482873	0.0697631	0.101453	0.095202	0.0925938	0.0854024	0.0936586	0.0969002	0.112405	0.100287
a88	0.0187013	0.0152819	0.0138332	0.0196636	0.0286964	0.040657	0.0632786	0.0770221	0.0927871	0.102057	0.120914	0.125083	0.149164	0.13286
