 	ces	gens	reviennent	de	la	chasse	mais	ils	sont	revenus	bredoui	</S>
a66	0.264768	0.242868	0.127097	0.0629385	0.0536159	0.0740653	0.0629682	0.0470842	0.024902	0.0139023	0.0123065	0.0134842
a87	0.424463	0.237342	0.0915197	0.0470545	0.0384895	0.0385632	0.0294734	0.018737	0.0134798	0.0112393	0.0148583	0.0347806
a23	0.486677	0.247645	0.110087	0.0494642	0.0257968	0.0182085	0.0132026	0.00695945	0.00506347	0.00606123	0.0094471	0.0213873
a40	0.305797	0.155858	0.114026	0.0809113	0.0498355	0.0364563	0.0255016	0.0168482	0.0144639	0.0223612	0.0520902	0.12585
a6	0.256515	0.166981	0.103668	0.0732031	0.0694018	0.0628338	0.0678004	0.0577779	0.041719	0.0346332	0.0322067	0.0332599
a5	0.163438	0.13325	0.155797	0.143516	0.129367	0.0848773	0.0573683	0.0363621	0.0238704	0.0238531	0.024499	0.0238015
a85	0.161932	0.128244	0.147423	0.143251	0.119015	0.090682	0.0644137	0.0505161	0.0316384	0.0227413	0.0165342	0.0236094
a6	0.085245	0.0789794	0.11326	0.132764	0.134109	0.115418	0.098646	0.0929811	0.0533882	0.0328371	0.0266217	0.0357511
a37	0.0882083	0.0771752	0.116962	0.147221	0.147557	0.119423	0.0873375	0.0695721	0.0514916	0.0352322	0.0261251	0.0336952
a56	0.0694683	0.0725931	0.139062	0.185671	0.190702	0.142498	0.0790996	0.0465032	0.0259445	0.0170352	0.0153372	0.016086
a4	0.0521585	0.0623427	0.12639	0.170879	0.203034	0.163427	0.0895643	0.050741	0.0256559	0.0176787	0.0175908	0.0205368
a11	0.0346088	0.0439883	0.0882998	0.125912	0.189698	0.17818	0.114899	0.0718702	0.0421153	0.0325036	0.03661	0.0413147
a62	0.0284131	0.0344346	0.0580104	0.0951084	0.178224	0.218441	0.156069	0.0881986	0.0456195	0.0305551	0.0310383	0.035888
a21	0.0196828	0.0233525	0.0558624	0.0938266	0.150795	0.230016	0.187344	0.113316	0.0478838	0.0254157	0.0257394	0.026766
a85	0.0118238	0.0131322	0.030238	0.0417551	0.0747638	0.142642	0.188786	0.162806	0.107213	0.0804757	0.0793727	0.0669914
a6	0.00262327	0.00359349	0.00921181	0.0178273	0.034429	0.0582999	0.104418	0.120737	0.136856	0.148019	0.20342	0.160564
a36	0.00207936	0.00311786	0.00864257	0.0147186	0.02941	0.0595091	0.147107	0.179181	0.151412	0.131333	0.143408	0.130081
a2	0.00530963	0.00673908	0.0141556	0.0236418	0.0399316	0.0578106	0.111176	0.165359	0.14099	0.117148	0.143383	0.174355
a37	0.0265858	0.0309688	0.0315808	0.0289593	0.0388499	0.0600012	0.0982389	0.130194	0.120423	0.0912967	0.131382	0.21152
a66	0.0196898	0.0187619	0.0207371	0.0308001	0.0532053	0.0690876	0.0868618	0.117674	0.116568	0.114909	0.14143	0.210275
a75	0.00791091	0.0085567	0.00941332	0.0108543	0.0194107	0.0337497	0.0620293	0.105176	0.148057	0.128772	0.176997	0.289074
a85	0.00231549	0.00257265	0.00575152	0.0102023	0.0202801	0.0360742	0.0774884	0.13458	0.149735	0.143191	0.183221	0.234588
a47	0.00149576	0.00175736	0.00316564	0.0048349	0.00838431	0.0168943	0.0511304	0.121216	0.162601	0.158345	0.203872	0.266303
a36	0.00209562	0.00246575	0.00471491	0.00667769	0.0109757	0.0213147	0.0517469	0.108501	0.159693	0.159392	0.182707	0.289716
a0	0.00456043	0.00453849	0.0054394	0.00666104	0.0112449	0.0181251	0.0303126	0.0488941	0.0802315	0.122764	0.225572	0.441656
a37	0.0132257	0.0119078	0.00945174	0.00789748	0.00982401	0.0155466	0.0222319	0.028414	0.0544764	0.0980535	0.191683	0.537287
a93	0.0057554	0.00502201	0.0051492	0.00669639	0.0112449	0.0180995	0.0281425	0.0421366	0.0746098	0.1271	0.204122	0.471922
a4	0.00231951	0.00245073	0.00314936	0.00436603	0.00797337	0.0147061	0.0296929	0.0476201	0.0802727	0.123031	0.210915	0.473503
a13	0.00249531	0.00289353	0.00413151	0.00626152	0.0118289	0.0215171	0.0388954	0.0485271	0.0794805	0.113229	0.212835	0.457905
a38	0.00179037	0.00171617	0.00162271	0.00214054	0.00424554	0.00776127	0.0150737	0.0229137	0.0547894	0.104469	0.21213	0.571347
a47	0.00171462	0.00156724	0.00169909	0.00242299	0.00455427	0.00845427	0.01666	0.0244403	0.0532119	0.100509	0.195407	0.58936
a62	0.000914958	0.000907437	0.00113103	0.00176059	0.00345114	0.0066802	0.0139754	0.022208	0.0476146	0.0939855	0.197006	0.610365
a88	0.00107957	0.00110476	0.00151233	0.00213454	0.00424928	0.00753458	0.0135355	0.0216159	0.0429081	0.0761803	0.180414	0.647731
a71	0.000767739	0.000787864	0.000997302	0.00157038	0.00359942	0.00604171	0.010223	0.0149001	0.0336159	0.0734921	0.191895	0.66211
a9	0.00418554	0.00373517	0.00325061	0.00301044	0.00480665	0.00742819	0.0130434	0.0213564	0.0471779	0.104627	0.224487	0.562892
a87	0.0434338	0.0275047	0.0190467	0.0192615	0.0228677	0.0302345	0.0440146	0.0608944	0.101326	0.161544	0.202834	0.267039
a23	0.172408	0.0916575	0.0384157	0.0338367	0.0411907	0.048563	0.050811	0.0577095	0.0738177	0.0962738	0.123956	0.171361
a87	0.109709	0.0510099	0.0225473	0.0162158	0.019957	0.0217846	0.030378	0.0330449	0.060679	0.130363	0.206839	0.297472
</S>	0.0157146	0.00780196	0.00465369	0.00489557	0.00670403	0.00763466	0.0141181	0.0171212	0.0396948	0.121247	0.259609	0.500805
