 	le	bébé	pleure	désespérément	</S>
a66	0.403843	0.207317	0.141196	0.148271	0.0993728
a87	0.393468	0.244109	0.165177	0.13595	0.0612954
a23	0.478028	0.299187	0.137488	0.0509626	0.034335
a58	0.510626	0.254372	0.122306	0.0721436	0.0405524
a13	0.482939	0.218631	0.16769	0.0840303	0.0467096
a30	0.325784	0.199295	0.249409	0.141129	0.0843827
a94	0.310574	0.196083	0.228771	0.154489	0.110082
a36	0.294984	0.207223	0.218614	0.145599	0.133581
a7	0.168621	0.176798	0.20703	0.225866	0.221685
a79	0.188859	0.183679	0.186556	0.210052	0.230854
a44	0.283814	0.217587	0.171201	0.154012	0.173386
a4	0.123228	0.149278	0.180079	0.258902	0.288512
a93	0.129236	0.157014	0.190465	0.267642	0.255644
a70	0.099856	0.134759	0.177796	0.272672	0.314917
a94	0.0487265	0.0833764	0.137394	0.290567	0.439937
a5	0.0541443	0.0948444	0.145874	0.277761	0.427376
a94	0.0344098	0.0631593	0.114793	0.276783	0.510855
a12	0.0188923	0.0351288	0.0658742	0.235985	0.64412
a96	0.0112686	0.0201527	0.0423247	0.206386	0.719868
a18	0.00892396	0.017113	0.0385717	0.228461	0.70693
a88	0.00240771	0.00422475	0.010848	0.182583	0.799937
a50	0.00208487	0.0041576	0.0111701	0.178239	0.804348
a98	0.00418113	0.0069493	0.0169012	0.199158	0.77281
a83	0.00232521	0.00399138	0.0097935	0.158311	0.825579
a88	0.0013838	0.00245839	0.00781551	0.152922	0.835421
a38	0.00166653	0.00304239	0.00878527	0.147888	0.838618
a9	0.00445517	0.00654558	0.0134922	0.149205	0.826302
a10	0.0237115	0.0246871	0.0287152	0.154113	0.768773
a87	0.144203	0.102247	0.0598871	0.151157	0.542506
a23	0.21464	0.151055	0.0801987	0.15922	0.394886
a87	0.190023	0.128262	0.0964359	0.150563	0.434717
a23	0.154487	0.110885	0.0800728	0.153766	0.500789
</S>	0.20512	0.151732	0.108507	0.161565	0.373077
