 	ce	n'	est	pas	ainsi	qu'	il	faut	faire	</S>
a87	0.214369	0.142046	0.128941	0.0939687	0.0935919	0.0988099	0.100409	0.0689429	0.0344046	0.0245159
a10	0.144958	0.0791149	0.0812066	0.0973687	0.0896071	0.140707	0.1128	0.101093	0.0813396	0.0718048
a87	0.220728	0.142133	0.121728	0.10152	0.112456	0.100524	0.0602468	0.044384	0.0439425	0.0523372
a10	0.228893	0.14414	0.113549	0.0900946	0.0974167	0.10319	0.073234	0.0562463	0.0460394	0.0471971
a87	0.227773	0.166934	0.144846	0.109508	0.124552	0.0838199	0.0476869	0.0345154	0.0297182	0.0306472
a23	0.221838	0.164888	0.146594	0.112353	0.116252	0.0829041	0.0531177	0.0394453	0.0331289	0.0294794
a87	0.217163	0.146995	0.108157	0.0873298	0.104471	0.0984768	0.0668406	0.0550878	0.0539983	0.0614802
a40	0.217005	0.158463	0.132192	0.111374	0.116004	0.0882402	0.0571828	0.0425668	0.0392464	0.0377257
a30	0.336852	0.205485	0.123456	0.0634855	0.0788847	0.0373183	0.0289284	0.0303	0.0444345	0.0508557
a35	0.247837	0.203916	0.161342	0.107898	0.129949	0.055346	0.0321853	0.0215832	0.0210577	0.0188853
a26	0.226619	0.180074	0.147955	0.119832	0.134149	0.0746399	0.0489317	0.0280661	0.0202331	0.0195005
a38	0.205643	0.163368	0.124015	0.103988	0.11064	0.0794146	0.0656842	0.0479113	0.0471026	0.0522328
a26	0.177274	0.13735	0.109843	0.112684	0.106516	0.101786	0.0915475	0.0596248	0.0491464	0.0542287
a98	0.182734	0.136349	0.108975	0.102681	0.106568	0.0972353	0.0948728	0.066312	0.0489263	0.0553471
a38	0.168454	0.134433	0.115023	0.11565	0.104084	0.0960915	0.101392	0.0750375	0.0474444	0.0423905
a94	0.0934303	0.0732851	0.0629205	0.0736397	0.0653755	0.0984619	0.148236	0.152682	0.118871	0.113098
a90	0.0719878	0.0611781	0.0539586	0.0635346	0.0594271	0.100159	0.151953	0.165528	0.138638	0.133636
a25	0.0589774	0.0496604	0.0406521	0.0528789	0.0456015	0.100313	0.188703	0.196563	0.140291	0.126359
a38	0.0382982	0.032243	0.0270952	0.0356931	0.032138	0.0773395	0.157352	0.204427	0.198561	0.196852
a75	0.0167405	0.0137769	0.0119662	0.0148577	0.0152439	0.0411893	0.115994	0.202589	0.263168	0.304475
a41	0.0254136	0.0183473	0.0142267	0.0194481	0.0173597	0.0409312	0.104181	0.196505	0.273124	0.290463
a25	0.0150929	0.012789	0.0107722	0.0146043	0.0132026	0.0291981	0.0766144	0.176495	0.310261	0.340971
a57	0.0115235	0.00885401	0.00757607	0.0105389	0.0114456	0.0245728	0.0665622	0.159352	0.314405	0.38517
a38	0.0136311	0.0108647	0.0104959	0.0142676	0.0123893	0.0196669	0.0380983	0.0995825	0.272089	0.508915
a75	0.00595294	0.00336539	0.00284309	0.0042951	0.00388033	0.0106593	0.0274461	0.0842113	0.284516	0.57283
a14	0.00547742	0.00303482	0.00233246	0.00318783	0.00269293	0.00951426	0.0307971	0.106589	0.337491	0.498883
a73	0.00371328	0.00259392	0.00256837	0.00444152	0.00495246	0.0120182	0.035319	0.120901	0.361953	0.451539
a57	0.00292471	0.00198019	0.00200502	0.00340742	0.00378474	0.0100363	0.0301752	0.0995694	0.305233	0.540884
a87	0.010749	0.00665561	0.00701623	0.0106384	0.00839752	0.0227156	0.051249	0.133954	0.267627	0.480997
</S>	0.0161586	0.0101387	0.00974669	0.0143332	0.00938686	0.0268566	0.0692377	0.165204	0.290909	0.388029
