 	allonge-toi	sur	le	lit	</S>
a87	0.187821	0.242086	0.218909	0.155154	0.19603
a23	0.221841	0.224307	0.187461	0.168179	0.198212
a10	0.220929	0.262834	0.217954	0.155154	0.143128
a11	0.321482	0.287207	0.173452	0.120501	0.0973589
a43	0.448824	0.261383	0.127923	0.0907284	0.0711415
a41	0.445439	0.251263	0.128589	0.0964398	0.0782695
a35	0.462394	0.245485	0.128505	0.0940576	0.0695579
a30	0.397917	0.254864	0.150201	0.109639	0.0873792
a35	0.240937	0.219567	0.18485	0.169074	0.185571
a38	0.238428	0.220947	0.1832	0.173421	0.184004
a76	0.229858	0.215102	0.185173	0.175157	0.19471
a94	0.208141	0.209895	0.193604	0.188262	0.200098
a76	0.115357	0.15038	0.180046	0.217359	0.33686
a94	0.0681808	0.133319	0.197728	0.240559	0.360213
a76	0.0479059	0.0785826	0.14397	0.224619	0.504923
a90	0.0297347	0.0718584	0.147885	0.224855	0.525667
a38	0.030069	0.068056	0.13186	0.214812	0.555202
a75	0.0252694	0.0622764	0.13174	0.211907	0.568807
a41	0.0346342	0.0834968	0.161203	0.22001	0.500656
a24	0.0484364	0.0990836	0.175782	0.217656	0.459042
a98	0.0564382	0.0922834	0.146034	0.197598	0.507647
a9	0.0640838	0.0870336	0.138746	0.194723	0.515414
a87	0.0619595	0.104939	0.148101	0.197232	0.487769
</S>	0.0849766	0.123105	0.160838	0.192553	0.438527
