 	nous	avons	coupé	l'	arbre	otomba	pour	tailler	un	masque	</S>
a66	0.270998	0.12147	0.128857	0.110329	0.088604	0.0666006	0.0820983	0.0693093	0.0340986	0.0162494	0.011386
a87	0.254254	0.177419	0.136487	0.0784924	0.071331	0.0614285	0.0855821	0.0526632	0.0303743	0.027166	0.0248029
a23	0.240686	0.204949	0.169098	0.142586	0.10624	0.0577063	0.0279474	0.0134353	0.0078285	0.0119956	0.0175277
a87	0.269182	0.276278	0.175464	0.108974	0.0567454	0.0352827	0.0233977	0.0107138	0.00974618	0.0169569	0.0172597
a23	0.238064	0.264464	0.190337	0.120724	0.0626557	0.0382401	0.0239291	0.0125464	0.0126324	0.0184683	0.0179392
a83	0.189475	0.193052	0.140263	0.100848	0.0752767	0.0745814	0.0580223	0.0348835	0.0454079	0.0479463	0.0402447
a9	0.24051	0.194114	0.130963	0.108271	0.0783932	0.063738	0.0412419	0.0256196	0.041922	0.0459525	0.0292749
a24	0.193538	0.16665	0.154305	0.137904	0.0903903	0.0776608	0.0411608	0.0261239	0.0366554	0.0431882	0.0324241
a31	0.140533	0.188585	0.217693	0.146913	0.0853642	0.0783488	0.0420128	0.0250735	0.0278509	0.0263149	0.0213114
a5	0.104488	0.185607	0.232163	0.138249	0.0882219	0.0912161	0.0538144	0.029898	0.0289144	0.0248841	0.022544
a18	0.0927412	0.163097	0.222051	0.147084	0.0927437	0.0930635	0.0604041	0.042169	0.0361261	0.0280937	0.0224262
a90	0.0789129	0.11095	0.191241	0.15518	0.107632	0.115635	0.0740178	0.0419256	0.0363175	0.0400434	0.0481444
a79	0.0710116	0.0758838	0.15352	0.150696	0.116633	0.126584	0.103029	0.0688573	0.0551508	0.0407727	0.0378617
a44	0.0553832	0.053816	0.123202	0.149939	0.120122	0.130782	0.121164	0.087143	0.0657278	0.0473549	0.0453655
a90	0.0524066	0.0403216	0.104183	0.148437	0.132802	0.153705	0.140466	0.0900276	0.0471006	0.041789	0.048761
a57	0.0347118	0.0279996	0.0591815	0.10277	0.122222	0.158196	0.170975	0.124724	0.078436	0.0584672	0.0623164
a38	0.0229815	0.0154263	0.0363793	0.0659349	0.103183	0.154255	0.208381	0.141021	0.0739445	0.0683722	0.110121
a90	0.0134532	0.00957518	0.0178926	0.0330479	0.0839679	0.18033	0.279704	0.162543	0.0667795	0.0658327	0.0868729
a4	0.0127994	0.00949648	0.0163249	0.0296202	0.0575207	0.113441	0.20035	0.205736	0.139694	0.101701	0.113316
a90	0.00927748	0.00480416	0.00820801	0.0161744	0.0295566	0.0691731	0.214406	0.236115	0.139059	0.117234	0.155993
a79	0.00641021	0.00443486	0.00710288	0.0122335	0.025606	0.0668785	0.184829	0.235285	0.162681	0.130935	0.163604
a44	0.00412855	0.00282775	0.00472114	0.00755069	0.0162696	0.0448698	0.138275	0.197779	0.158063	0.159195	0.266321
a96	0.00351235	0.00195485	0.00264478	0.00456901	0.0108258	0.0300839	0.131534	0.187672	0.134331	0.166651	0.326222
a88	0.0030566	0.00150914	0.00187338	0.003502	0.00780459	0.0168592	0.0773649	0.166014	0.15955	0.216491	0.345975
a71	0.00167372	0.000854204	0.00100294	0.00175115	0.00452155	0.00729487	0.0305973	0.0707628	0.0951624	0.196027	0.590352
a54	0.0122479	0.00599443	0.00548761	0.0066707	0.0127646	0.0161099	0.0440069	0.0917503	0.0846634	0.170715	0.549589
a47	0.00190543	0.00110352	0.00136055	0.00204765	0.00456859	0.00735054	0.0265095	0.0578803	0.100619	0.21762	0.579034
a6	0.000901259	0.000471194	0.000518253	0.000815042	0.00211252	0.00390018	0.0161012	0.0372442	0.0905669	0.258924	0.588445
a36	0.000459433	0.000278143	0.000330488	0.000484792	0.00111271	0.00190366	0.00693273	0.0190499	0.0651772	0.246932	0.657339
a37	0.00416114	0.0020472	0.00183708	0.00210377	0.00440937	0.00529904	0.018842	0.0421863	0.0979974	0.220818	0.600298
a66	0.0042441	0.00216898	0.0020718	0.00234973	0.0058691	0.00733824	0.0239077	0.0550445	0.112508	0.21699	0.567508
a11	0.0708792	0.0336126	0.0319078	0.0327234	0.046193	0.0448358	0.0655527	0.106848	0.114607	0.133511	0.319329
a24	0.174509	0.0852374	0.0724357	0.0696942	0.0731689	0.0548641	0.0550086	0.0714595	0.0746438	0.0920197	0.176959
a38	0.022792	0.0131783	0.0125987	0.0120957	0.0185965	0.0206565	0.039908	0.0689711	0.122412	0.236971	0.43182
a27	0.0144524	0.00943983	0.0104228	0.0115622	0.0193915	0.020883	0.0359034	0.0647874	0.107731	0.226058	0.479369
a30	0.0582163	0.029822	0.0252537	0.0241199	0.0294281	0.0271481	0.0391428	0.061772	0.0896994	0.197267	0.418131
a87	0.115473	0.0633404	0.0531515	0.0551476	0.0661969	0.0532262	0.0542614	0.0656811	0.0737702	0.136295	0.263457
a23	0.0800677	0.0525024	0.0469914	0.0529417	0.0678793	0.0608419	0.0666493	0.0725435	0.0701874	0.150767	0.278628
a87	0.0747341	0.049043	0.0512524	0.0459225	0.0584283	0.0701059	0.0939549	0.091787	0.078025	0.135284	0.251463
</S>	0.0249867	0.0233078	0.0308393	0.0313767	0.0482234	0.062433	0.0682837	0.057723	0.0766865	0.183457	0.392683
