 	c'	est	donc	toi	qui	te	gave	du	manioc	de	ma	mère	</S>
a15	0.272395	0.202505	0.219769	0.148922	0.0737649	0.0510047	0.0162874	0.00514489	0.00352651	0.00203915	0.00146392	0.00144777	0.00173024
a66	0.194242	0.156203	0.166688	0.156475	0.0786503	0.0581401	0.0448233	0.0283192	0.0253335	0.0196962	0.0211877	0.0228685	0.0273728
a87	0.331677	0.19519	0.208675	0.110854	0.0513191	0.0319953	0.022183	0.0112433	0.00655013	0.00545586	0.00621548	0.00805046	0.0105918
a23	0.252662	0.191484	0.240115	0.153967	0.0717681	0.0413623	0.0197787	0.00806322	0.00503364	0.00423518	0.00362692	0.00377907	0.00412429
a4	0.26265	0.18041	0.2048	0.10036	0.0636026	0.0456953	0.0352166	0.0161005	0.0128755	0.013779	0.0185968	0.0214866	0.0244261
a93	0.284937	0.160612	0.167478	0.0850629	0.0680313	0.070492	0.0465535	0.0203955	0.0179277	0.0166127	0.0176078	0.0227159	0.0215743
a94	0.197503	0.164193	0.150793	0.102943	0.0988689	0.113487	0.0637716	0.0230021	0.0183798	0.0163563	0.0165773	0.0175907	0.0165338
a61	0.136471	0.127063	0.120818	0.108093	0.105293	0.126647	0.123536	0.0444274	0.0283772	0.0218969	0.0199973	0.0194629	0.0179177
a47	0.111796	0.119844	0.110691	0.105803	0.0980975	0.123702	0.159824	0.0570097	0.0309683	0.0218537	0.0197877	0.0205693	0.0200545
a24	0.0962231	0.115024	0.0859318	0.101438	0.100317	0.132482	0.177516	0.0715593	0.0347683	0.0223357	0.0191999	0.0212799	0.0219249
a41	0.0531581	0.0644598	0.0494635	0.0664421	0.0726099	0.108936	0.267016	0.139853	0.0605749	0.0321959	0.0255026	0.0290845	0.0307042
a98	0.0105398	0.0123489	0.0120543	0.0161348	0.0208466	0.0391798	0.174763	0.205706	0.156087	0.100502	0.0788578	0.0858381	0.0871423
a15	0.00874745	0.00986894	0.0105752	0.0174959	0.0265978	0.0471951	0.152689	0.200361	0.16897	0.115069	0.0819858	0.0826504	0.0777948
a79	0.0103991	0.010297	0.0140104	0.0168731	0.0275717	0.0468678	0.113526	0.15855	0.162869	0.121171	0.0976853	0.105754	0.114426
a98	0.00964164	0.00876961	0.0116442	0.0117397	0.0202782	0.0330245	0.0888379	0.144737	0.16745	0.133756	0.104287	0.121603	0.144231
a79	0.0130011	0.011523	0.0148444	0.0155717	0.025026	0.0368013	0.0640604	0.0961904	0.143549	0.159623	0.119866	0.140838	0.159105
a85	0.0079563	0.00654415	0.00894189	0.009653	0.0159868	0.0236595	0.0496494	0.0883225	0.14925	0.172787	0.130016	0.15214	0.185094
a37	0.00667281	0.00506453	0.0063765	0.00582247	0.0092761	0.0130868	0.0228619	0.0427653	0.0930051	0.160784	0.147807	0.207894	0.278583
a44	0.00866225	0.00701289	0.0099669	0.00924347	0.0131949	0.0188217	0.0289598	0.0455513	0.0690765	0.118603	0.129502	0.211048	0.330357
a58	0.0101892	0.00732916	0.0100751	0.00876447	0.013179	0.0175676	0.0253243	0.0439321	0.0632378	0.105032	0.121871	0.211729	0.36177
a82	0.0174824	0.0131719	0.0164935	0.0119241	0.0125881	0.0134083	0.0154279	0.0216058	0.0270289	0.052389	0.105252	0.223111	0.470117
a87	0.100688	0.0652604	0.0663411	0.0552203	0.0393611	0.0403644	0.0281727	0.028285	0.0306538	0.0506832	0.0947192	0.151636	0.248614
a23	0.164059	0.120372	0.0862237	0.143141	0.0780624	0.0891376	0.043569	0.0369297	0.0337615	0.0365539	0.0403209	0.0561895	0.0716797
a85	0.0444655	0.0332978	0.0282522	0.0426024	0.0367971	0.043501	0.0388261	0.0452252	0.066985	0.137698	0.152213	0.157514	0.172624
a82	0.0111929	0.0103104	0.0080093	0.0237383	0.0209684	0.0286202	0.038831	0.0454252	0.0672183	0.130609	0.176226	0.21415	0.224701
a84	0.00329684	0.00319453	0.0029764	0.00978126	0.0138366	0.0245861	0.0430614	0.0792005	0.10018	0.164576	0.178783	0.190866	0.185662
</S>	0.00438633	0.00376938	0.0047029	0.00919953	0.0101821	0.0161805	0.0287753	0.0761212	0.108363	0.184734	0.190323	0.190154	0.173108
