 	mes	amis	se	sont	moqués	de	moi	</S>
a87	0.208494	0.178411	0.198277	0.285818	0.0661548	0.0330813	0.0191657	0.0105983
a97	0.194399	0.201032	0.205154	0.180652	0.102578	0.0562411	0.0357308	0.0242132
a3	0.245339	0.189189	0.165717	0.15061	0.103425	0.0678867	0.0437765	0.0340562
a99	0.348695	0.197453	0.174275	0.165294	0.0715753	0.0191538	0.0124194	0.0111352
a97	0.367297	0.208249	0.182383	0.153248	0.0537065	0.0141154	0.011496	0.00950488
a87	0.327236	0.204693	0.166858	0.161328	0.0808678	0.0269196	0.0180509	0.0140468
a99	0.268427	0.199279	0.171185	0.16523	0.105403	0.0401849	0.0276254	0.0226651
a3	0.340549	0.225002	0.175371	0.133814	0.056557	0.0221386	0.0242288	0.0223401
a99	0.340438	0.225764	0.170106	0.136174	0.0622102	0.0216014	0.0224245	0.0212817
a87	0.397805	0.220639	0.137433	0.114073	0.0394129	0.0195252	0.0299113	0.0412015
a23	0.348334	0.219476	0.169046	0.137609	0.0620269	0.0219022	0.0219996	0.0196062
a87	0.393305	0.203104	0.147427	0.123772	0.049076	0.0221288	0.0278639	0.0333239
a10	0.342979	0.205871	0.159537	0.137055	0.0668699	0.0281316	0.0298252	0.0297322
a87	0.352228	0.209273	0.144162	0.11406	0.0654663	0.0336138	0.0388882	0.0423083
a97	0.333885	0.203998	0.14944	0.120019	0.0853037	0.0413704	0.0349396	0.0310442
a87	0.302177	0.201604	0.147509	0.121994	0.0936074	0.0475454	0.0421901	0.0433723
a23	0.350152	0.211544	0.155208	0.112373	0.0733419	0.0321521	0.0323746	0.0328536
a3	0.387156	0.2008	0.134191	0.106952	0.0512184	0.025607	0.0369896	0.0570858
a97	0.413167	0.192896	0.108193	0.0884857	0.045203	0.0309657	0.0481159	0.0729745
a87	0.314201	0.159524	0.0990641	0.0967549	0.0762572	0.0689418	0.0786756	0.106582
a10	0.332162	0.16736	0.1105	0.097944	0.0969186	0.0785425	0.058363	0.0582103
a87	0.379165	0.189614	0.127817	0.0926071	0.0718321	0.0422287	0.0447976	0.0519381
a10	0.394776	0.196363	0.126872	0.0933631	0.0739294	0.0390056	0.0359708	0.0397197
a40	0.39334	0.188173	0.119638	0.09717	0.0724655	0.0408164	0.0394563	0.0489416
a36	0.372241	0.144593	0.0675344	0.0459584	0.0374189	0.0488069	0.10447	0.178977
a61	0.330554	0.148185	0.0812071	0.0545077	0.0481164	0.0657983	0.107569	0.164062
a21	0.303804	0.168061	0.111724	0.081796	0.0712416	0.0650576	0.0857093	0.112607
a85	0.29428	0.186895	0.141019	0.103011	0.0611697	0.0502773	0.0707586	0.0925891
a36	0.188387	0.162965	0.141648	0.10971	0.0727919	0.0728074	0.102917	0.148774
a6	0.114954	0.137546	0.148758	0.143789	0.076461	0.0808887	0.121799	0.175804
a36	0.060514	0.0845099	0.095557	0.0757093	0.0514167	0.0870038	0.183391	0.361899
a18	0.0430976	0.0777578	0.0894047	0.083526	0.0444375	0.0880401	0.189199	0.384538
a88	0.0255974	0.0444139	0.0491248	0.0687736	0.0423492	0.134529	0.221301	0.413912
a75	0.0270393	0.0434137	0.0553762	0.0679747	0.068564	0.198934	0.231068	0.307631
a36	0.037876	0.0481402	0.0509508	0.0471984	0.0293476	0.117483	0.228436	0.440568
a26	0.030844	0.0382611	0.041308	0.0370127	0.0310274	0.114838	0.23294	0.473768
a82	0.00529335	0.0080359	0.0101058	0.0155986	0.0233332	0.115804	0.274767	0.547062
a9	0.0159588	0.0215337	0.0276732	0.0334377	0.0437189	0.114616	0.240185	0.502876
a3	0.0717889	0.0806964	0.10266	0.105726	0.0981614	0.120679	0.166936	0.253352
a10	0.106834	0.125452	0.148888	0.151684	0.115971	0.112391	0.117486	0.121293
a97	0.101752	0.123444	0.154861	0.149482	0.114855	0.121161	0.121689	0.112755
a87	0.1032	0.123894	0.144269	0.130975	0.118461	0.13036	0.128797	0.120045
a23	0.0984333	0.12148	0.148874	0.140883	0.119827	0.134923	0.12311	0.11247
a97	0.0363855	0.0673665	0.0853787	0.0722376	0.118094	0.200882	0.198381	0.221275
</S>	0.0865686	0.0821741	0.075407	0.0522684	0.0742406	0.162359	0.192819	0.274164
