 	sa	manière	de	mettre	le	manche	est	difficile	</S>
a66	0.261083	0.184781	0.169648	0.158069	0.112892	0.0602382	0.0240202	0.0150452	0.0142229
a87	0.383381	0.255502	0.154978	0.102108	0.0408897	0.0170789	0.0102777	0.0145961	0.0211877
a23	0.374181	0.291582	0.1376	0.0588553	0.0244332	0.0150983	0.0138317	0.0271309	0.057288
a87	0.244414	0.244868	0.134986	0.0574771	0.0342873	0.0325329	0.0359772	0.0610149	0.154442
a10	0.277215	0.252278	0.178197	0.0858117	0.0455531	0.0311332	0.0253311	0.0387574	0.0657226
a87	0.24911	0.237524	0.178985	0.0880197	0.0481468	0.0376858	0.0345672	0.0513937	0.074568
a79	0.286303	0.247199	0.174325	0.0842073	0.0428378	0.0307891	0.0269091	0.0427665	0.0646623
a5	0.329879	0.261475	0.132208	0.0880257	0.0418268	0.0340288	0.0303927	0.0329635	0.0492012
a23	0.321248	0.286772	0.161087	0.122892	0.0443324	0.0246747	0.0146115	0.0109637	0.0134183
a75	0.233307	0.278373	0.198901	0.148786	0.0612211	0.0343613	0.0191023	0.0118654	0.0140823
a85	0.190626	0.218581	0.176034	0.178675	0.101862	0.063424	0.0318988	0.0183822	0.0205166
a5	0.105522	0.14054	0.180258	0.22306	0.156289	0.0972408	0.0458633	0.0246214	0.0266055
a12	0.109511	0.131649	0.198938	0.22997	0.162015	0.0855584	0.0385011	0.0223535	0.0215036
a21	0.104936	0.111246	0.202668	0.221577	0.157766	0.0879214	0.0448142	0.0321082	0.0369627
a5	0.0588055	0.0550169	0.143316	0.211948	0.200469	0.137522	0.0786848	0.0544298	0.0598076
a36	0.0272703	0.0245449	0.0900752	0.185508	0.216702	0.168698	0.111268	0.0828696	0.093064
a85	0.0257194	0.0181543	0.049599	0.122585	0.216783	0.184649	0.124901	0.116453	0.141157
a47	0.00708425	0.0059839	0.0191983	0.0703881	0.148322	0.202307	0.191519	0.16444	0.190758
a79	0.00783888	0.00593994	0.014803	0.0399298	0.0905803	0.159225	0.189011	0.184561	0.308111
a15	0.0046596	0.00374	0.00878413	0.0292308	0.0747243	0.16874	0.230647	0.192095	0.287379
a7	0.00479456	0.00381484	0.00731929	0.0188439	0.0489544	0.126656	0.23067	0.221289	0.337658
a98	0.00405018	0.00255779	0.00339531	0.00643185	0.01776	0.0510082	0.138017	0.232973	0.543806
a92	0.00395063	0.00282966	0.00508392	0.0117843	0.0300428	0.0874668	0.220717	0.2319	0.406225
a37	0.000988701	0.000703285	0.00160361	0.00436188	0.014792	0.0580713	0.191351	0.27219	0.455938
a47	0.00128999	0.000616604	0.000869866	0.00197194	0.00726343	0.0321468	0.143417	0.271834	0.54059
a18	0.00105997	0.000558963	0.00110617	0.00281724	0.0102676	0.0402601	0.156466	0.296959	0.490505
a61	0.0017299	0.000951254	0.000861188	0.00195177	0.00481987	0.0136578	0.0546096	0.259242	0.662177
a21	0.000627824	0.000258766	0.00043967	0.00138112	0.00458251	0.0159178	0.0732653	0.283791	0.619736
a5	0.000353061	0.000158225	0.000233463	0.000753137	0.00269781	0.0113269	0.0604971	0.260363	0.663618
a23	0.000455412	0.000198778	0.000354731	0.00132627	0.00532168	0.0216321	0.0945177	0.269116	0.607077
a21	0.000437259	0.000225025	0.000394318	0.00137843	0.00438867	0.0171703	0.0883459	0.304723	0.582937
a12	0.000556706	0.000264836	0.000390595	0.0010297	0.00289941	0.0108489	0.0526976	0.230459	0.700853
a23	0.000403875	0.000180843	0.000258376	0.000721403	0.00239223	0.0099319	0.0585412	0.246329	0.681241
a27	0.00108251	0.000607191	0.000828435	0.00304763	0.00861534	0.0265379	0.105013	0.309598	0.544671
a82	0.0134096	0.00866018	0.00925457	0.0185349	0.0315402	0.0580193	0.149376	0.305598	0.405607
a87	0.13078	0.0763213	0.0577241	0.0649986	0.0688784	0.0850965	0.13434	0.174161	0.207701
a23	0.267272	0.154493	0.0938161	0.069779	0.0558841	0.0540588	0.0687606	0.094777	0.14116
a2	0.0590474	0.0300158	0.0154444	0.0134156	0.0153656	0.0314149	0.0911581	0.215407	0.528731
</S>	0.0140432	0.00756097	0.00658075	0.0110002	0.0210444	0.0455501	0.114947	0.227074	0.552199
