 	cet	enfant	prend	bien	soin	de	ses	cahiers	scolaires	</S>
a66	0.200658	0.234491	0.177459	0.118274	0.117718	0.0753519	0.037546	0.0194212	0.00946361	0.00961731
a87	0.526685	0.178387	0.067786	0.0426144	0.0376621	0.0559969	0.0335623	0.020662	0.0156214	0.0210231
a23	0.462922	0.219566	0.125162	0.0587271	0.0434514	0.0355321	0.0232173	0.0118717	0.00792679	0.0116235
a53	0.161053	0.0757123	0.0596186	0.0498977	0.0696046	0.0760586	0.0869729	0.161583	0.163321	0.0961777
a54	0.340694	0.181565	0.119124	0.0813387	0.0662715	0.070707	0.0382982	0.0347926	0.0350547	0.032155
a37	0.21412	0.160147	0.13156	0.140644	0.0923611	0.109535	0.0586806	0.0477417	0.0278253	0.0173858
a6	0.233046	0.239783	0.221549	0.112337	0.056658	0.0442652	0.0311976	0.0294752	0.0217835	0.00990593
a92	0.169958	0.20901	0.235851	0.133218	0.0754297	0.05953	0.039532	0.0349405	0.0280453	0.0144853
a90	0.106884	0.184536	0.265505	0.155993	0.0829007	0.0666986	0.0391436	0.0342709	0.0382285	0.0258392
a98	0.0905466	0.163074	0.261594	0.207064	0.100252	0.0662238	0.0312384	0.0255382	0.0317207	0.022748
a47	0.111384	0.180338	0.222693	0.167997	0.0798716	0.0734224	0.0451937	0.0363435	0.0470814	0.0356763
a92	0.109625	0.149188	0.187815	0.136767	0.0878839	0.0695747	0.0462401	0.055558	0.092435	0.0649131
a37	0.118588	0.137565	0.193111	0.151624	0.0836447	0.0686389	0.0514345	0.0548135	0.0825288	0.0580522
a44	0.0600187	0.092533	0.140923	0.159276	0.147934	0.108264	0.0590321	0.0711383	0.0959275	0.0649531
a75	0.0257577	0.0438711	0.0766076	0.120244	0.152471	0.148099	0.0951484	0.103302	0.136149	0.0983507
a6	0.00553296	0.0106039	0.0239664	0.0431695	0.0596381	0.0714597	0.0985347	0.140352	0.304342	0.242401
a36	0.00259851	0.0052364	0.0129498	0.0273776	0.0490326	0.079926	0.121056	0.158344	0.29777	0.245709
a85	0.00350439	0.00510232	0.0085517	0.0137244	0.0308839	0.0392854	0.0659698	0.157664	0.332004	0.343309
a6	0.000474296	0.000672691	0.0016771	0.00356985	0.0071449	0.0178494	0.0704786	0.129235	0.403835	0.365064
a0	0.000334211	0.000480522	0.000977939	0.00246632	0.00508292	0.0113363	0.0524679	0.138137	0.415976	0.372742
a75	0.000838123	0.00116158	0.0021611	0.00382062	0.00793357	0.011876	0.0383573	0.136457	0.364937	0.432457
a5	0.000178656	0.000270253	0.000508916	0.0014348	0.00332629	0.00845787	0.0479128	0.143187	0.389698	0.405025
a37	0.000226574	0.000256614	0.00055449	0.00149777	0.00410136	0.00876198	0.037465	0.126169	0.350773	0.470194
a5	0.000449796	0.000771442	0.00148768	0.0026293	0.00434797	0.00756678	0.0287617	0.108009	0.277578	0.568398
a36	0.000251616	0.000332935	0.0006616	0.00177545	0.00349155	0.00658688	0.0269401	0.0912184	0.293308	0.575433
a27	0.00108306	0.00147684	0.00241516	0.00423627	0.0048605	0.00831845	0.0271487	0.0974587	0.247342	0.60566
a53	0.00630263	0.00604631	0.00961056	0.0138847	0.0104011	0.0217504	0.0458509	0.0877298	0.21265	0.585774
a90	0.000971912	0.00116721	0.00144861	0.00286873	0.00326106	0.00713085	0.0282238	0.0851928	0.275157	0.594578
a79	0.000307807	0.000428106	0.000766364	0.00228759	0.00348384	0.00773833	0.0299144	0.101591	0.276995	0.576487
a44	0.00043451	0.0005623	0.000818684	0.00187947	0.00264632	0.00573057	0.0267168	0.0896495	0.28185	0.589711
a58	0.000730693	0.000992455	0.00149713	0.00286243	0.00344336	0.00677214	0.0240118	0.0779717	0.233139	0.648579
a82	0.00337527	0.00427103	0.00623567	0.0111162	0.00720005	0.0168085	0.0458497	0.0924035	0.243645	0.569095
a87	0.0346956	0.0299194	0.0405152	0.0602073	0.0314345	0.0571716	0.0929469	0.126141	0.192174	0.334794
a23	0.36715	0.14666	0.135875	0.0663051	0.0319581	0.0354869	0.0521271	0.0437788	0.0567012	0.063957
a87	0.142046	0.0588679	0.0519098	0.0409852	0.0307081	0.0505383	0.0913605	0.115097	0.19119	0.227297
</S>	0.0533233	0.0272169	0.029357	0.0286056	0.0255506	0.0399642	0.0905572	0.11503	0.254545	0.33585
