 	abandonne	cette	affaire	</S>
a3	0.617661	0.171868	0.115815	0.0946564
a87	0.329408	0.256591	0.236804	0.177197
a23	0.570856	0.217598	0.123396	0.0881496
a70	0.590349	0.244441	0.102223	0.062987
a94	0.622827	0.186412	0.0973077	0.0934526
a47	0.467364	0.255219	0.149051	0.128367
a34	0.338586	0.261079	0.195179	0.205157
a25	0.191407	0.249037	0.259041	0.300514
a56	0.142916	0.236223	0.298691	0.322171
a44	0.0595522	0.171717	0.301481	0.46725
a62	0.0295728	0.124963	0.30995	0.535514
a88	0.0216292	0.112209	0.304349	0.561813
a71	0.02724	0.0878165	0.283088	0.601855
a26	0.0611907	0.104269	0.259746	0.574794
a57	0.162818	0.142996	0.242612	0.451573
a87	0.380642	0.180818	0.181811	0.256729
a23	0.416687	0.215123	0.173645	0.194545
a87	0.210572	0.208972	0.270183	0.310273
</S>	0.19418	0.236957	0.26087	0.307993
