 	le	remède	est	amer	</S>
a87	0.360371	0.293861	0.144723	0.123532	0.0775133
a23	0.3746	0.170042	0.141601	0.158543	0.155214
a38	0.429806	0.257566	0.130006	0.111845	0.0707777
a41	0.475506	0.303237	0.104329	0.0790168	0.0379106
a35	0.422188	0.329414	0.116655	0.092647	0.0390952
a14	0.382026	0.308156	0.147609	0.110791	0.051419
a35	0.396136	0.264023	0.15781	0.117793	0.0642386
a66	0.35201	0.255533	0.177629	0.135131	0.0796961
a38	0.210827	0.186789	0.171434	0.223764	0.207186
a26	0.134534	0.15086	0.178452	0.255963	0.280191
a35	0.161022	0.194697	0.199284	0.233582	0.211416
a14	0.0740686	0.110733	0.159663	0.290616	0.364919
a35	0.0327235	0.0514026	0.125672	0.297391	0.492811
a57	0.0155443	0.0284585	0.0856783	0.290252	0.580067
a38	0.00612961	0.0169982	0.0631963	0.264477	0.649199
a75	0.00658042	0.0146943	0.056251	0.242425	0.680049
a14	0.0114614	0.0162796	0.0614878	0.237319	0.673452
a35	0.0129833	0.0217385	0.0702051	0.260252	0.634821
a61	0.0131031	0.0221341	0.0664379	0.254976	0.643348
a83	0.00837122	0.0134415	0.0474697	0.188833	0.741885
a9	0.0239672	0.0321042	0.0720064	0.200649	0.671274
a87	0.0471413	0.0450059	0.0825306	0.182763	0.642559
</S>	0.0673335	0.0470613	0.0776248	0.159456	0.648524
