 	si	tu	penses	trop	à	ta	mère	tu	vas	maigrir	</S>
a66	0.285329	0.33942	0.129336	0.0305446	0.0228735	0.040275	0.0461157	0.0356959	0.0312206	0.022719	0.0164699
a87	0.491198	0.34791	0.0509236	0.0124265	0.00617549	0.0110075	0.0163942	0.0188453	0.0167262	0.0169794	0.0114141
a23	0.620512	0.215456	0.0584043	0.0167365	0.0112087	0.0117778	0.0120705	0.0123042	0.0123176	0.0138979	0.0153143
a87	0.334844	0.173134	0.0753315	0.0464601	0.0321357	0.0421831	0.0501772	0.0523	0.0443945	0.073478	0.0755616
a23	0.432536	0.198031	0.0684817	0.0399745	0.0313753	0.0390107	0.0422991	0.0409481	0.036076	0.0415752	0.0296925
a79	0.184599	0.0875115	0.0590501	0.0385281	0.0400913	0.0690181	0.0944671	0.109006	0.093705	0.116721	0.107302
a15	0.0587566	0.101551	0.0952581	0.0626018	0.0557692	0.0505419	0.073536	0.100457	0.127778	0.157868	0.115882
a79	0.0389576	0.120593	0.212063	0.167542	0.0783472	0.0686228	0.0691916	0.0636529	0.0651708	0.0565335	0.0593258
a44	0.0303819	0.0984509	0.155876	0.174561	0.124517	0.098712	0.0772579	0.0590894	0.0572448	0.0495133	0.0743955
a56	0.0269037	0.0524038	0.076727	0.20099	0.216137	0.143765	0.083138	0.0487648	0.0431221	0.0442794	0.0637697
a37	0.0459575	0.0926391	0.0997192	0.195115	0.207298	0.135872	0.0675211	0.035026	0.0307986	0.0352681	0.0547855
a25	0.0262005	0.0526252	0.064837	0.175312	0.238723	0.176466	0.0913888	0.0451067	0.0375949	0.0413144	0.0504317
a44	0.0230613	0.0349099	0.0504059	0.20183	0.271631	0.185561	0.0893768	0.0427843	0.0321611	0.0273145	0.0409645
a98	0.0269514	0.0391516	0.0478505	0.144026	0.247877	0.200051	0.103548	0.0515631	0.0410138	0.0415399	0.0564274
a47	0.016617	0.0229875	0.0344781	0.146613	0.247845	0.197288	0.11018	0.0640447	0.0485511	0.0494563	0.0619399
a85	0.0112295	0.0147701	0.0277619	0.15054	0.264153	0.19377	0.0983613	0.0570007	0.0413464	0.0491749	0.0918914
a47	0.0100793	0.0154592	0.0295953	0.110315	0.189597	0.170508	0.10834	0.0823046	0.0650304	0.0768953	0.141876
a79	0.00466768	0.00714668	0.0189073	0.0922598	0.183654	0.18224	0.121058	0.0932581	0.0627199	0.0826516	0.151438
a44	0.00443807	0.00550189	0.0159724	0.0625405	0.123877	0.138805	0.124739	0.112111	0.0904264	0.114884	0.206704
a93	0.00635316	0.00580287	0.0173127	0.0288129	0.0382453	0.0457482	0.0706682	0.110893	0.129855	0.21849	0.327818
a4	0.00419735	0.00413727	0.0139484	0.0215399	0.0259675	0.0300715	0.0509239	0.0924344	0.113309	0.239739	0.403732
a57	0.00510814	0.00458023	0.0158481	0.0152425	0.0158444	0.0158025	0.0267894	0.0651768	0.0932965	0.261293	0.481019
a3	0.00612934	0.00436706	0.0136202	0.0174718	0.0271804	0.026976	0.0394196	0.0728311	0.0903079	0.283503	0.418193
a87	0.0421134	0.0234669	0.0568043	0.0478948	0.0452737	0.0381129	0.0537925	0.0988148	0.121778	0.224898	0.24705
a23	0.0663078	0.0309752	0.0613465	0.0514149	0.0583597	0.0576001	0.092484	0.118452	0.112982	0.153032	0.197045
a99	0.0140011	0.00777658	0.0126047	0.0207805	0.0387459	0.0353162	0.0604193	0.0778435	0.0816227	0.226932	0.423958
a13	0.0024951	0.00191259	0.00626713	0.0193068	0.0395255	0.044246	0.0613602	0.0795371	0.0820714	0.236388	0.42689
a71	0.00114484	0.00100324	0.00353075	0.0056892	0.00955895	0.0145264	0.0336439	0.0510062	0.0662649	0.235089	0.578542
a13	0.00485332	0.0027285	0.00656716	0.0109794	0.0227455	0.0282941	0.0547519	0.0708869	0.0768861	0.23373	0.487577
a38	0.00666578	0.00317008	0.00834259	0.0130209	0.0215525	0.0250201	0.0501497	0.0792893	0.0862882	0.256023	0.450478
a57	0.00261742	0.00182193	0.0056553	0.00756014	0.0134526	0.0185049	0.0421844	0.0760319	0.0852161	0.280821	0.466134
a87	0.0136047	0.00763783	0.016161	0.0202688	0.0361647	0.0372627	0.0582718	0.0827783	0.0901594	0.261381	0.37631
a23	0.092595	0.0343064	0.0491077	0.0482066	0.0598938	0.0513597	0.0546754	0.0716282	0.0726541	0.178104	0.287469
a87	0.0300343	0.0102373	0.0130199	0.0168812	0.0218994	0.0166002	0.0268778	0.0462372	0.0566137	0.153965	0.607634
</S>	0.0321142	0.0135116	0.0180563	0.0238441	0.0293546	0.0239754	0.0398437	0.0527935	0.0549639	0.130501	0.581042
