 	qui	a	été	votre	intérrogateur	à	ce	sujet	</S>
a87	0.208414	0.0957695	0.0965855	0.151294	0.172815	0.132489	0.0735698	0.0396491	0.0294142
a23	0.187815	0.0927217	0.1313	0.153534	0.137533	0.129985	0.0697616	0.0545633	0.0427872
a53	0.118415	0.0963916	0.147483	0.16738	0.120188	0.0891	0.0701037	0.0830819	0.107857
a93	0.460518	0.198957	0.154421	0.0584461	0.0328075	0.0244354	0.019156	0.0250736	0.0261859
a13	0.366228	0.265892	0.208146	0.078446	0.0251389	0.0164962	0.01149	0.0120959	0.0160672
a38	0.302202	0.308542	0.226992	0.0758265	0.0241778	0.0168405	0.0131379	0.0142856	0.0179956
a93	0.241191	0.27343	0.237642	0.0964335	0.0393635	0.0282409	0.0231941	0.0253003	0.0352042
a13	0.175575	0.238545	0.233468	0.147572	0.0489368	0.0339307	0.0313443	0.0343184	0.0563098
a34	0.118752	0.178303	0.21687	0.187838	0.0728127	0.0544885	0.050083	0.0498609	0.0709921
a12	0.0907441	0.134551	0.183767	0.213147	0.0968413	0.0753392	0.0628873	0.0592137	0.0835099
a62	0.0898187	0.120396	0.163011	0.21288	0.10656	0.0860472	0.0687241	0.0621558	0.0904077
a21	0.083714	0.104898	0.144725	0.223264	0.12898	0.0996762	0.0723548	0.05809	0.0842983
a75	0.153962	0.13546	0.138488	0.176512	0.127837	0.0893023	0.0677828	0.0506025	0.0600529
a44	0.0533271	0.0564922	0.0606577	0.0711221	0.0925991	0.106755	0.135383	0.181334	0.24233
a75	0.0481222	0.0575298	0.069177	0.115093	0.149945	0.171569	0.136642	0.108613	0.143309
a98	0.0692192	0.0615561	0.0627245	0.0778677	0.102537	0.115223	0.129937	0.159064	0.221871
a92	0.0458641	0.052051	0.0539977	0.0678506	0.0958254	0.129013	0.149519	0.171833	0.234046
a66	0.0442623	0.0421066	0.041795	0.0554715	0.0894292	0.134689	0.159365	0.17916	0.25372
a31	0.0137858	0.0159993	0.0194411	0.0329997	0.07145	0.126057	0.155661	0.200223	0.364383
a75	0.0199529	0.0187981	0.0216389	0.0337978	0.0705917	0.13195	0.195306	0.213126	0.294839
a85	0.0139333	0.012008	0.0127146	0.0177113	0.0318777	0.0617286	0.124258	0.252437	0.473331
a66	0.0164061	0.0163632	0.0194621	0.0222421	0.0433886	0.0756052	0.134036	0.263889	0.408608
a61	0.00254995	0.00198731	0.00215021	0.00402945	0.0161057	0.0426749	0.113547	0.278558	0.538398
a47	0.00563476	0.00377455	0.00392397	0.00654685	0.0184862	0.0412243	0.106903	0.271882	0.541624
a83	0.00264254	0.00133818	0.00133824	0.0025235	0.0113605	0.0314434	0.0942535	0.278312	0.576788
a27	0.00137222	0.000753332	0.000926325	0.00210072	0.0150969	0.0467179	0.115257	0.290769	0.527006
a30	0.019794	0.00936539	0.00979405	0.011555	0.0350283	0.0696956	0.150171	0.280581	0.414016
a87	0.0285824	0.0125867	0.0133194	0.0163067	0.0453987	0.110974	0.19258	0.28013	0.300122
a23	0.0373829	0.0209144	0.027521	0.0393857	0.0928448	0.146396	0.176108	0.231618	0.227829
a87	0.0120714	0.00600677	0.00829973	0.016161	0.0439109	0.089054	0.139336	0.272381	0.412779
a97	0.00682439	0.00534494	0.00762678	0.014517	0.0373038	0.0731212	0.125784	0.316392	0.413086
a87	0.0321166	0.0298838	0.0433365	0.0605217	0.0780547	0.101477	0.121054	0.236327	0.297229
a23	0.0446064	0.0313253	0.0402248	0.0484879	0.0708919	0.0933777	0.11359	0.241252	0.316245
a9	0.0137725	0.0127696	0.0152692	0.0233704	0.0370861	0.0790456	0.130572	0.290536	0.397578
a87	0.0228655	0.0156858	0.0176264	0.0283818	0.0351993	0.0628437	0.100199	0.272704	0.444495
</S>	0.0224189	0.0158983	0.0169066	0.025361	0.0392657	0.0654587	0.100031	0.275937	0.438723
