 	ces	comprimés	guérissent	les	maux	de	tête	</S>
a66	0.281314	0.311142	0.125221	0.0793802	0.0655982	0.0555607	0.0430883	0.0386959
a87	0.556213	0.0988462	0.0502321	0.0504711	0.0823062	0.0723834	0.0559751	0.0335726
a97	0.312506	0.18594	0.104572	0.0733102	0.102947	0.0895282	0.0718266	0.0593697
a3	0.32647	0.273854	0.113637	0.0660135	0.0781193	0.0589176	0.0506307	0.0323583
a99	0.344204	0.252222	0.114301	0.0708969	0.0809687	0.0574845	0.0489686	0.030953
a83	0.421668	0.283792	0.0926885	0.0465745	0.0552184	0.0378869	0.0368717	0.0252992
a34	0.37157	0.260433	0.111229	0.0516901	0.056989	0.0450903	0.0543326	0.0486668
a96	0.290304	0.203599	0.1287	0.0759555	0.0844049	0.0628053	0.0765989	0.0776323
a70	0.224771	0.164113	0.125855	0.0982714	0.117421	0.0799316	0.0921829	0.0974536
a13	0.158838	0.144412	0.117329	0.11184	0.132054	0.100094	0.106156	0.129276
a53	0.125952	0.181533	0.137576	0.117782	0.117514	0.0941307	0.103437	0.122076
a69	0.127146	0.158347	0.1301	0.132151	0.135929	0.103741	0.0996894	0.112896
a93	0.107592	0.157793	0.145488	0.153909	0.141266	0.103043	0.0927058	0.0982042
a90	0.0841981	0.137886	0.114028	0.144669	0.152729	0.128035	0.110089	0.128366
a79	0.077375	0.151684	0.152058	0.17173	0.156362	0.111398	0.0879959	0.0913984
a56	0.069488	0.167214	0.186704	0.182964	0.146198	0.0983069	0.0764719	0.0726523
a43	0.0248239	0.0775001	0.109293	0.149274	0.168446	0.162205	0.139349	0.169109
a11	0.00787188	0.0247099	0.0535239	0.0845655	0.131258	0.177527	0.189728	0.330816
a50	0.00375414	0.011516	0.0354664	0.0543735	0.0839314	0.142794	0.21553	0.452634
a83	0.00243788	0.00519436	0.0220422	0.0375948	0.0654545	0.141125	0.237132	0.489019
a99	0.000834747	0.0022166	0.0134938	0.028623	0.0615156	0.14192	0.265294	0.486102
a70	0.000923666	0.00223236	0.0137456	0.0292418	0.0706668	0.15684	0.309151	0.417199
a4	0.000619122	0.00148037	0.0147234	0.0362466	0.0782092	0.15482	0.330851	0.383051
a13	0.00101911	0.00242562	0.0171467	0.0298189	0.0572342	0.118643	0.324	0.449712
a4	0.000604232	0.00133118	0.0124935	0.0318327	0.0680326	0.142214	0.329865	0.413627
a58	0.000930494	0.00223406	0.015299	0.0308965	0.0596061	0.123378	0.331831	0.435824
a26	0.00067732	0.00167414	0.0129476	0.0317458	0.0663839	0.127676	0.340516	0.41838
a82	0.0136855	0.00961823	0.0342354	0.0617252	0.112056	0.152774	0.331275	0.284632
a3	0.0783861	0.0372239	0.071056	0.0765468	0.138848	0.160262	0.261243	0.176434
a57	0.105833	0.0567839	0.0893175	0.0792158	0.11474	0.140645	0.238837	0.174629
a97	0.0993517	0.081399	0.145748	0.112463	0.144811	0.138867	0.16743	0.109929
a57	0.0664583	0.0748312	0.150307	0.1133	0.153722	0.144444	0.170154	0.126785
a97	0.0651805	0.0872798	0.159482	0.114962	0.163037	0.147253	0.147227	0.11558
</S>	0.0688226	0.0950753	0.147031	0.103433	0.16576	0.157179	0.151299	0.1114
