 	je	m'	en	vais	couper	du	bois	de	chauffe	au	champ	</S>
a66	0.201875	0.122791	0.102254	0.0999012	0.107528	0.101968	0.088852	0.0618029	0.0407021	0.0309121	0.0231076	0.0183052
a87	0.455003	0.205854	0.110019	0.0498548	0.031379	0.0272872	0.0223132	0.0218374	0.0193206	0.019818	0.0200932	0.017221
a97	0.27141	0.187962	0.123392	0.094644	0.0496502	0.0262978	0.0221566	0.0356178	0.0566461	0.0542276	0.0470694	0.0309263
a99	0.175053	0.168008	0.135769	0.141855	0.0845233	0.0422405	0.0315856	0.0450206	0.0632697	0.0452012	0.0398828	0.0275918
a97	0.253305	0.223263	0.139327	0.135993	0.0533392	0.0246304	0.0220756	0.0363378	0.0481135	0.0280508	0.0215242	0.0140403
a99	0.24976	0.187288	0.119535	0.11174	0.0606376	0.0345996	0.0324356	0.051848	0.0670986	0.0379938	0.0288228	0.0182408
a83	0.276401	0.189845	0.10554	0.100974	0.0469691	0.0347944	0.0433991	0.0600098	0.0665949	0.0342259	0.0238047	0.0174417
a99	0.191306	0.163184	0.113053	0.119194	0.0678758	0.0463929	0.0467803	0.0563214	0.0667779	0.0514047	0.0424648	0.0352441
a62	0.164579	0.133312	0.108769	0.123689	0.0861582	0.0507384	0.0474797	0.053883	0.0654463	0.0643024	0.0568001	0.0448432
a96	0.134371	0.193279	0.186334	0.191675	0.100278	0.0371357	0.0245053	0.0237914	0.0262593	0.0267244	0.0281362	0.0275111
a34	0.0866863	0.157307	0.176952	0.209671	0.121046	0.0468705	0.0348537	0.0338492	0.031637	0.0309386	0.0346472	0.0355404
a56	0.0712878	0.139897	0.182799	0.219625	0.146405	0.051704	0.0355051	0.0297873	0.0247816	0.027057	0.032983	0.0381682
a75	0.0707061	0.126408	0.17589	0.221277	0.161319	0.057743	0.0370227	0.0288014	0.0232913	0.026073	0.0330651	0.038404
a92	0.0560291	0.106334	0.151092	0.185898	0.161836	0.0843215	0.054697	0.0386171	0.032213	0.0367785	0.0422862	0.0498985
a37	0.0694712	0.111717	0.157804	0.186513	0.172979	0.0941955	0.0507235	0.0321945	0.0264177	0.0288345	0.0319843	0.0371667
a21	0.0683857	0.0907661	0.125089	0.162772	0.182074	0.116553	0.0648693	0.0407116	0.0305715	0.0329885	0.0393247	0.0458939
a92	0.0456109	0.0569683	0.0766669	0.100314	0.13183	0.121871	0.0936788	0.0697756	0.0551994	0.065813	0.0830474	0.0992252
a44	0.0194436	0.026119	0.0408976	0.0638475	0.107953	0.108498	0.0934671	0.0801697	0.0792298	0.104892	0.129673	0.14581
a56	0.0221234	0.0225541	0.0299306	0.0470451	0.0979114	0.123823	0.116629	0.102993	0.0886452	0.104925	0.112676	0.130743
a34	0.0140156	0.0121211	0.0149823	0.0251245	0.0611023	0.0923968	0.107597	0.104917	0.100678	0.138844	0.151482	0.17674
a31	0.00470099	0.00451774	0.00516734	0.00871718	0.0244865	0.0449234	0.0640163	0.0795916	0.0922494	0.165241	0.217507	0.288882
a0	0.00214301	0.00209079	0.00219895	0.00316195	0.0101523	0.0243804	0.0443985	0.0666587	0.0823243	0.16926	0.249745	0.343486
a75	0.00141575	0.0012834	0.00127247	0.00158242	0.00367561	0.00890532	0.0257587	0.047627	0.0687698	0.177284	0.285246	0.37718
a92	0.000221301	0.000233396	0.000296264	0.00059013	0.00192822	0.00695912	0.0174488	0.0322559	0.0534157	0.139138	0.264406	0.483108
a56	0.000293642	0.000313583	0.000416729	0.000894221	0.00287816	0.00929995	0.0214701	0.0372964	0.0642539	0.151332	0.27277	0.438781
a44	0.000236666	0.000210485	0.000248086	0.00037928	0.00104544	0.00361323	0.0114339	0.0232184	0.0459385	0.143494	0.257824	0.512358
a13	0.000120905	9.26472e-05	0.000104319	0.000161981	0.00043577	0.00146157	0.00547736	0.0132416	0.0325666	0.129316	0.267967	0.549054
a38	0.0006953	0.000347937	0.000358825	0.000404853	0.00116249	0.00575768	0.0238444	0.0500651	0.0782924	0.168961	0.26487	0.40524
a27	0.00204303	0.00123431	0.00130623	0.00132029	0.00262804	0.0100805	0.0290848	0.0522293	0.0709016	0.152173	0.241639	0.43536
a82	0.0152477	0.00976124	0.00922487	0.00828528	0.0106462	0.0199503	0.0398524	0.0583715	0.0717408	0.13757	0.206876	0.412474
a3	0.0788756	0.0414285	0.0255949	0.0176035	0.0149729	0.0177826	0.0247562	0.046608	0.0785344	0.140628	0.212933	0.300283
a97	0.0802042	0.0504723	0.0381744	0.0280502	0.0256413	0.0303672	0.0416195	0.0684784	0.088048	0.151523	0.19548	0.201942
a3	0.0688252	0.0437847	0.0372774	0.0318432	0.0390768	0.0487273	0.0652675	0.0891708	0.0987646	0.137107	0.169628	0.170527
</S>	0.0644404	0.0406082	0.0359438	0.0356891	0.0542834	0.0587038	0.0666939	0.0858209	0.0980293	0.119943	0.159934	0.17991
