 	l'	oncle	a	envoûté	son	neveu	</S>
a66	0.213943	0.227829	0.404298	0.102678	0.0305822	0.0123091	0.00836097
a87	0.440753	0.293278	0.228742	0.0223475	0.00587902	0.00422017	0.00478003
a23	0.511867	0.326098	0.132668	0.0146616	0.00468859	0.00383637	0.00618003
a87	0.545802	0.282056	0.108938	0.0189969	0.0110713	0.0146072	0.0185281
a23	0.531626	0.285487	0.129449	0.022718	0.0112242	0.00948828	0.0100071
a99	0.5047	0.247509	0.119173	0.0350451	0.0276085	0.030372	0.0355925
a30	0.340034	0.192927	0.146857	0.0936187	0.0870294	0.0699405	0.0695937
a53	0.275645	0.208473	0.206461	0.119713	0.0944499	0.0542947	0.0409625
a4	0.309233	0.196168	0.162892	0.136129	0.113995	0.0554012	0.0261815
a44	0.204101	0.193811	0.184269	0.183363	0.132566	0.0700265	0.0318637
a96	0.143737	0.14548	0.152557	0.22256	0.147569	0.115839	0.0722578
a88	0.134132	0.147287	0.152099	0.197585	0.113045	0.129261	0.126592
a54	0.121811	0.154759	0.171634	0.19185	0.0965524	0.116984	0.146409
a6	0.0356826	0.0547182	0.0955011	0.224352	0.209156	0.209489	0.171102
a37	0.0485751	0.0718866	0.120236	0.186191	0.191312	0.207779	0.17402
a0	0.0564405	0.0890474	0.161392	0.190274	0.143105	0.175031	0.184709
a93	0.0348347	0.0483721	0.0868726	0.177138	0.160511	0.228365	0.263907
a96	0.0322668	0.0448853	0.0827302	0.20583	0.189128	0.219726	0.225434
a62	0.027439	0.0364711	0.0603947	0.148355	0.192465	0.260974	0.273901
a0	0.0144413	0.0179676	0.032898	0.129105	0.199497	0.280892	0.325199
a75	0.0162793	0.0170573	0.0254865	0.116927	0.197292	0.300288	0.32667
a79	0.00272739	0.0036597	0.00688248	0.0375788	0.135897	0.352882	0.460373
a37	0.00271016	0.00420674	0.00802824	0.0510232	0.167494	0.326314	0.440223
a79	0.00524257	0.00729468	0.0084958	0.0313821	0.147295	0.338415	0.461875
a37	0.00200773	0.00243772	0.00315407	0.0168556	0.112899	0.324657	0.537989
a6	0.00174816	0.00187205	0.00184091	0.00647672	0.0731696	0.339376	0.575516
a7	0.000456989	0.000396241	0.000393613	0.00310728	0.0548531	0.315282	0.62551
a44	0.000398992	0.000382795	0.000385746	0.00212027	0.0342423	0.277598	0.684871
a4	0.000323184	0.000302542	0.000329179	0.00152717	0.0222799	0.232133	0.743105
a7	0.000193801	0.000179543	0.00019502	0.0010561	0.0202296	0.249725	0.72842
a26	0.000387237	0.000304723	0.000319974	0.0013799	0.017805	0.196032	0.783771
a57	0.0187922	0.00787813	0.00570977	0.0196305	0.0685646	0.235336	0.644089
a87	0.208096	0.0684632	0.0388961	0.0349921	0.0654146	0.173276	0.410861
a23	0.38618	0.189533	0.114319	0.0415812	0.0584584	0.0912784	0.118651
a87	0.305758	0.161272	0.0751896	0.0433259	0.078394	0.137352	0.198709
a23	0.0508201	0.0281114	0.0200909	0.0305782	0.104108	0.278147	0.488145
</S>	0.133916	0.0806214	0.0628863	0.0821964	0.124083	0.205342	0.310955
