 	le	gombo	adoucit	le	koko	</S>
a66	0.41234	0.424022	0.116658	0.0281109	0.0130487	0.00582035
a87	0.639567	0.226454	0.0423297	0.0387946	0.030413	0.0224417
a23	0.630448	0.264521	0.0336333	0.021455	0.024396	0.0255466
a44	0.424616	0.296418	0.0662963	0.071653	0.065343	0.075674
a79	0.0900046	0.182783	0.176047	0.177583	0.20196	0.171622
a44	0.360002	0.268954	0.147806	0.0684494	0.0887929	0.0659957
a90	0.200343	0.185432	0.201926	0.119249	0.174145	0.118904
a79	0.1318	0.15362	0.269711	0.141684	0.165654	0.13753
a92	0.0848885	0.12164	0.287199	0.172078	0.169907	0.164287
a56	0.127308	0.128383	0.2671	0.180267	0.147098	0.149844
a25	0.141249	0.190934	0.276483	0.141291	0.122354	0.127688
a92	0.0655312	0.107702	0.317192	0.218343	0.148821	0.142411
a21	0.0709658	0.116171	0.281716	0.197181	0.169813	0.164154
a47	0.0908393	0.151566	0.21353	0.18529	0.175835	0.18294
a96	0.0504225	0.118644	0.257702	0.222075	0.172721	0.178435
a90	0.0308945	0.0630718	0.167309	0.236779	0.235298	0.266648
a56	0.00827973	0.0215722	0.102155	0.282094	0.278163	0.307736
a25	0.012817	0.0201462	0.0559402	0.201328	0.2942	0.415569
a69	0.00396653	0.00679259	0.0292489	0.188102	0.29901	0.472879
a58	0.00638104	0.0111032	0.0326258	0.181295	0.380856	0.387739
a13	0.00647349	0.0085435	0.0174103	0.123547	0.349821	0.494205
a83	0.00915525	0.0172192	0.0305822	0.153897	0.294275	0.494871
a66	0.00720973	0.0136747	0.0323136	0.177307	0.305386	0.464108
a13	0.0358208	0.0415464	0.0537229	0.202715	0.279504	0.38669
a3	0.0643412	0.0663641	0.0798163	0.20618	0.257919	0.325379
a87	0.303402	0.174444	0.09443	0.132802	0.148156	0.146766
a23	0.359582	0.290961	0.111031	0.0858216	0.079473	0.0731309
a87	0.122263	0.105489	0.0898497	0.176279	0.208414	0.297705
</S>	0.0411844	0.0448435	0.0696906	0.216346	0.243774	0.384161
