 	il	ne	mange	plus	les	baguettes	de	man	ioc	à	cause	du	mal	des	dents	</S>
a66	0.157102	0.152219	0.134767	0.0964791	0.0696629	0.0363431	0.0291313	0.0364365	0.0470338	0.0701621	0.06784	0.0514831	0.0230314	0.0121264	0.0085913	0.00759006
a87	0.280682	0.243221	0.162506	0.0863809	0.0484335	0.0223755	0.0160268	0.0103252	0.0118283	0.0176185	0.0199622	0.0190989	0.0195431	0.0180295	0.0127149	0.0112535
a23	0.354078	0.210711	0.105271	0.0638401	0.042533	0.0193392	0.0138004	0.0122535	0.0172885	0.0349954	0.0367786	0.022436	0.0209953	0.0180768	0.0130797	0.0145227
a53	0.23032	0.128062	0.0569615	0.0333492	0.0222485	0.0186322	0.011169	0.0146791	0.0198204	0.0521524	0.0662348	0.0514031	0.0680692	0.0705873	0.0706523	0.085659
a20	0.264421	0.164352	0.101829	0.0739809	0.0459503	0.0288573	0.0195909	0.0208335	0.020718	0.0315659	0.0493067	0.065893	0.056219	0.0265511	0.016225	0.0137065
a47	0.143896	0.128505	0.114591	0.115523	0.0939322	0.0661453	0.0510713	0.0459857	0.0357951	0.0350982	0.0416926	0.0428274	0.035959	0.023064	0.014221	0.0116931
a36	0.0491731	0.0655804	0.0767575	0.116103	0.125735	0.128331	0.131031	0.0929783	0.0465219	0.0304868	0.0280475	0.0264912	0.0269467	0.0252647	0.0173196	0.013233
a37	0.0610209	0.0785675	0.0842462	0.116246	0.128471	0.148751	0.137721	0.102545	0.0380506	0.0176931	0.01286	0.0127172	0.0155547	0.0190697	0.0161371	0.0103493
a62	0.0555572	0.0696721	0.0825294	0.107836	0.11753	0.139487	0.121282	0.111933	0.0600503	0.0388049	0.0269384	0.0185164	0.0138338	0.0125894	0.0133747	0.0100645
a21	0.0491023	0.0608989	0.0818597	0.10332	0.112799	0.129857	0.120066	0.108879	0.0739829	0.0593185	0.0416917	0.0226304	0.0112732	0.00920904	0.00844014	0.00667095
a85	0.0265358	0.0302032	0.0496769	0.0751073	0.0938994	0.118823	0.135967	0.129411	0.0934159	0.0786099	0.0600304	0.0389337	0.0185774	0.0165613	0.0187461	0.015501
