 	c'	est	un	animal	domestique	</S>
a10	0.104241	0.0957988	0.120396	0.18703	0.268047	0.224488
a87	0.156287	0.148766	0.14801	0.14407	0.165529	0.237339
a23	0.372841	0.241979	0.116423	0.0740955	0.0815287	0.113132
a41	0.299726	0.247588	0.145521	0.087613	0.0972237	0.122328
a32	0.468261	0.284609	0.114506	0.0577339	0.0534042	0.021486
a26	0.377293	0.30567	0.156857	0.0751393	0.0525511	0.0324892
a35	0.264804	0.235025	0.206912	0.124385	0.0897852	0.0790885
a94	0.206971	0.198188	0.202578	0.161023	0.121443	0.109798
a41	0.152119	0.160971	0.191219	0.195816	0.16312	0.136754
a14	0.093048	0.122685	0.181704	0.228533	0.214496	0.159534
a35	0.0896332	0.108156	0.150652	0.21077	0.223649	0.21714
a14	0.0510986	0.0700492	0.112625	0.193008	0.249355	0.323865
a44	0.0253372	0.0403812	0.0846931	0.208265	0.331398	0.309926
a84	0.0282037	0.0390048	0.0838123	0.171014	0.270712	0.407252
a57	0.00462143	0.00587832	0.0131764	0.0510691	0.23285	0.692405
a53	0.00320192	0.00407398	0.00966051	0.0447211	0.198407	0.739936
a90	0.00230803	0.00404268	0.0115295	0.0561584	0.25287	0.673091
a4	0.00359637	0.00627715	0.016515	0.0655038	0.249227	0.658881
a57	0.0034047	0.00695921	0.0159048	0.0626482	0.27545	0.635633
a87	0.0066483	0.0148592	0.0262933	0.0903045	0.275019	0.586875
</S>	0.0196049	0.0382583	0.0597445	0.124827	0.315852	0.441713
