 	kwekwele	est	une	chenille	comestible	</S>
a66	0.480341	0.257485	0.13498	0.0584925	0.0381643	0.0305374
a87	0.17902	0.191415	0.187389	0.201965	0.138263	0.101948
a97	0.202657	0.213604	0.161583	0.200688	0.127004	0.0944641
a87	0.298446	0.27455	0.17946	0.139399	0.0646505	0.0434952
a10	0.331978	0.269327	0.169806	0.125839	0.0610977	0.0419515
a97	0.359423	0.263369	0.162221	0.116959	0.0578031	0.040225
a23	0.336956	0.258271	0.175904	0.125575	0.0624314	0.0408625
a93	0.295228	0.270056	0.194033	0.141362	0.063083	0.0362381
a70	0.336543	0.27137	0.180325	0.128014	0.0544245	0.0293228
a93	0.507661	0.248042	0.121037	0.0725373	0.0300731	0.0206495
a75	0.452212	0.255113	0.135839	0.0845995	0.0402926	0.0319429
a34	0.451745	0.225895	0.114243	0.0894642	0.0633776	0.0552756
a21	0.287115	0.181079	0.129811	0.150809	0.131856	0.11933
a12	0.126232	0.104483	0.118461	0.190519	0.218001	0.242304
a75	0.0487908	0.0504919	0.0769688	0.159063	0.282865	0.381821
a85	0.0322272	0.0446957	0.0837344	0.166681	0.281111	0.39155
a6	0.0133903	0.0233257	0.0526979	0.112176	0.282691	0.515719
a75	0.00345538	0.0067691	0.0201412	0.0618246	0.225978	0.681832
a85	0.00267873	0.00474542	0.0126629	0.036958	0.174856	0.768099
a47	0.0017301	0.00390814	0.0109585	0.0330372	0.168193	0.782173
a36	0.00242511	0.00439486	0.00876071	0.0259709	0.142277	0.816171
a2	0.0146024	0.0155554	0.0230218	0.0722502	0.194161	0.680409
a57	0.127954	0.100843	0.0825813	0.142351	0.193419	0.352852
a97	0.16345	0.123229	0.0820074	0.135606	0.193003	0.302705
a79	0.189445	0.125098	0.0868914	0.131852	0.178075	0.288639
a61	0.0117796	0.0128788	0.0181074	0.0556978	0.205366	0.69617
a66	0.0103081	0.0144607	0.0238036	0.0828614	0.232908	0.635658
a9	0.00834157	0.0097689	0.0131424	0.046644	0.180592	0.741512
a38	0.0124104	0.0134719	0.0161375	0.0544928	0.219779	0.683708
a34	0.00317928	0.00492474	0.00854776	0.0361099	0.209892	0.737347
a61	0.0034215	0.00567167	0.0129636	0.0428982	0.169661	0.765384
a0	0.000682057	0.00126632	0.00338081	0.0150806	0.105672	0.873918
a24	0.00163301	0.00256977	0.00542574	0.0228256	0.120558	0.846988
a25	0.00243339	0.00432296	0.00860099	0.0281284	0.129345	0.827169
a9	0.00723807	0.0130761	0.0222356	0.0758908	0.20363	0.67793
a25	0.0569234	0.0650742	0.0737291	0.150472	0.230479	0.423323
</S>	0.010971	0.0202258	0.0374773	0.125976	0.284093	0.521256
