 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
a23	0.16718	0.124282	0.104481	0.066923	0.0384898	0.0401199	0.0469908	0.0823522	0.145209	0.183973
a85	0.268959	0.168596	0.134632	0.0680213	0.0522907	0.0483274	0.0376637	0.0516991	0.0769621	0.0928492
a87	0.225619	0.236176	0.172134	0.133895	0.0588012	0.048614	0.0218866	0.0230149	0.0295088	0.0503511
a23	0.227032	0.200676	0.180626	0.154874	0.0684113	0.046087	0.0228631	0.0233293	0.0312343	0.0448681
a79	0.154648	0.13574	0.0902155	0.113404	0.0540345	0.0366834	0.0447153	0.06776	0.124816	0.177984
a20	0.25686	0.227168	0.148261	0.144007	0.0558787	0.0382566	0.0250008	0.0230952	0.0299845	0.0514876
a94	0.25211	0.183826	0.167518	0.166244	0.0893445	0.0650801	0.0318282	0.018889	0.013219	0.0119405
a73	0.198984	0.176098	0.179597	0.190115	0.116632	0.0804948	0.0268272	0.0137801	0.00938079	0.00809071
a0	0.168701	0.174778	0.187156	0.20754	0.132009	0.081664	0.0216863	0.0107492	0.00822198	0.00749492
a11	0.14128	0.173992	0.175779	0.19091	0.147771	0.107702	0.0282919	0.0135503	0.0104819	0.0102431
a31	0.108337	0.155677	0.162533	0.185618	0.181296	0.13116	0.0356698	0.0161102	0.0121876	0.0114106
a41	0.0909897	0.131194	0.160161	0.188238	0.194817	0.126891	0.0492444	0.0252919	0.0175972	0.0155749
a36	0.0884169	0.112728	0.143086	0.186033	0.217379	0.112965	0.052758	0.0322316	0.0258981	0.0285044
a11	0.095164	0.126778	0.123838	0.14248	0.172313	0.134108	0.0610906	0.0393931	0.0446222	0.0602135
a75	0.0988879	0.115987	0.109566	0.127444	0.147076	0.132755	0.0743096	0.0515917	0.0610737	0.0813088
a41	0.0810566	0.0899708	0.106853	0.138551	0.127706	0.106132	0.0977551	0.08343	0.0764346	0.0921115
a18	0.0556577	0.0740261	0.0990868	0.135707	0.146704	0.111096	0.102856	0.0915088	0.0858717	0.097487
a43	0.0735497	0.0757324	0.0831231	0.10228	0.090069	0.0927315	0.118119	0.103997	0.118666	0.141732
a24	0.0649707	0.0697143	0.0754107	0.0927508	0.080164	0.0914343	0.126835	0.112685	0.127515	0.15852
a71	0.0405375	0.0418704	0.053052	0.0692484	0.0627184	0.0632316	0.119862	0.146624	0.188095	0.21476
a76	0.0557525	0.0584153	0.0554341	0.0633431	0.0600078	0.0740077	0.136151	0.151563	0.168513	0.176812
a94	0.033606	0.0369528	0.0440828	0.0582666	0.0520169	0.0503381	0.104874	0.143115	0.204408	0.27234
a76	0.0245357	0.0267536	0.0313134	0.0435697	0.0424111	0.0386034	0.0883746	0.152364	0.242358	0.309716
a94	0.0334946	0.0370094	0.0402701	0.0500433	0.0439683	0.041534	0.082716	0.141899	0.224962	0.304104
a38	0.0203398	0.02216	0.0220293	0.0311992	0.0308827	0.0296581	0.0789945	0.161374	0.260425	0.342937
a73	0.021643	0.0249015	0.024477	0.0336015	0.0287297	0.0279897	0.0685246	0.145395	0.252681	0.372057
a2	0.019852	0.0246624	0.0230722	0.031759	0.0290641	0.028319	0.070465	0.142921	0.251537	0.378348
a84	0.0149285	0.0195707	0.0196874	0.0257708	0.0282538	0.0318212	0.075362	0.143244	0.254431	0.386931
a90	0.00870658	0.00872974	0.00981602	0.0125172	0.0133443	0.0127583	0.0397933	0.112656	0.285121	0.496559
a98	0.0221809	0.0206582	0.021039	0.0233175	0.01637	0.015134	0.0269578	0.0647982	0.207213	0.582332
a0	0.00813211	0.00947406	0.00863456	0.00832065	0.00594478	0.00695278	0.0191729	0.0646363	0.240669	0.628063
a32	0.00579083	0.00667727	0.0076687	0.0109429	0.00713823	0.00527828	0.0161509	0.0544608	0.229632	0.656261
a54	0.00905948	0.00942617	0.00898648	0.0113049	0.00688327	0.0055236	0.0173038	0.0596198	0.239308	0.632585
a73	0.0141582	0.0152923	0.0155799	0.0181693	0.0114418	0.00931126	0.0198776	0.056148	0.211988	0.628034
a84	0.00346321	0.00448503	0.00481891	0.00606035	0.00531863	0.00459941	0.0134541	0.0495875	0.231679	0.676534
a57	0.00200252	0.00224141	0.00197749	0.00274366	0.00356123	0.00325789	0.0160147	0.0634526	0.273917	0.630832
a87	0.00324493	0.00304217	0.00308859	0.00355191	0.00361597	0.00271558	0.0144743	0.0795393	0.288655	0.598072
</S>	0.00532099	0.00399915	0.00354751	0.00432811	0.00586437	0.00532498	0.0308141	0.103063	0.283543	0.554195
