 	le	piquet	fourchu	est	planté	dans	le	sol	</S>
a66	0.281242	0.135972	0.0981404	0.0509153	0.0857188	0.104241	0.109233	0.0880542	0.046484
a87	0.214485	0.16463	0.0884499	0.131164	0.146516	0.125233	0.0746758	0.0365985	0.0182485
a23	0.336355	0.317163	0.173638	0.0964822	0.0374928	0.0142573	0.0084686	0.00791868	0.00822446
a83	0.27192	0.321758	0.192826	0.106107	0.0492905	0.0191106	0.011616	0.0115339	0.0158368
a9	0.203028	0.237453	0.171012	0.118909	0.0897152	0.0522382	0.0399851	0.0425742	0.0450863
a0	0.231859	0.179736	0.218275	0.143513	0.111656	0.0452745	0.0291886	0.0238471	0.0166513
a11	0.177273	0.185077	0.285177	0.176103	0.1038	0.0343556	0.0165968	0.0140471	0.00757153
a31	0.112849	0.186016	0.31382	0.210492	0.110698	0.036056	0.0141976	0.0102905	0.00558039
a88	0.0658212	0.147795	0.281416	0.245758	0.151731	0.0614385	0.0224558	0.0147331	0.00885166
a31	0.0459228	0.0961466	0.213576	0.268032	0.201166	0.101456	0.03908	0.0213435	0.0132774
a88	0.0521114	0.0997755	0.198887	0.264067	0.205037	0.108828	0.0415904	0.0178745	0.0118287
a38	0.0348601	0.05728	0.105502	0.205769	0.261409	0.187806	0.0844676	0.036524	0.0263823
a98	0.0287888	0.0276539	0.052823	0.118324	0.22671	0.220044	0.163877	0.0900441	0.0717353
a47	0.0130852	0.0125016	0.0293245	0.058025	0.156661	0.218471	0.218466	0.136464	0.157002
a0	0.0181239	0.0143947	0.0207216	0.037614	0.101861	0.184236	0.212774	0.168966	0.241309
a75	0.0260071	0.0126522	0.0152589	0.0232816	0.0680112	0.152232	0.234997	0.183414	0.284147
a85	0.00772073	0.00455862	0.00612307	0.0105079	0.0322876	0.0975029	0.230137	0.262749	0.348413
a6	0.00356901	0.002038	0.00270624	0.00597361	0.02087	0.0646452	0.179789	0.269175	0.451233
a0	0.00679631	0.00425911	0.00411751	0.00704862	0.0203339	0.0648141	0.174666	0.2644	0.453564
a75	0.00380732	0.0017227	0.00111055	0.00318006	0.0131853	0.0308168	0.0834852	0.212203	0.650489
a12	0.00116344	0.000706602	0.000510205	0.00136735	0.00462853	0.0145303	0.053996	0.213322	0.709775
a96	0.00172825	0.000568208	0.000524411	0.00116303	0.00462036	0.0145119	0.0556271	0.203517	0.71774
a18	0.00157869	0.000542038	0.000491437	0.00122795	0.00439662	0.0110259	0.0380207	0.166273	0.776444
a71	0.013374	0.00716735	0.00556319	0.00980971	0.0196167	0.0360514	0.0841527	0.196192	0.628073
a25	0.0728492	0.0420768	0.0367602	0.0519842	0.07141	0.0801494	0.129283	0.156569	0.358919
a87	0.158014	0.0897042	0.0544529	0.0645355	0.0659707	0.0717408	0.106129	0.134779	0.254675
a23	0.242896	0.186227	0.0861291	0.115473	0.074689	0.0502704	0.048278	0.0717966	0.124241
a87	0.123241	0.0700368	0.0358047	0.0549658	0.053661	0.0490716	0.0691669	0.169665	0.374387
a23	0.0552194	0.0387344	0.0198288	0.0264243	0.0283102	0.0386757	0.071414	0.199982	0.521411
a99	0.10774	0.10302	0.0513446	0.0711991	0.0619556	0.0567676	0.0771777	0.153112	0.317683
a82	0.0709914	0.0693643	0.034185	0.0513546	0.0701329	0.0872967	0.105076	0.165783	0.345817
</S>	0.0322583	0.0320043	0.0162714	0.0319042	0.0593648	0.0825803	0.0998057	0.190505	0.455306
