 	les	uns	sont	allés	à	la	pêche	et	les	autres	au	village	</S>
a23	0.280973	0.159393	0.0424484	0.0693718	0.0679973	0.0762359	0.0393607	0.0342493	0.0382501	0.0419855	0.043331	0.049249	0.0571548
a87	0.175979	0.0647157	0.0326664	0.0661803	0.0838751	0.118588	0.0914108	0.0728478	0.0556305	0.0509698	0.049534	0.0572354	0.0803671
a10	0.0845139	0.0428769	0.037249	0.0741078	0.0957694	0.143157	0.108957	0.0901948	0.0687167	0.0569295	0.0519805	0.0603544	0.0851923
a87	0.0714692	0.0547099	0.0553105	0.103144	0.125837	0.144173	0.0887119	0.0682542	0.0543255	0.0485032	0.0454092	0.0578428	0.0823098
a23	0.0579629	0.0437184	0.0431577	0.0905227	0.114963	0.132798	0.100766	0.0905151	0.07303	0.0571141	0.050149	0.0594282	0.0858753
a99	0.038154	0.0242519	0.0349967	0.0708346	0.104033	0.126922	0.09386	0.0788946	0.0774355	0.074678	0.0726169	0.0886859	0.114637
a20	0.14892	0.142832	0.125877	0.135243	0.0971265	0.08496	0.0449228	0.0316046	0.0210312	0.0197233	0.0247098	0.0454128	0.0776372
a73	0.331635	0.174478	0.0763365	0.0977108	0.0711825	0.0749213	0.0494631	0.0369121	0.0251323	0.0182851	0.0150578	0.0140894	0.0147957
a94	0.230818	0.155176	0.100352	0.11749	0.0901789	0.0988592	0.0694814	0.0540545	0.0320255	0.0188018	0.0127479	0.0101966	0.00981879
a98	0.226295	0.149809	0.0969426	0.116782	0.0861317	0.0957153	0.070703	0.0566249	0.0343267	0.0216969	0.0163189	0.0142893	0.0143647
a71	0.118538	0.106732	0.104667	0.135212	0.106311	0.121695	0.0857399	0.0744049	0.0518665	0.0329949	0.0229873	0.0192114	0.0196393
a9	0.10782	0.0956132	0.109946	0.137334	0.0961824	0.104509	0.0769053	0.0679468	0.0553853	0.044934	0.0365503	0.0323715	0.0345014
a38	0.0468741	0.0550411	0.0999319	0.115361	0.0888971	0.0934171	0.0836416	0.0861117	0.0719319	0.0667252	0.0621131	0.0602842	0.0696699
a76	0.0420879	0.0494169	0.0788	0.11338	0.096516	0.0997652	0.0894504	0.094482	0.0804266	0.0676874	0.0561391	0.058129	0.0737193
a41	0.0580823	0.0559385	0.075081	0.119808	0.0997507	0.106302	0.086611	0.0892122	0.086105	0.0718328	0.0553821	0.0466277	0.0492669
a12	0.0545917	0.0453633	0.0726456	0.0982956	0.0819326	0.0865557	0.0788473	0.0853382	0.0981402	0.103554	0.0856176	0.0598106	0.0493074
a62	0.0439472	0.0347088	0.0549672	0.0722429	0.0655269	0.0703106	0.0757684	0.0851139	0.0997985	0.11429	0.110674	0.0914808	0.0811705
a88	0.024222	0.0229343	0.0503898	0.068677	0.0631801	0.0692208	0.0724223	0.0796387	0.0907325	0.109013	0.119667	0.119167	0.110735
a70	0.0281333	0.0252612	0.0499211	0.058648	0.0537256	0.0631777	0.0725012	0.0898445	0.0995723	0.120189	0.123854	0.113884	0.101289
a90	0.0303763	0.0262071	0.0425429	0.0490384	0.0448607	0.0540253	0.0618218	0.0838245	0.102673	0.13259	0.139039	0.126376	0.106625
a76	0.0297848	0.0238965	0.0357175	0.0382918	0.0366969	0.0416404	0.0528682	0.0770644	0.104117	0.139958	0.14543	0.137579	0.136955
a69	0.016019	0.0152492	0.0280746	0.0232878	0.022239	0.0223421	0.028615	0.0475933	0.0824022	0.132219	0.163008	0.192476	0.226475
a58	0.0187668	0.0164184	0.0278157	0.0261608	0.0268883	0.0286733	0.034253	0.0567826	0.098381	0.151964	0.174289	0.170248	0.169359
a84	0.0121714	0.011899	0.0165804	0.02003	0.0214675	0.0220151	0.0235479	0.0364153	0.0746283	0.137875	0.183824	0.204132	0.235414
a87	0.00595972	0.00792628	0.0105035	0.00832384	0.00791164	0.00818695	0.00993458	0.0162877	0.0372057	0.0825209	0.14791	0.249211	0.408117
a40	0.00552783	0.00505429	0.0138627	0.0125901	0.0140159	0.0128064	0.015848	0.0258655	0.0531502	0.0985268	0.153679	0.238127	0.350946
a73	0.0179514	0.00686678	0.00551584	0.00711808	0.00986821	0.0102211	0.011482	0.0173552	0.0393986	0.0732434	0.116775	0.221978	0.462227
a32	0.0081669	0.0064714	0.0082846	0.00767159	0.00911618	0.0090641	0.0126893	0.0234878	0.0462371	0.0897742	0.153447	0.265056	0.360534
a90	0.00485182	0.00442526	0.00601647	0.00432398	0.0046469	0.0044991	0.0056862	0.0109602	0.0269196	0.0696398	0.144206	0.284277	0.429548
a32	0.00692613	0.00738951	0.0104768	0.00790332	0.00779372	0.00748605	0.00815941	0.0134497	0.0306477	0.0692162	0.134061	0.267835	0.428656
a90	0.00361888	0.00430455	0.00750906	0.00539446	0.0057892	0.00571414	0.00604321	0.00921127	0.0207568	0.0532132	0.118014	0.268166	0.492266
a82	0.00572777	0.00905818	0.0149811	0.0117151	0.011624	0.0108668	0.0107383	0.0144117	0.0275447	0.0611524	0.116675	0.246628	0.458877
a10	0.00111186	0.00163455	0.00337703	0.00294397	0.00385344	0.00391097	0.0049223	0.00789149	0.0184923	0.0463917	0.105304	0.250299	0.549868
a53	0.000707995	0.000861811	0.00121364	0.00126848	0.00200414	0.00208854	0.0024794	0.00347203	0.00888889	0.0275121	0.0813177	0.240034	0.628152
a4	0.000916122	0.000816318	0.00158961	0.00205961	0.00292668	0.00298429	0.00301185	0.00414045	0.0102296	0.0301941	0.0874415	0.25527	0.59842
a13	0.000509364	0.000436356	0.00107867	0.00151521	0.00277216	0.00293146	0.00300168	0.00371169	0.00771404	0.0218062	0.0693321	0.244152	0.641039
a82	0.00191343	0.00123428	0.00210962	0.0034685	0.00634255	0.00659615	0.00604279	0.00715571	0.0136689	0.0314987	0.08412	0.239864	0.595986
a87	0.00768076	0.0046384	0.00493038	0.0066756	0.00872651	0.00826182	0.00745031	0.00929893	0.0203288	0.0449502	0.109712	0.233203	0.534144
</S>	0.0157056	0.0136679	0.014888	0.012564	0.0122099	0.0107869	0.0122182	0.0164639	0.0379139	0.0745294	0.129899	0.22773	0.421423
