 	c'	est	donc	cet	imbécile	qui	l'	a	pris	en	mariage	</S>
a87	0.107093	0.114214	0.116315	0.122	0.192319	0.118323	0.10199	0.059584	0.0344954	0.016979	0.0102357	0.00645133
a23	0.0875331	0.0814544	0.132848	0.121169	0.177668	0.182445	0.0975628	0.0435546	0.0251553	0.0175231	0.0175798	0.0155075
a93	0.0792767	0.085235	0.144383	0.123749	0.153914	0.146535	0.0963662	0.055737	0.0413954	0.0267644	0.0218573	0.0247866
a90	0.135252	0.15278	0.174972	0.14042	0.183873	0.103537	0.0586762	0.023309	0.0125173	0.00687576	0.00409002	0.00369657
a44	0.233206	0.215699	0.159658	0.100818	0.0914313	0.0508356	0.0437644	0.0328871	0.0287171	0.0178297	0.0126653	0.0124878
a96	0.171915	0.184769	0.153898	0.092875	0.0711446	0.053307	0.0566498	0.0545885	0.0556707	0.0386302	0.0328145	0.0337382
a62	0.129947	0.154458	0.134213	0.0917242	0.0682862	0.0531802	0.0597759	0.0635008	0.0740288	0.0634035	0.056576	0.0509068
a21	0.105243	0.135373	0.148532	0.108316	0.0839491	0.0661796	0.0684037	0.063771	0.0661822	0.0581698	0.0503201	0.0455597
a75	0.123471	0.144632	0.14515	0.115255	0.094503	0.0791558	0.078271	0.0652233	0.05545	0.0391225	0.0314504	0.0283162
a90	0.0771836	0.104933	0.1201	0.108269	0.0916383	0.0792171	0.0816014	0.072915	0.0687617	0.0671279	0.0656872	0.0625655
a9	0.0519987	0.0720021	0.0930021	0.0974529	0.0848946	0.0835888	0.0896297	0.084322	0.0822382	0.0856835	0.0870081	0.0881795
a53	0.0215998	0.0296067	0.0650219	0.0681864	0.0700206	0.110941	0.121546	0.117966	0.109208	0.0813486	0.0829915	0.121563
a93	0.0432151	0.0407806	0.0464306	0.0529974	0.0653607	0.0719765	0.0919079	0.0979563	0.107306	0.121648	0.1292	0.131221
a4	0.0362937	0.0326982	0.0335576	0.0399974	0.0470293	0.0625675	0.0820604	0.0932261	0.110013	0.134354	0.164083	0.164119
a90	0.025994	0.0221223	0.0231972	0.0262513	0.0309515	0.0467275	0.0656454	0.0833081	0.109555	0.145226	0.197402	0.22362
a98	0.0180996	0.0162738	0.0191133	0.0221466	0.0245664	0.0396115	0.055029	0.0721312	0.0980421	0.143667	0.204817	0.286502
a92	0.0165945	0.0149751	0.0201454	0.0223396	0.0238745	0.0373156	0.0467284	0.0606657	0.0846455	0.134609	0.184789	0.353317
a21	0.0194891	0.0160139	0.0202534	0.0219665	0.019556	0.0242222	0.029062	0.0390153	0.0613556	0.121197	0.203213	0.424656
a18	0.0244685	0.0217524	0.0259676	0.0263035	0.0261677	0.0320767	0.0397105	0.0522383	0.0779069	0.122479	0.189752	0.361177
a75	0.00312147	0.00226475	0.0039612	0.00361435	0.00415973	0.00675857	0.00819506	0.0134839	0.0317371	0.0925906	0.22848	0.601633
a85	0.0138489	0.00899022	0.0124717	0.0123857	0.0111745	0.0144767	0.0164618	0.0235424	0.0450173	0.105287	0.20253	0.533813
a47	0.00802878	0.00581479	0.0101552	0.0111716	0.0111841	0.0168561	0.0172587	0.0238657	0.0431154	0.100234	0.216242	0.536073
a7	0.00831359	0.00530109	0.00780926	0.00760737	0.0106519	0.0146663	0.0143094	0.020272	0.0405681	0.11402	0.236586	0.519895
a98	0.0139322	0.0100077	0.0190025	0.0155322	0.0295875	0.0365114	0.0244766	0.0242531	0.0370261	0.0895736	0.179181	0.520916
a47	0.0102109	0.00672428	0.0140087	0.0119581	0.0204668	0.0318923	0.023187	0.0230216	0.0388263	0.099293	0.217333	0.503079
a41	0.0109674	0.00678527	0.010331	0.00886414	0.0145459	0.022427	0.01779	0.0202159	0.0405114	0.115547	0.208001	0.524014
a62	0.00460207	0.0029812	0.00566004	0.00499191	0.00647907	0.0082635	0.00677097	0.00847966	0.0201439	0.0868376	0.251384	0.593406
a88	0.00261111	0.00173902	0.00263007	0.00242905	0.00374088	0.00490416	0.00420537	0.00578822	0.013121	0.0493105	0.222314	0.687207
a9	0.00234773	0.00142044	0.00218601	0.00220693	0.00397792	0.00518783	0.00418829	0.00576499	0.0134748	0.0520961	0.228296	0.678853
a87	0.0150882	0.0103329	0.0152153	0.0129188	0.0187276	0.024112	0.0170069	0.0187579	0.0313435	0.0834015	0.195198	0.557898
a23	0.0697425	0.0462907	0.0715793	0.053709	0.0757636	0.110782	0.103002	0.103277	0.0890218	0.0878574	0.0863347	0.102639
a87	0.0342885	0.0179004	0.0240107	0.0235913	0.0341413	0.0517569	0.0597399	0.0745878	0.082152	0.118858	0.180277	0.298696
</S>	0.00999704	0.00635554	0.0153357	0.0167937	0.0252996	0.0501052	0.0560446	0.0686562	0.0711498	0.106572	0.173604	0.400087
