 	le	lézard	à	gueule	rouge	vit	dans	la	plaine	</S>
a66	0.218775	0.0973988	0.0514438	0.0799147	0.109615	0.142781	0.125577	0.0779449	0.0526915	0.0438594
a87	0.528679	0.20754	0.0705902	0.0497577	0.0330426	0.0294081	0.0267304	0.0189779	0.0158913	0.0193824
a23	0.486354	0.264977	0.109	0.0836639	0.0265551	0.00917745	0.00619906	0.00338732	0.0040249	0.00666171
a99	0.504377	0.230026	0.0900767	0.0944065	0.0324373	0.0135713	0.0108017	0.00709906	0.00683577	0.0103678
a18	0.507194	0.160709	0.0792221	0.0909776	0.0459208	0.0216464	0.0182537	0.0154129	0.020814	0.0398496
a99	0.248533	0.145503	0.104988	0.0970092	0.0740819	0.0389255	0.0344704	0.045851	0.0802275	0.13041
a94	0.137652	0.116447	0.116394	0.105119	0.0978849	0.0608521	0.0505168	0.0627799	0.0996775	0.152677
a13	0.100304	0.104791	0.135941	0.140986	0.122501	0.0797551	0.0572758	0.0553097	0.0780381	0.125097
a83	0.0631422	0.0741358	0.120658	0.155275	0.12675	0.0843632	0.0618963	0.0608028	0.0926411	0.160336
a0	0.0594414	0.0741382	0.130053	0.167386	0.120511	0.0781896	0.0638096	0.061821	0.0946451	0.150006
a90	0.0397551	0.0458532	0.092289	0.143841	0.112106	0.0916861	0.0809714	0.078728	0.121557	0.193213
a69	0.0534637	0.0680577	0.122474	0.152627	0.127246	0.100915	0.0929348	0.0696007	0.0932088	0.119472
a70	0.0276238	0.0285186	0.053119	0.0792862	0.0752285	0.0945453	0.115668	0.126737	0.19274	0.206535
a44	0.010153	0.0108078	0.0245725	0.0555531	0.0511862	0.0643682	0.0903092	0.118543	0.248184	0.326323
a99	0.00760455	0.00758324	0.0164687	0.0414444	0.0437272	0.0605567	0.0914546	0.123663	0.245255	0.362243
a13	0.00462795	0.00457772	0.00940463	0.0193098	0.0255337	0.0388726	0.0683462	0.121445	0.267122	0.44076
a58	0.0018973	0.00149111	0.00264329	0.00485892	0.00682015	0.0146147	0.0362589	0.100786	0.291321	0.539308
a57	0.000922298	0.000717831	0.00103313	0.00162234	0.00263536	0.00722939	0.0232005	0.103072	0.331782	0.527785
a82	0.0114813	0.00498514	0.00373808	0.00445727	0.00476421	0.00999771	0.019688	0.0720046	0.296747	0.572136
a3	0.13061	0.0562717	0.0267767	0.0294451	0.0243911	0.0323034	0.0398469	0.0809331	0.190482	0.38894
a87	0.205349	0.113311	0.065279	0.0705434	0.0555275	0.0557138	0.0518541	0.0722999	0.114725	0.195398
a97	0.153129	0.105978	0.0745655	0.100405	0.0864765	0.0784461	0.0655201	0.074199	0.101213	0.160068
a87	0.129259	0.107376	0.0795004	0.135622	0.121803	0.0942286	0.0716834	0.0669745	0.0770429	0.116511
a23	0.157267	0.134274	0.0969639	0.0921834	0.0908567	0.0905228	0.074909	0.0793017	0.0805392	0.103182
a87	0.283087	0.172511	0.075657	0.0379261	0.0375299	0.051994	0.0553716	0.077323	0.0872564	0.121344
a23	0.266812	0.135187	0.0577812	0.0407032	0.0460268	0.0587289	0.0626054	0.0922041	0.106273	0.133679
a87	0.300181	0.15887	0.0673461	0.0422447	0.0464509	0.0576954	0.0575205	0.0800854	0.0862596	0.103346
a23	0.26283	0.139752	0.0575472	0.036089	0.0406955	0.0577348	0.0637029	0.0985555	0.111002	0.13209
a87	0.266635	0.132682	0.0562856	0.0429827	0.0509607	0.0741353	0.0736857	0.100512	0.094028	0.108092
a23	0.232153	0.123354	0.0535817	0.0406724	0.0476217	0.0785721	0.0810182	0.12109	0.108592	0.113346
a87	0.206702	0.110981	0.0510674	0.0377747	0.0466053	0.0848896	0.0873397	0.129329	0.11801	0.127302
a97	0.23346	0.100862	0.0405959	0.0332404	0.0411553	0.0751483	0.0786014	0.121369	0.123601	0.151967
</S>	0.245096	0.0803527	0.0370611	0.0413781	0.0502662	0.0732035	0.073835	0.106808	0.123064	0.168936
