 	il	a	beaucoup	d'	amour	pour	sa	mère	</S>
a23	0.275353	0.196741	0.13313	0.0913756	0.0717873	0.0621782	0.0612473	0.0604193	0.0477691
a53	0.226387	0.153012	0.123672	0.0842392	0.0752256	0.0659351	0.0802639	0.102219	0.0890453
a20	0.189531	0.177628	0.156429	0.129031	0.114576	0.0744778	0.0559975	0.0558186	0.046511
a35	0.307867	0.2644	0.172829	0.101327	0.0756757	0.0367038	0.0194384	0.0135123	0.00824627
a26	0.300887	0.255546	0.176386	0.112087	0.0809629	0.0351807	0.0175916	0.0124437	0.00891532
a35	0.238292	0.209817	0.178383	0.149447	0.104638	0.0494897	0.0277287	0.0226363	0.0195686
a30	0.235974	0.20054	0.179983	0.155242	0.113746	0.0542231	0.0253657	0.0184688	0.0164581
a73	0.196898	0.161187	0.153744	0.1621	0.14228	0.0916296	0.0433422	0.0261092	0.0227096
a57	0.182502	0.157785	0.158005	0.172162	0.143373	0.0880821	0.0415392	0.0296111	0.0269409
a76	0.0856432	0.0821727	0.103017	0.13918	0.157114	0.135909	0.102225	0.100355	0.0943835
a94	0.125507	0.122468	0.133881	0.169918	0.167501	0.124857	0.0710576	0.0448958	0.039914
a11	0.131692	0.111619	0.106508	0.125082	0.142595	0.141164	0.109348	0.0726424	0.0593492
a54	0.0505789	0.0500733	0.0545341	0.0834538	0.123617	0.164842	0.179732	0.157651	0.135518
a30	0.0512074	0.0507231	0.0541274	0.0826599	0.122078	0.164637	0.171938	0.154941	0.147689
a35	0.0157283	0.01784	0.0237068	0.04237	0.0808216	0.146746	0.212309	0.234378	0.226101
a66	0.0110692	0.0122068	0.0141471	0.022893	0.0414288	0.096148	0.205471	0.309285	0.287351
a53	0.0113319	0.0116476	0.0149445	0.0269072	0.0568565	0.103484	0.17204	0.278368	0.32442
a76	0.00827683	0.00630682	0.00651162	0.0110995	0.0288318	0.0808884	0.183852	0.312293	0.361941
a90	0.004643	0.00394966	0.00439487	0.00769968	0.0182478	0.0575056	0.172522	0.358965	0.372073
a35	0.00506778	0.00431247	0.00480965	0.00734692	0.0136391	0.0383823	0.131668	0.352156	0.442617
a66	0.00269963	0.00184858	0.00226338	0.00425085	0.00990264	0.0329301	0.155349	0.39534	0.395416
a24	0.00235994	0.00165054	0.00188337	0.00338803	0.00793168	0.0261177	0.11887	0.333932	0.503867
a26	0.00128253	0.000842817	0.000942856	0.00172447	0.00462639	0.0166718	0.0963006	0.330183	0.547425
a24	0.00238243	0.00166079	0.00172237	0.0029567	0.00726911	0.023364	0.109825	0.314412	0.536407
a9	0.00171638	0.00121264	0.00126676	0.00209939	0.00491215	0.016428	0.0861977	0.307724	0.578443
a87	0.00538032	0.0038092	0.0033085	0.00467187	0.00852211	0.0244645	0.096568	0.288126	0.56515
a23	0.0030725	0.00199857	0.00195355	0.00294854	0.0047158	0.0179689	0.0973418	0.316861	0.553139
a10	0.0176931	0.014362	0.0149702	0.0204285	0.0279893	0.0692092	0.181668	0.293652	0.360027
a87	0.0177322	0.0142238	0.0147935	0.0216238	0.0324725	0.0765505	0.170542	0.277766	0.374296
a23	0.0385447	0.0349964	0.0333024	0.0392386	0.0547591	0.0945477	0.166663	0.254522	0.283426
a87	0.0394836	0.0456336	0.0499166	0.0592702	0.0661612	0.104283	0.169116	0.228669	0.237467
</S>	0.0488895	0.0436785	0.042138	0.0466685	0.0599339	0.0969129	0.165826	0.252596	0.243357
