 	l'	insecte	ekwéréé	a	tué	un	petit	silure	</S>
a66	0.429443	0.173528	0.154296	0.0550076	0.0421053	0.0547976	0.0470438	0.0308199	0.0129587
a87	0.438595	0.218621	0.122119	0.0435086	0.0242894	0.03846	0.0410044	0.0347002	0.0387017
a79	0.194093	0.167426	0.274925	0.164526	0.0681192	0.0554652	0.0345747	0.0228107	0.0180606
a5	0.265136	0.207267	0.213437	0.0765219	0.0456076	0.0495837	0.0525907	0.0568997	0.0329559
a37	0.285962	0.25529	0.295338	0.0794431	0.0319289	0.0206065	0.0147408	0.00952785	0.00716334
a26	0.19839	0.232985	0.280076	0.159578	0.0519042	0.0320213	0.0208562	0.01353	0.0106588
a98	0.124808	0.155007	0.192468	0.221736	0.12751	0.0861311	0.0475692	0.0273577	0.0174131
a5	0.199913	0.22291	0.230726	0.149547	0.0820145	0.0514882	0.0314662	0.0171102	0.0148255
a12	0.139304	0.164081	0.173729	0.202553	0.129983	0.0929674	0.0512138	0.0270811	0.0190884
a93	0.0795679	0.083754	0.100382	0.207108	0.199875	0.160028	0.0943416	0.0481578	0.0267852
a34	0.0800977	0.086445	0.099025	0.171608	0.197036	0.158473	0.106781	0.0621875	0.0383469
a98	0.0227189	0.0325704	0.0489967	0.136662	0.205787	0.19588	0.165458	0.120986	0.07094
a85	0.00884958	0.0236606	0.043565	0.110184	0.168276	0.192647	0.191182	0.159441	0.102194
a92	0.00694532	0.0139329	0.026908	0.086445	0.154908	0.163162	0.172958	0.203076	0.171665
a79	0.00417306	0.00726928	0.0153976	0.0484641	0.117498	0.141267	0.1634	0.245799	0.256732
a44	0.00195193	0.00376651	0.00928658	0.0326226	0.0772043	0.113298	0.147196	0.274334	0.340341
a58	0.000822695	0.00144376	0.00324557	0.0112007	0.0307749	0.0542956	0.106202	0.297672	0.494342
a82	0.000661603	0.000675908	0.00101622	0.00506967	0.0216716	0.0555564	0.118085	0.268159	0.529105
a87	0.0247955	0.020924	0.027261	0.0503445	0.0879557	0.132005	0.157385	0.219602	0.279727
a23	0.241767	0.162272	0.159662	0.100608	0.0707499	0.0702825	0.0641898	0.0640328	0.066436
a99	0.0935409	0.0658643	0.0706256	0.037984	0.0314886	0.038983	0.0705778	0.163781	0.427155
a97	0.0420931	0.0353532	0.0337351	0.0270761	0.0273381	0.036447	0.0682019	0.199804	0.529951
</S>	0.0263831	0.0279367	0.0268261	0.0202298	0.0255021	0.0490609	0.0974627	0.221191	0.505407
