 	sa	blessure	n'	est	pas	guérie	</S>
a23	0.362078	0.155039	0.14658	0.115491	0.0865536	0.072857	0.0614013
a87	0.296611	0.198582	0.1731	0.12623	0.0844897	0.0645982	0.0563894
a23	0.163379	0.174124	0.176623	0.141752	0.12186	0.11032	0.111941
a79	0.433032	0.228643	0.116125	0.0696688	0.0518563	0.0483676	0.052308
a69	0.550257	0.203605	0.0997104	0.0532416	0.0292309	0.0318181	0.0321376
a20	0.442468	0.202259	0.132698	0.101256	0.0487133	0.0395766	0.0330283
a69	0.298469	0.224441	0.171571	0.130489	0.0701157	0.0571669	0.0477477
a20	0.23426	0.197932	0.141975	0.117486	0.0852428	0.110279	0.112826
a73	0.295239	0.23991	0.172379	0.116153	0.0642188	0.0546308	0.0574693
a84	0.258288	0.255993	0.202823	0.129103	0.0624154	0.0468796	0.0444977
a57	0.143227	0.254351	0.220484	0.149197	0.0873004	0.0792062	0.0662335
a38	0.141631	0.213094	0.17661	0.125315	0.0872495	0.108495	0.147605
a56	0.149156	0.252795	0.204156	0.14176	0.0833286	0.0848855	0.0839196
a32	0.169249	0.199083	0.148779	0.126768	0.108069	0.11823	0.129823
a90	0.119116	0.162251	0.137131	0.13948	0.136734	0.149235	0.156053
a94	0.1203	0.187468	0.157374	0.132737	0.121227	0.136595	0.1443
a32	0.0843756	0.117723	0.120664	0.120975	0.151011	0.193182	0.21207
a24	0.0573444	0.0913284	0.0911165	0.0951986	0.149528	0.240639	0.274845
a41	0.0438959	0.058393	0.0579945	0.0690127	0.140936	0.269987	0.359781
a27	0.0210177	0.0354527	0.0387657	0.0592054	0.146006	0.305486	0.394066
a54	0.0245077	0.049692	0.0457872	0.0528495	0.122168	0.255308	0.449688
a73	0.0318666	0.0500859	0.0372358	0.0489543	0.138021	0.25905	0.434786
a84	0.0242608	0.0342308	0.0306803	0.0432227	0.124675	0.294746	0.448184
a57	0.0236431	0.0420047	0.0388001	0.0476131	0.107699	0.222442	0.517797
a87	0.020538	0.0260649	0.0268602	0.0393306	0.11379	0.200649	0.572768
</S>	0.0170603	0.020648	0.0271039	0.0604856	0.173658	0.23857	0.462474
