 	le	guérisseur	est	en	train	de	masser	le	malade	</S>
a83	0.213175	0.106605	0.0747232	0.0682246	0.0679132	0.0638489	0.0645882	0.0962459	0.126945	0.117731
a66	0.396832	0.142858	0.0524642	0.0316861	0.0321829	0.0298448	0.0300031	0.0730442	0.106138	0.104948
a75	0.550414	0.156866	0.0783303	0.0434291	0.0302371	0.0247773	0.0142614	0.019092	0.0313378	0.0512543
a92	0.413948	0.190021	0.129066	0.0654404	0.0365615	0.0313745	0.0237384	0.0264886	0.0360147	0.0473472
a75	0.231711	0.151981	0.157187	0.110764	0.0712733	0.06405	0.0514815	0.0486102	0.0531086	0.0598338
a79	0.164608	0.144304	0.160331	0.121825	0.0849288	0.0793964	0.0679544	0.0607867	0.0576775	0.0581881
a56	0.0868054	0.10445	0.145286	0.139556	0.109001	0.105864	0.0945272	0.0804248	0.0666661	0.0674199
a92	0.0456687	0.0577574	0.0954226	0.120606	0.122366	0.133427	0.131948	0.109707	0.088841	0.0942567
a98	0.0315018	0.0445095	0.0759476	0.106769	0.125536	0.138683	0.147618	0.126918	0.100114	0.102403
a15	0.0220679	0.0353705	0.0596388	0.0940811	0.12379	0.135703	0.150134	0.149069	0.122482	0.107665
a7	0.0073933	0.00924502	0.0137699	0.0314559	0.0729483	0.0983701	0.161464	0.194049	0.204869	0.206435
a90	0.00109911	0.00123758	0.00160533	0.00408943	0.0154577	0.0288633	0.10802	0.174216	0.287892	0.37752
a69	0.00614006	0.00707948	0.00848781	0.0180695	0.0517274	0.0764735	0.176339	0.199119	0.216455	0.24011
a53	0.00314872	0.00321017	0.00379078	0.00812448	0.0262363	0.0461778	0.144237	0.201272	0.272341	0.291462
a44	0.00630394	0.00619739	0.00636573	0.0108659	0.0275319	0.0413493	0.12757	0.185787	0.276714	0.311315
a70	0.00336533	0.00347313	0.00354703	0.00633718	0.0167336	0.0251933	0.0906977	0.156463	0.29173	0.40246
a13	0.00208209	0.00193385	0.00178773	0.00301133	0.00920015	0.0136911	0.0650244	0.176791	0.340582	0.385897
a9	0.00509456	0.00396175	0.00386294	0.00660814	0.0172001	0.0236738	0.0824015	0.201107	0.326267	0.329824
a99	0.0293478	0.0204493	0.013266	0.0170608	0.0266261	0.0360287	0.109587	0.241184	0.281868	0.224583
a87	0.0344255	0.0304607	0.0225932	0.0243697	0.0319557	0.0384911	0.0836722	0.191003	0.279032	0.263997
a23	0.0475182	0.0474017	0.0363973	0.0388652	0.0473944	0.0503534	0.0964864	0.175713	0.225094	0.234776
a87	0.0364606	0.0404257	0.0333348	0.0341695	0.0418577	0.0508893	0.10001	0.156196	0.225247	0.281409
a23	0.0137347	0.0177705	0.0149744	0.0162353	0.0238742	0.0350752	0.0903041	0.165921	0.273228	0.348883
a87	0.050361	0.056387	0.0442044	0.0421062	0.0465442	0.0557511	0.0947644	0.140284	0.203435	0.266163
</S>	0.0710318	0.0637124	0.0392486	0.0392347	0.0519326	0.060042	0.0812132	0.136506	0.20562	0.251459
