 	il	faut	que	tu	viennes	me	voir	demain	</S>
a66	0.226199	0.219579	0.219735	0.140459	0.100799	0.0392955	0.0256583	0.016151	0.0121242
a87	0.281566	0.267367	0.173594	0.109819	0.0739517	0.0330561	0.0230446	0.01948	0.0181216
a23	0.370259	0.300759	0.175299	0.0840003	0.0257623	0.010279	0.00818812	0.00972673	0.0157254
a79	0.335151	0.284269	0.173552	0.0964509	0.0331535	0.014854	0.0134864	0.0190624	0.0300206
a58	0.338088	0.211249	0.129245	0.0998925	0.075601	0.0396562	0.0259498	0.0323104	0.048008
a54	0.229982	0.1724	0.138519	0.136496	0.117191	0.0764008	0.0503648	0.0414243	0.0372229
a15	0.175669	0.131656	0.118008	0.15456	0.179867	0.112691	0.0617405	0.0379863	0.0278218
a79	0.107203	0.0814168	0.0844606	0.139981	0.200926	0.172159	0.113869	0.0591693	0.0408161
a15	0.116045	0.0859877	0.101216	0.176224	0.198788	0.140808	0.0867227	0.0494804	0.0447282
a92	0.0940016	0.0798971	0.105154	0.17634	0.202239	0.142545	0.0899979	0.0550123	0.0548125
a98	0.123069	0.0999243	0.118634	0.180286	0.188226	0.11642	0.0729232	0.048481	0.0520355
a79	0.0633174	0.066406	0.103681	0.160949	0.201328	0.151126	0.108163	0.0730081	0.0720213
a36	0.0583609	0.0617097	0.100969	0.14841	0.183245	0.143533	0.120779	0.089623	0.0933706
a85	0.0486859	0.0414135	0.0670649	0.0953742	0.13305	0.142313	0.151205	0.146707	0.174187
a37	0.0271385	0.0231604	0.0387422	0.056103	0.0970286	0.118458	0.159409	0.189123	0.290837
a96	0.033941	0.0262521	0.0345504	0.0421165	0.0664463	0.100408	0.161027	0.21023	0.325029
a18	0.018741	0.0156329	0.0201757	0.0232087	0.0334618	0.0608822	0.136131	0.232513	0.459253
a62	0.00923328	0.0065094	0.00756518	0.0101677	0.017055	0.0294587	0.0791898	0.215735	0.625086
a47	0.0104784	0.007975	0.00906771	0.0135059	0.0263619	0.0449136	0.103477	0.238355	0.545866
a88	0.0117216	0.0081261	0.00888851	0.012582	0.0232834	0.0395953	0.0950085	0.222685	0.578109
a71	0.0046809	0.00344881	0.00402137	0.00577127	0.0120176	0.0246602	0.0710303	0.232583	0.641787
a9	0.0135272	0.0096464	0.0120813	0.0200054	0.0439268	0.0571314	0.0940758	0.2142	0.535406
a10	0.0700824	0.0536984	0.0621301	0.0786423	0.116618	0.0992513	0.116301	0.142215	0.261062
a87	0.154894	0.118789	0.111649	0.087103	0.0760975	0.0591358	0.0730566	0.114225	0.205049
a23	0.190148	0.163428	0.161533	0.128298	0.0957823	0.0651699	0.0557321	0.0597583	0.0801505
a87	0.199993	0.133246	0.0985256	0.07151	0.0616586	0.0521345	0.0515734	0.0907109	0.240648
a97	0.0568507	0.0340501	0.0288586	0.025816	0.0277388	0.039113	0.0583187	0.150934	0.57832
</S>	0.0753413	0.0546943	0.0601629	0.0640848	0.0692653	0.0722078	0.0814053	0.142208	0.38063
