 	ce	blanc	a	de	longs	cheveux	</S>
a87	0.253658	0.173322	0.247796	0.171305	0.0836799	0.0361545	0.0340854
a10	0.220264	0.0995126	0.0677151	0.126109	0.204982	0.14308	0.138337
a87	0.313776	0.177221	0.144403	0.111815	0.0828818	0.0757155	0.0941877
a79	0.404802	0.229683	0.147218	0.0742778	0.0487288	0.043651	0.0516396
a5	0.35834	0.189602	0.09631	0.0346444	0.0466892	0.0908107	0.183603
a44	0.496004	0.22385	0.134487	0.065636	0.0310238	0.0260938	0.0229055
a98	0.34526	0.264576	0.253663	0.0675649	0.030266	0.0209657	0.0177051
a47	0.228013	0.205849	0.273253	0.139917	0.0821434	0.0356247	0.0351999
a85	0.225575	0.196138	0.220258	0.131016	0.0850986	0.0650516	0.0768623
a37	0.192756	0.192072	0.247216	0.180572	0.0818458	0.0509344	0.0546047
a61	0.23352	0.201001	0.231524	0.167358	0.071046	0.0436863	0.0518644
a31	0.155717	0.155372	0.204164	0.235528	0.112461	0.0660418	0.070716
a24	0.149938	0.139099	0.166472	0.231405	0.135766	0.0862371	0.0910816
a21	0.0855331	0.0797442	0.102921	0.190964	0.216233	0.158178	0.166427
a12	0.179889	0.135146	0.100428	0.103872	0.193516	0.150279	0.136869
a31	0.11333	0.0776042	0.0556516	0.0591801	0.175291	0.246841	0.272101
a0	0.0501451	0.037813	0.0345472	0.0578115	0.209532	0.332878	0.277273
a62	0.0189312	0.0151344	0.0187969	0.0360756	0.16192	0.406092	0.34305
a21	0.0170639	0.0136239	0.0159182	0.0305415	0.13253	0.404684	0.385638
a47	0.0102292	0.00822998	0.00774583	0.0164724	0.0869186	0.380764	0.48964
a61	0.00528547	0.00510079	0.00666639	0.0164903	0.0893759	0.393327	0.483755
a75	0.00124299	0.00131053	0.0022509	0.00910377	0.0752921	0.40625	0.504549
a85	0.00431736	0.00306279	0.00371337	0.0125593	0.0882199	0.374861	0.513267
a61	0.00205057	0.00151393	0.00210716	0.0088542	0.051157	0.299823	0.634494
a66	0.00119206	0.000934007	0.00126336	0.00650488	0.0671847	0.372145	0.550776
a75	0.000756501	0.000565264	0.000937518	0.00574904	0.070173	0.319947	0.601871
a47	0.00124742	0.000779235	0.000993891	0.00505973	0.0431637	0.314017	0.634739
a36	0.000575174	0.000397855	0.000511887	0.00332884	0.0472698	0.365369	0.582548
a2	0.00151827	0.00109111	0.00166301	0.0140971	0.132497	0.295342	0.553791
a57	0.0166736	0.00660761	0.00351694	0.0107116	0.0955089	0.248774	0.618208
a87	0.0820089	0.0542467	0.0308274	0.0400042	0.121971	0.204458	0.466483
a23	0.182506	0.113115	0.0587071	0.0628483	0.157567	0.187822	0.237435
a87	0.129361	0.0719654	0.0358857	0.0331456	0.0898956	0.243937	0.395809
a97	0.00744966	0.00502249	0.00342693	0.0127151	0.0771231	0.288961	0.605302
</S>	0.0197754	0.0105215	0.00846016	0.0233317	0.103809	0.286669	0.547434
