 	laisse	moi	tranquille	</S>
a23	0.232605	0.245636	0.451723	0.0700357
a87	0.334804	0.313089	0.279683	0.0724233
a23	0.381626	0.317572	0.251476	0.0493257
a10	0.316213	0.272986	0.348341	0.0624608
a87	0.259399	0.212692	0.358984	0.168925
a23	0.255296	0.246081	0.401301	0.0973209
a30	0.1845	0.184415	0.490171	0.140914
a70	0.260117	0.196508	0.440296	0.103079
a35	0.275183	0.22647	0.375071	0.123275
a30	0.346364	0.272879	0.258432	0.122324
a35	0.33597	0.273001	0.245222	0.145808
a75	0.238651	0.234454	0.315811	0.211084
a35	0.171273	0.191096	0.313483	0.324148
a57	0.117349	0.169192	0.295655	0.417805
a38	0.0260111	0.0541235	0.209962	0.709904
a26	0.0212732	0.0599039	0.256852	0.661971
a83	0.0261024	0.0691536	0.328019	0.576725
a9	0.0204725	0.047498	0.192171	0.739858
a87	0.027688	0.058472	0.137398	0.776442
</S>	0.0803833	0.092237	0.079869	0.747511
