 	rassemble	ces	feuilles	qui	sont	dispersées	là	</S>
a87	0.37268	0.151575	0.120429	0.0684013	0.0713992	0.065231	0.0695055	0.0807796
a23	0.484445	0.0860678	0.0460136	0.0315877	0.0380792	0.0437625	0.124423	0.145622
a83	0.222623	0.141411	0.085798	0.0548606	0.0567227	0.0486634	0.135967	0.253955
a90	0.367601	0.119819	0.0846652	0.0541696	0.0652456	0.0585921	0.117098	0.132809
a13	0.310384	0.163829	0.11903	0.0755832	0.0953737	0.0748611	0.0767886	0.0841509
a0	0.274127	0.183142	0.143434	0.0967712	0.0914543	0.0731138	0.0697795	0.0681787
a62	0.166633	0.162396	0.170829	0.151844	0.136358	0.0815042	0.0650075	0.0654287
a21	0.159908	0.180741	0.204608	0.173551	0.131337	0.0587727	0.0452014	0.0458815
a41	0.193588	0.21374	0.238194	0.165092	0.102298	0.0346049	0.0262786	0.0262048
a27	0.115057	0.159138	0.20801	0.186693	0.145987	0.0659763	0.0540278	0.0651107
a75	0.0674675	0.0913862	0.188393	0.296522	0.186812	0.0616086	0.0496603	0.0581513
a41	0.102801	0.118911	0.166274	0.175157	0.1393	0.0896047	0.0889476	0.119004
a11	0.0843522	0.0924844	0.121632	0.176393	0.182121	0.104467	0.103242	0.135308
a24	0.0763023	0.0707563	0.108977	0.224912	0.266964	0.115162	0.0663878	0.0705381
a62	0.0572509	0.0548447	0.0875864	0.188796	0.256475	0.149351	0.0929871	0.112709
a21	0.0729334	0.0684544	0.0941281	0.158337	0.232139	0.168747	0.105174	0.100087
a47	0.0785913	0.0682316	0.0817049	0.130798	0.202199	0.186923	0.129814	0.121739
a88	0.0544702	0.0455746	0.0599503	0.111588	0.181892	0.21736	0.175937	0.153228
a24	0.0175818	0.0165605	0.0240372	0.0618787	0.145765	0.251966	0.25562	0.226591
a31	0.0118805	0.0120141	0.0180671	0.0403182	0.0830961	0.196107	0.303523	0.334994
a61	0.0086875	0.00898884	0.0141451	0.0335663	0.0754209	0.187953	0.321298	0.349941
a70	0.00944931	0.00961388	0.0147707	0.0334697	0.0637191	0.166488	0.309841	0.392648
a93	0.00286217	0.00349232	0.00592392	0.0137189	0.0295034	0.105653	0.316937	0.521909
a13	0.00288082	0.00338954	0.00624478	0.0165326	0.0374637	0.119534	0.298634	0.515321
a53	0.00117787	0.00121799	0.0019826	0.00507822	0.0143879	0.0745562	0.335469	0.56613
a93	0.0014477	0.00143941	0.00269397	0.00770777	0.0159177	0.0483154	0.25009	0.672388
a62	0.00218501	0.00230932	0.00386868	0.00979915	0.0250972	0.0698211	0.277302	0.609617
a83	0.00184027	0.0019433	0.00303701	0.00855905	0.0230886	0.0747837	0.285415	0.601333
a9	0.00084598	0.000866171	0.00118709	0.00255939	0.00844563	0.0536056	0.312411	0.620079
a87	0.00236973	0.00156713	0.00163083	0.00383342	0.0113877	0.0512013	0.394301	0.533709
a23	0.135368	0.050678	0.034436	0.03271	0.0485126	0.0884806	0.259294	0.350521
a87	0.0217106	0.0101021	0.00776623	0.0095253	0.0233291	0.0632368	0.336946	0.527384
</S>	0.00538677	0.00291794	0.00319374	0.00552185	0.0150933	0.0322922	0.295757	0.639837
