 	la	tête	de	l'	abcès	est	partie	</S>
a10	0.286625	0.241464	0.161006	0.0965961	0.0715908	0.0510274	0.0541234	0.0375673
a87	0.233926	0.194252	0.138203	0.116695	0.0922013	0.0780956	0.0762417	0.0703851
a23	0.277245	0.194014	0.130775	0.110966	0.0869157	0.0719057	0.0710723	0.0571066
a24	0.257623	0.215393	0.174835	0.118486	0.0795571	0.0531759	0.0545517	0.0463787
a66	0.342053	0.271289	0.189275	0.0969728	0.0480204	0.0270114	0.0151684	0.01021
a90	0.208983	0.265601	0.2358	0.136291	0.0688454	0.0417008	0.0247758	0.0180024
a76	0.132538	0.15964	0.17652	0.154607	0.143125	0.106305	0.0720579	0.0552061
a35	0.219258	0.243695	0.211719	0.14279	0.0843657	0.0499395	0.0292304	0.0190023
a26	0.246274	0.214063	0.178652	0.136164	0.0989294	0.0629841	0.0394172	0.0235163
a24	0.1986	0.138288	0.131268	0.142384	0.147988	0.111237	0.0826242	0.0476109
a25	0.174904	0.137238	0.125791	0.12929	0.140003	0.117332	0.103077	0.0723652
a87	0.0390183	0.0303744	0.0460285	0.0887629	0.184761	0.225379	0.213009	0.172666
a79	0.0265451	0.0235024	0.033075	0.0607175	0.122372	0.200947	0.245915	0.286926
a26	0.0394807	0.0388203	0.0527824	0.0839142	0.142001	0.190223	0.229388	0.22339
a24	0.0328103	0.0267338	0.0339244	0.0555886	0.132091	0.19046	0.259814	0.268578
a41	0.0188334	0.0178376	0.0243398	0.04926	0.111011	0.179721	0.272873	0.326124
a14	0.00923052	0.00841711	0.011851	0.0324881	0.0984917	0.184106	0.302023	0.353393
a30	0.00930348	0.00979703	0.0129301	0.0307217	0.0957054	0.17935	0.30211	0.360082
a57	0.00774734	0.00803717	0.0115982	0.0278529	0.0921085	0.193731	0.293217	0.365707
a87	0.0233835	0.0198838	0.0216771	0.0308213	0.0630909	0.143977	0.252301	0.444865
a23	0.0534311	0.0323967	0.0339655	0.0610272	0.102787	0.175535	0.232089	0.308768
a87	0.0811945	0.0631697	0.0627399	0.0921785	0.128035	0.181418	0.202628	0.188637
a23	0.0648482	0.0533097	0.059304	0.111811	0.14647	0.167932	0.195512	0.200814
a24	0.0638489	0.055217	0.0628191	0.0998186	0.138543	0.185038	0.207853	0.186862
a26	0.0192454	0.0153504	0.0222669	0.0506827	0.110851	0.16938	0.25467	0.357554
a41	0.00447162	0.00557223	0.00832645	0.0201191	0.0659194	0.145767	0.287698	0.462126
a35	0.00207901	0.00207302	0.00369413	0.0113558	0.051996	0.136368	0.298247	0.494187
a66	0.00250798	0.0024372	0.00439011	0.0126175	0.0560124	0.136524	0.298204	0.487307
a54	0.00374417	0.0044818	0.00708877	0.0187766	0.0610032	0.151272	0.291488	0.462145
a30	0.00391159	0.00491754	0.00916078	0.0235327	0.0687708	0.146494	0.293402	0.44981
a57	0.0113949	0.0129051	0.0192499	0.037974	0.0779872	0.150291	0.273087	0.417111
a87	0.0929308	0.0695132	0.0652689	0.0776047	0.0784775	0.120115	0.19737	0.29872
a23	0.074971	0.0677733	0.064967	0.0826318	0.0957378	0.139963	0.209643	0.264313
a87	0.0786357	0.060113	0.0682556	0.106165	0.122093	0.158623	0.197779	0.208335
a23	0.0359682	0.0321926	0.0432684	0.0775691	0.102163	0.159606	0.249125	0.300107
a97	0.0843679	0.0742536	0.0820198	0.110756	0.107067	0.136947	0.191575	0.213014
</S>	0.0473595	0.0416909	0.0516396	0.0831275	0.101341	0.151442	0.220703	0.302697
