 	la	manière	dont	ils	ont	affronté	le	buffle	était	epouvantable	</S>
a66	0.057081	0.0379654	0.0418084	0.0579983	0.120047	0.242055	0.242004	0.147986	0.0418527	0.00677485	0.00442802
a87	0.284744	0.19683	0.156316	0.0996095	0.0635513	0.0770139	0.0647818	0.02828	0.0130178	0.00816789	0.00768765
a23	0.254261	0.174919	0.168057	0.102901	0.099027	0.0789945	0.0618328	0.0341157	0.0120129	0.00489222	0.00898597
a87	0.16661	0.204261	0.259476	0.120252	0.0928032	0.0633942	0.0561442	0.0238574	0.00568544	0.00258252	0.0049351
a23	0.164064	0.206351	0.287242	0.124561	0.0882448	0.0503705	0.0448801	0.0227932	0.00566122	0.00233119	0.00350176
a5	0.199569	0.223405	0.232912	0.0984059	0.0768717	0.0647646	0.0578891	0.0236296	0.00883794	0.00406936	0.00964522
a23	0.195172	0.169874	0.121207	0.06386	0.046748	0.0864058	0.143959	0.114868	0.0254134	0.0211239	0.0113687
a75	0.199992	0.22966	0.151004	0.0672585	0.0377505	0.0528403	0.0966606	0.118241	0.025628	0.0132653	0.00769962
a85	0.120255	0.15876	0.132895	0.0682989	0.0497441	0.0669054	0.119512	0.16964	0.0569879	0.036184	0.0208165
a5	0.0914626	0.132275	0.118699	0.0663314	0.0450236	0.0600165	0.119726	0.182747	0.0705207	0.0642526	0.0489449
a21	0.157966	0.168951	0.14445	0.0809637	0.0659727	0.0889982	0.122913	0.118028	0.0275774	0.0139525	0.0102275
a5	0.103543	0.120246	0.129146	0.0944686	0.0818057	0.100164	0.14195	0.160369	0.0367094	0.0170771	0.0145202
a85	0.0421946	0.0682082	0.143523	0.11938	0.109355	0.127778	0.156474	0.140563	0.0428296	0.0266737	0.0230203
a6	0.0304245	0.0468675	0.0912299	0.0889707	0.0672847	0.0748172	0.110159	0.172754	0.119956	0.103373	0.0941637
a5	0.0218384	0.0327288	0.0921113	0.121826	0.12403	0.130623	0.143692	0.152743	0.0688043	0.0521148	0.0594886
a37	0.0118777	0.0173887	0.0646835	0.106304	0.123235	0.129699	0.154533	0.182454	0.0826249	0.0580116	0.0691888
a98	0.010379	0.01226	0.0426849	0.0950815	0.127534	0.120581	0.15191	0.193841	0.0956832	0.0583531	0.0916921
a85	0.00874541	0.0119455	0.0300135	0.0656895	0.0934482	0.101056	0.125978	0.144896	0.107069	0.102562	0.208596
a6	0.00448681	0.00589269	0.0175082	0.0370364	0.0448633	0.0547541	0.0837662	0.135513	0.12399	0.187843	0.304345
a36	0.0060918	0.00926135	0.0214894	0.0384028	0.0462909	0.050704	0.0724685	0.103097	0.105956	0.210353	0.335886
a21	0.00987878	0.0116111	0.0242576	0.0381219	0.0463043	0.0463426	0.0728331	0.121979	0.146198	0.123698	0.358775
a12	0.00410655	0.00498121	0.0125923	0.0196189	0.0205588	0.0228087	0.0471587	0.120638	0.147083	0.275053	0.325401
a61	0.00375767	0.00476788	0.0102554	0.0142317	0.0137208	0.0155063	0.0223543	0.0449856	0.074888	0.25436	0.541172
a21	0.00374417	0.00498857	0.00980739	0.0133058	0.0163757	0.0185882	0.0251762	0.0507351	0.0719029	0.174456	0.61092
a85	0.0039996	0.00490155	0.0103823	0.0150976	0.016739	0.020835	0.0288249	0.0562712	0.0912311	0.267738	0.48398
a47	0.00152701	0.00134581	0.00229038	0.00359126	0.00346599	0.00270924	0.00273687	0.00808686	0.0372836	0.289613	0.64735
a7	0.000828112	0.000872914	0.00168916	0.00236487	0.00232796	0.00150297	0.00157032	0.0041804	0.0286674	0.270059	0.685937
a79	0.000755435	0.000728992	0.00134383	0.00193423	0.00224387	0.00231764	0.0021153	0.00397927	0.0188786	0.17549	0.790212
a7	0.000427019	0.000498217	0.00104728	0.00133938	0.00118357	0.000964869	0.000874508	0.00198227	0.0174769	0.191999	0.782207
a84	0.000495226	0.00047439	0.00070929	0.000855586	0.000623705	0.000624133	0.000434833	0.000792862	0.010599	0.152129	0.832262
a57	0.0356066	0.0238333	0.0202027	0.0258891	0.0182889	0.0208687	0.0164249	0.0171959	0.0480979	0.188344	0.585248
a87	0.117635	0.0622365	0.0472375	0.0423625	0.0301129	0.0324587	0.0351081	0.0430596	0.0866191	0.173773	0.329397
a23	0.229312	0.134052	0.0889995	0.0703388	0.0440848	0.0394298	0.0569714	0.0711817	0.0897643	0.0891957	0.08667
a87	0.0761088	0.0363969	0.0175855	0.0140305	0.0107783	0.00661874	0.00642032	0.0158654	0.0562404	0.235124	0.524831
</S>	0.00621657	0.00416298	0.00337895	0.00303528	0.0030109	0.00310067	0.00514786	0.00990944	0.0202617	0.156659	0.785116
